Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-01-27,19:15,Primera Div,Matchweek 1,Fri,Home,W,1,0,Argentinos Jun,0.5,1.4,25,,Kevin Ortíz,3-4-1-2,Yael Falcón,Match Report,
2023-02-03,20:00,Primera Div,Matchweek 2,Fri,Away,D,2,2,Tigre,0.8,1.1,45,,Kevin Ortíz,3-4-1-2,Hernán Mastrángelo,Match Report,
2023-02-12,17:00,Primera Div,Matchweek 3,Sun,Home,W,2,1,Arsenal,1.8,0.4,73,,Kevin Ortíz,4-1-3-2,Fernando Espinoza,Match Report,
2023-02-18,17:00,Primera Div,Matchweek 4,Sat,Away,L,0,3,Lanús,0.2,2.3,49,,Kevin Ortíz,4-4-2,Nicolás Lamolina,Match Report,
2023-02-24,21:00,Primera Div,Matchweek 5,Fri,Home,W,1,0,Godoy Cruz,1.4,0.4,42,,Kevin Ortíz,4-2-3-1,Pablo Echavarría,Match Report,
2023-03-03,20:00,Primera Div,Matchweek 6,Fri,Away,L,1,4,Sarmiento,0.8,3.4,51,,Kevin Ortíz,4-2-3-1,Fernando Echenique,Match Report,
2023-03-12,21:30,Primera Div,Matchweek 7,Sun,Home,D,1,1,CA Unión,0.7,1.3,57,,Walter Montoya,4-4-1-1,Luis Lobo Medina,Match Report,
2023-03-20,21:00,Primera Div,Matchweek 8,Mon,Away,W,2,0,CA Huracán,1.0,0.4,28,,Walter Montoya,3-4-1-2,Yael Falcón,Match Report,
2023-03-31,19:00,Primera Div,Matchweek 9,Fri,Home,W,3,1,Gimnasia ELP,1.3,1.3,47,,Walter Montoya,4-4-2,Silvio Trucco,Match Report,
2023-04-09,16:30,Primera Div,Matchweek 10,Sun,Away,D,0,0,Newell's OB,0.8,0.4,34,,Walter Montoya,3-4-3,Pablo Echavarría,Match Report,
2023-04-12,21:30,Primera Div,Matchweek 11,Wed,Home,W,1,0,Independiente,1.5,1.5,51,,Walter Montoya,4-2-3-1,Jorge Baliño,Match Report,
2023-04-17,21:30,Primera Div,Matchweek 12,Mon,Away,D,2,2,Tucumán,2.0,1.0,49,,Walter Montoya,3-4-3,Facundo Tello,Match Report,
2023-04-23,15:30,Primera Div,Matchweek 13,Sun,Home,D,2,2,Boca Juniors,0.8,0.9,30,,Walter Montoya,4-2-3-1,Ariel Penel,Match Report,
2023-04-30,20:30,Primera Div,Matchweek 14,Sun,Away,L,1,3,Talleres,0.4,2.0,54,,,4-2-3-1,Yael Falcón,Match Report,
