Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-01-28,17:00,Primera Div,Matchweek 1,Sat,Home,W,1,0,Arsenal,0.9,0.4,46,,Federico Gattoni,3-4-3,Fernando Echenique,Match Report,
2023-02-04,21:30,Primera Div,Matchweek 2,Sat,Away,L,1,2,Lanús,1.6,1.1,51,,Jalil Elías,3-4-3,Facundo Tello,Match Report,
2023-02-11,17:00,Primera Div,Matchweek 3,Sat,Home,W,1,0,Godoy Cruz,1.6,0.3,55,,Jalil Elías,3-4-3,Nazareno Arasa,Match Report,
2023-02-20,19:15,Primera Div,Matchweek 4,Mon,Away,W,1,0,Sarmiento,1.4,1.2,52,,Jalil Elías,3-4-3◆,Darío Herrera,Match Report,
2023-02-25,17:00,Primera Div,Matchweek 5,Sat,Home,W,1,0,CA Unión,0.7,0.1,42,,Jalil Elías,3-4-1-2,Ariel Penel,Match Report,
2023-03-05,19:15,Primera Div,Matchweek 6,Sun,Away,D,1,1,CA Huracán,0.4,1.2,41,,Jalil Elías,3-4-3,Facundo Tello,Match Report,
2023-03-11,17:00,Primera Div,Matchweek 7,Sat,Home,W,4,0,Gimnasia ELP,2.4,0.3,66,,Jalil Elías,3-4-3,Pablo Echavarría,Match Report,
2023-03-20,18:30,Primera Div,Matchweek 8,Mon,Away,L,0,1,Newell's OB,0.2,1.4,41,,Jalil Elías,3-4-3,Andrés Merlos,Match Report,
2023-04-01,19:00,Primera Div,Matchweek 9,Sat,Home,D,0,0,Independiente,1.8,0.4,62,,Nicolás Blandi,3-4-3,Leandro Rey Hilfer,Match Report,
2023-04-04,20:00,Sudamericana,Group stage,Tue,Away,W,1,0,ve Estud Mérida,,,39,,Augusto Batalla,3-4-3,Roberto Sánchez,Match Report,
2023-04-08,20:30,Primera Div,Matchweek 10,Sat,Away,W,3,1,Tucumán,1.5,1.4,58,,Augusto Batalla,5-4-1,Fernando Espinoza,Match Report,
2023-04-12,17:30,Primera Div,Matchweek 11,Wed,Home,W,1,0,Boca Juniors,0.7,0.8,43,,Augusto Batalla,3-4-3,Facundo Tello,Match Report,
2023-04-16,21:30,Primera Div,Matchweek 12,Sun,Away,D,0,0,Talleres,0.5,1.8,47,,Augusto Batalla,3-4-3,Fernando Rapallini,Match Report,
2023-04-20,19:00,Sudamericana,Group stage,Thu,Home,L,0,2,br Fortaleza,,,58,,Augusto Batalla,3-4-3,Esteban Ostojich,Match Report,
2023-04-23,11:00,Primera Div,Matchweek 13,Sun,Home,W,1,0,Platense,0.3,0.3,59,,Nicolás Blandi,3-4-3,Yael Falcón,Match Report,
2023-04-29,14:00,Primera Div,Matchweek 14,Sat,Away,D,0,0,Vélez Sarsfield,1.3,0.3,45,,Augusto Batalla,3-4-3,Hernán Mastrángelo,Match Report,
2023-05-03,18:00,Sudamericana,Group stage,Wed,Away,D,0,0,cl Palestino,,,48,,Augusto Batalla,3-4-3,Carlos Betancourt,Match Report,
2023-05-08,17:00,Primera Div,Matchweek 15,Mon,Home,D,0,0,Defensa y Just,0.5,0.3,47,,Augusto Batalla,3-4-3,Pablo Dóvalo,Match Report,
2023-05-13,18:00,Primera Div,Matchweek 16,Sat,Away,W,2,1,Banfield,0.7,0.8,49,,Augusto Batalla,3-4-3,Fernando Echenique,Match Report,
2023-05-20,14:00,Primera Div,Matchweek 17,Sat,Home,W,2,0,Instituto Atlético Central Córdoba,2.0,0.1,48,,Augusto Batalla,3-4-3,Nicolás Ramírez,Match Report,
2023-05-24,19:00,Sudamericana,Group stage,Wed,Away,L,2,3,br Fortaleza,,,40,,Augusto Batalla,3-4-3,Gustavo Tejera,Match Report,
2023-05-28,14:00,Primera Div,Matchweek 18,Sun,Away,L,0,1,Barracas Central,0.5,0.5,58,,Augusto Batalla,3-4-3,Pablo Echavarría,Match Report,
2023-06-04,14:00,Primera Div,Matchweek 19,Sun,Home,D,0,0,Colón,0.5,1.0,53,,Augusto Batalla,3-4-3◆,Darío Herrera,Match Report,
