Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Malcom Braida,ar ARG,"DF,MF",25.0,24.4,1622.0,52.0,359.0,687.0,594.0,46.0,1622.0,99.0,55.0,55.6,38.0,38.4,856.0,4787.0,2716.0,97.0,46.0,9.0,48.0,29.0,890.0,185.0,Matches
Rafa Pérez,co COL,DF,33.0,23.6,995.0,71.0,464.0,498.0,37.0,14.0,995.0,13.0,6.0,46.2,6.0,46.2,540.0,2280.0,1222.0,11.0,10.0,0.0,7.0,7.0,592.0,3.0,Matches
Jalil Elías,ar ARG,MF,26.0,23.2,1493.0,46.0,290.0,1005.0,213.0,9.0,1493.0,17.0,6.0,35.3,10.0,58.8,807.0,3591.0,1613.0,19.0,33.0,0.0,25.0,7.0,917.0,32.0,Matches
Gastón Hernández,ar ARG,DF,25.0,22.6,1193.0,82.0,462.0,661.0,84.0,25.0,1193.0,14.0,13.0,92.9,1.0,7.1,647.0,3663.0,2462.0,36.0,23.0,1.0,12.0,7.0,700.0,10.0,Matches
Augusto Batalla,ar ARG,GK,26.0,22.0,643.0,506.0,631.0,13.0,0.0,0.0,643.0,2.0,2.0,100.0,0.0,0.0,279.0,1957.0,1162.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,Matches
Adam Bareiro,py PAR,FW,26.0,19.5,689.0,22.0,40.0,322.0,334.0,86.0,687.0,57.0,26.0,45.6,27.0,47.4,356.0,1485.0,489.0,19.0,11.0,9.0,53.0,31.0,506.0,94.0,Matches
Nahuel Barrios,ar ARG,"MF,FW",24.0,18.8,1207.0,4.0,96.0,608.0,539.0,43.0,1207.0,171.0,90.0,52.6,63.0,36.8,824.0,6659.0,3380.0,131.0,96.0,23.0,55.0,47.0,903.0,127.0,Matches
Federico Gattoni,ar ARG,DF,23.0,19.0,911.0,104.0,509.0,380.0,27.0,22.0,911.0,5.0,2.0,40.0,3.0,60.0,533.0,2422.0,1213.0,5.0,1.0,0.0,6.0,4.0,570.0,2.0,Matches
Carlos Sánchez,co COL,"MF,DF",36.0,16.6,754.0,54.0,211.0,481.0,67.0,3.0,754.0,9.0,4.0,44.4,4.0,44.4,378.0,1352.0,412.0,2.0,6.0,0.0,9.0,5.0,448.0,7.0,Matches
Andrés Vombergar,si SVN,"FW,MF",28.0,15.2,570.0,16.0,63.0,263.0,248.0,81.0,568.0,23.0,6.0,26.1,13.0,56.5,264.0,1085.0,342.0,13.0,8.0,4.0,47.0,20.0,381.0,82.0,Matches
Agustín Giay,ar ARG,"DF,MF",19.0,10.8,557.0,18.0,141.0,271.0,152.0,15.0,557.0,35.0,18.0,51.4,14.0,40.0,284.0,1713.0,1035.0,26.0,15.0,2.0,7.0,3.0,303.0,29.0,Matches
Gonzalo Luján,ar ARG,"DF,MF",21.0,13.8,593.0,54.0,228.0,256.0,120.0,15.0,593.0,18.0,10.0,55.6,7.0,38.9,223.0,1187.0,474.0,11.0,12.0,1.0,13.0,2.0,251.0,24.0,Matches
Ivan Leguizamon,py PAR,"MF,FW",20.0,15.2,577.0,5.0,52.0,198.0,345.0,69.0,577.0,83.0,35.0,42.2,39.0,47.0,363.0,2900.0,1369.0,57.0,42.0,19.0,48.0,11.0,391.0,118.0,Matches
Ezequiel Cerutti,ar ARG,"FW,MF",31.0,6.9,278.0,4.0,35.0,97.0,151.0,11.0,278.0,17.0,7.0,41.2,7.0,41.2,154.0,1035.0,488.0,15.0,11.0,1.0,16.0,5.0,174.0,55.0,Matches
Agustín Martegani,ar ARG,MF,22.0,8.4,514.0,2.0,40.0,273.0,212.0,13.0,514.0,33.0,16.0,48.5,16.0,48.5,312.0,2248.0,1133.0,36.0,17.0,5.0,19.0,25.0,331.0,39.0,Matches
