Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Juan Manuel Insaurralde,ar ARG,DF,38.0,24,2145.0,89.0,88.3,23.8,24,89.0,23,0,,0,1.08,19.0,22.0,-3.0,-0.13,-0.13,22.3,28.0,-5.7,-0.24,0.4,Matches
Emiliano Méndez,ar ARG,MF,33.0,25,1896.0,76.0,78.0,21.1,22,82.0,13,3,33.0,0,1.12,18.0,22.0,-4.0,-0.19,-0.36,20.5,27.8,-7.3,-0.35,-0.28,Matches
Gonzalo Bettini,ar ARG,"DF,MF",30.0,22,1862.0,85.0,76.6,20.7,22,85.0,16,0,,1,1.14,19.0,22.0,-3.0,-0.15,-0.15,20.0,26.4,-6.4,-0.31,-0.1,Matches
Sebastián Meza,ar ARG,GK,22.0,21,1890.0,90.0,77.8,21.0,21,90.0,21,0,,0,1.33,22.0,18.0,4.0,0.19,1.36,22.9,27.7,-4.7,-0.22,0.27,Matches
Luciano Gondou,ar ARG,"FW,MF",21.0,22,1658.0,75.0,68.2,18.4,19,82.0,10,3,34.0,0,1.27,20.0,17.0,3.0,0.16,0.86,21.2,22.9,-1.7,-0.09,0.6,Matches
Manuel García,ar ARG,"DF,MF",23.0,23,1643.0,71.0,67.6,18.3,18,84.0,15,5,25.0,3,1.22,16.0,14.0,2.0,0.11,0.68,17.9,20.5,-2.6,-0.14,0.44,Matches
Fernando Martínez,py PAR,MF,28.0,21,1471.0,70.0,60.5,16.3,18,75.0,6,3,41.0,5,1.19,15.0,12.0,3.0,0.18,0.75,16.6,21.5,-4.8,-0.3,-0.03,Matches
Javier Toledo,ar ARG,FW,36.0,26,1591.0,61.0,65.5,17.7,17,81.0,8,9,23.0,0,1.04,13.0,17.0,-4.0,-0.23,-0.33,17.9,19.8,-1.9,-0.1,0.52,Matches
Gabriel Díaz,ar ARG,"DF,MF",22.0,19,1455.0,77.0,59.9,16.2,17,82.0,10,2,29.0,2,1.05,16.0,15.0,1.0,0.06,0.43,18.3,19.4,-1.2,-0.07,0.53,Matches
Lisandro López,ar ARG,"FW,MF",39.0,22,1252.0,57.0,51.5,13.9,15,70.0,2,7,29.0,0,1.18,16.0,14.0,2.0,0.14,0.53,15.7,17.6,-1.9,-0.14,0.31,Matches
Franco Sbuttoni,ar ARG,DF,33.0,16,1238.0,77.0,50.9,13.8,15,82.0,10,1,9.0,11,0.94,14.0,15.0,-1.0,-0.07,0.08,14.0,17.5,-3.5,-0.26,0.06,Matches
Alejandro Donatti,ar ARG,DF,36.0,17,1080.0,64.0,44.4,12.0,13,78.0,8,4,15.0,0,1.12,7.0,9.0,-2.0,-0.17,-0.1,10.9,15.7,-4.8,-0.4,-0.2,Matches
Jean Pierre Rosso,uy URU,"DF,MF",25.0,16,1009.0,63.0,41.5,11.2,12,79.0,6,4,14.0,10,1.0,9.0,12.0,-3.0,-0.27,-0.27,9.0,14.4,-5.3,-0.47,-0.32,Matches
Sergio Quiroga,ar ARG,MF,28.0,21,1138.0,54.0,46.8,12.6,11,77.0,2,10,29.0,5,0.76,11.0,15.0,-4.0,-0.32,-0.39,12.0,14.1,-2.1,-0.17,0.22,Matches
Lucas Melano,ar ARG,"FW,MF",29.0,24,1085.0,45.0,44.7,12.1,11,74.0,3,13,21.0,1,1.21,11.0,12.0,-1.0,-0.08,0.05,10.0,17.0,-7.0,-0.58,-0.53,Matches
Manuel Mónaco,,MF,,23,1013.0,44.0,41.7,11.3,10,68.0,0,13,26.0,4,1.09,8.0,13.0,-5.0,-0.44,-0.57,,,,,,Matches
Juan Hernández,uy URU,DF,25.0,13,816.0,63.0,33.6,9.1,8,82.0,6,5,32.0,9,1.23,7.0,9.0,-2.0,-0.22,-0.16,,,,,,Matches
Franco Quinteros,ar ARG,"DF,MF",24.0,10,554.0,55.0,22.8,6.2,7,73.0,5,3,14.0,6,1.1,1.0,4.0,-3.0,-0.49,-0.49,3.4,7.7,-4.3,-0.7,-0.54,Matches
José Devecchi,ar ARG,GK,27.0,6,540.0,90.0,22.2,6.0,6,90.0,6,0,,20,0.33,1.0,8.0,-7.0,-1.17,-1.36,3.6,6.5,-3.0,-0.5,-0.27,Matches
