Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Juan Manuel Insaurralde,ar ARG,DF,38.0,23.8,827.0,171.0,476.0,327.0,31.0,19.0,827.0,9.0,7.0,77.8,2.0,22.2,279.0,1450.0,805.0,4.0,3.0,0.0,5.0,1.0,281.0,2.0,Matches
Emiliano Méndez,ar ARG,MF,33.0,21.1,901.0,72.0,259.0,551.0,106.0,49.0,901.0,27.0,19.0,70.4,5.0,18.5,329.0,1670.0,770.0,15.0,13.0,2.0,28.0,14.0,368.0,13.0,Matches
Gonzalo Bettini,ar ARG,"DF,MF",30.0,20.7,1073.0,69.0,349.0,446.0,289.0,11.0,1073.0,12.0,6.0,50.0,6.0,50.0,389.0,1949.0,1176.0,26.0,24.0,0.0,20.0,8.0,414.0,50.0,Matches
Sebastián Meza,ar ARG,GK,22.0,21.0,546.0,472.0,542.0,6.0,0.0,0.0,546.0,1.0,1.0,100.0,0.0,0.0,202.0,1588.0,933.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,Matches
Luciano Gondou,ar ARG,"FW,MF",21.0,18.4,605.0,22.0,65.0,268.0,282.0,73.0,603.0,47.0,30.0,63.8,9.0,19.1,343.0,2028.0,798.0,32.0,19.0,10.0,57.0,32.0,431.0,119.0,Matches
Manuel García,ar ARG,"DF,MF",23.0,18.3,747.0,82.0,323.0,386.0,51.0,3.0,747.0,19.0,13.0,68.4,4.0,21.1,334.0,1718.0,900.0,9.0,2.0,0.0,17.0,11.0,318.0,12.0,Matches
Fernando Martínez,py PAR,MF,28.0,16.3,643.0,43.0,179.0,376.0,93.0,9.0,643.0,13.0,7.0,53.8,3.0,23.1,221.0,712.0,237.0,1.0,2.0,1.0,14.0,7.0,257.0,11.0,Matches
Javier Toledo,ar ARG,FW,36.0,17.7,580.0,14.0,19.0,249.0,317.0,102.0,578.0,19.0,12.0,63.2,7.0,36.8,263.0,937.0,318.0,8.0,11.0,1.0,52.0,26.0,445.0,96.0,Matches
Gabriel Díaz,ar ARG,"DF,MF",22.0,16.2,806.0,63.0,250.0,350.0,220.0,11.0,806.0,26.0,15.0,57.7,8.0,30.8,325.0,1608.0,956.0,25.0,23.0,5.0,23.0,8.0,306.0,32.0,Matches
Lisandro López,ar ARG,"FW,MF",39.0,13.9,512.0,10.0,58.0,277.0,182.0,42.0,512.0,27.0,15.0,55.6,9.0,33.3,276.0,1356.0,579.0,22.0,14.0,9.0,19.0,11.0,330.0,55.0,Matches
Franco Sbuttoni,ar ARG,DF,33.0,13.8,494.0,92.0,264.0,208.0,25.0,16.0,494.0,3.0,3.0,100.0,0.0,0.0,154.0,597.0,308.0,1.0,1.0,0.0,5.0,1.0,162.0,2.0,Matches
Alejandro Donatti,ar ARG,DF,36.0,12.0,324.0,84.0,213.0,98.0,13.0,9.0,324.0,0.0,0.0,,0.0,,108.0,442.0,200.0,1.0,1.0,0.0,2.0,0.0,111.0,1.0,Matches
Jean Pierre Rosso,uy URU,"DF,MF",25.0,11.2,579.0,37.0,169.0,261.0,154.0,9.0,579.0,23.0,13.0,56.5,10.0,43.5,201.0,988.0,493.0,7.0,8.0,0.0,16.0,9.0,214.0,32.0,Matches
Sergio Quiroga,ar ARG,MF,28.0,12.6,541.0,22.0,103.0,242.0,198.0,12.0,541.0,18.0,8.0,44.4,10.0,55.6,221.0,1079.0,511.0,15.0,15.0,3.0,29.0,18.0,237.0,40.0,Matches
Lucas Melano,ar ARG,"FW,MF",29.0,12.1,426.0,10.0,31.0,171.0,233.0,30.0,426.0,43.0,20.0,46.5,17.0,39.5,259.0,1958.0,824.0,29.0,25.0,12.0,39.0,16.0,285.0,84.0,Matches
Manuel Mónaco,,MF,,11.3,,,,,,,,,,,,,,,,,,,,,,,Matches
Juan Hernández,uy URU,DF,25.0,9.1,,,,,,,,,,,,,,,,,,,,,,,Matches
