Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Juan Manuel Insaurralde,ar ARG,DF,38.0,23.8,0,12,2,16.7,0.5,0.08,0.0,0.0,13.0,0.0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Emiliano Méndez,ar ARG,MF,33.0,21.1,0,13,0,0.0,0.62,0.0,0.0,,21.7,0.0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Gonzalo Bettini,ar ARG,"DF,MF",30.0,20.7,1,12,4,33.3,0.58,0.19,0.08,0.25,23.3,0.0,0,0,0.4,0.4,0.04,0.6,0.6,Matches
Sebastián Meza,ar ARG,GK,22.0,21.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Luciano Gondou,ar ARG,"FW,MF",21.0,18.4,6,45,16,35.6,2.44,0.87,0.09,0.25,16.6,2.0,2,2,6.4,4.7,0.1,-0.4,-0.7,Matches
Manuel García,ar ARG,"DF,MF",23.0,18.3,0,2,1,50.0,0.11,0.05,0.0,0.0,22.4,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Fernando Martínez,py PAR,MF,28.0,16.3,0,12,1,8.3,0.73,0.06,0.0,0.0,21.5,0.0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
Javier Toledo,ar ARG,FW,36.0,17.7,4,48,12,25.0,2.72,0.68,0.06,0.25,15.8,0.0,1,2,6.0,4.5,0.09,-2.0,-1.5,Matches
Gabriel Díaz,ar ARG,"DF,MF",22.0,16.2,1,20,4,20.0,1.24,0.25,0.05,0.25,24.9,2.0,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches
Lisandro López,ar ARG,"FW,MF",39.0,13.9,3,24,9,37.5,1.73,0.65,0.13,0.33,14.5,0.0,0,0,2.9,2.9,0.12,0.1,0.1,Matches
Franco Sbuttoni,ar ARG,DF,33.0,13.8,0,3,1,33.3,0.22,0.07,0.0,0.0,11.1,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Alejandro Donatti,ar ARG,DF,36.0,12.0,0,10,0,0.0,0.83,0.0,0.0,,14.2,2.0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Jean Pierre Rosso,uy URU,"DF,MF",25.0,11.2,0,5,1,20.0,0.45,0.09,0.0,0.0,17.5,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Sergio Quiroga,ar ARG,MF,28.0,12.6,2,24,7,29.2,1.9,0.55,0.08,0.29,25.5,6.0,0,0,1.1,1.1,0.05,0.9,0.9,Matches
Lucas Melano,ar ARG,"FW,MF",29.0,12.1,4,17,7,41.2,1.41,0.58,0.24,0.57,16.7,0.0,0,0,1.8,1.8,0.11,2.2,2.2,Matches
Manuel Mónaco,,MF,,11.3,2,22,13,59.1,1.95,1.15,0.05,0.08,,,1,1,,,,,,Matches
Juan Hernández,uy URU,DF,25.0,9.1,0,6,2,33.3,0.66,0.22,0.0,0.0,,,0,0,,,,,,Matches
Franco Quinteros,ar ARG,"DF,MF",24.0,6.2,0,4,0,0.0,0.65,0.0,0.0,,24.7,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
José Devecchi,ar ARG,GK,27.0,6.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Juan Cruz Kaprof,ar ARG,"FW,MF",27.0,3.7,0,3,0,0.0,0.8,0.0,0.0,,20.0,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Jonatan Gallardo,ar ARG,"MF,DF",25.0,2.3,0,4,1,25.0,1.76,0.44,0.0,0.0,28.8,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Guido Mainero,ar ARG,"MF,FW",27.0,2.2,0,1,0,0.0,0.46,0.0,0.0,,14.7,0.0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Harrinson Mancilla,co COL,MF,31.0,2.1,0,2,0,0.0,0.94,0.0,0.0,,30.2,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
José Mauri,it ITA,MF,26.0,1.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Yair Ezequiel Arismendi,ar ARG,MF,24.0,1.3,0,0,0,,0.0,0.0,,,,,0,0,,,,,,Matches
Ayrton Cougo,uy URU,"MF,DF",26.0,0.8,0,3,1,33.3,3.97,1.32,0.0,0.0,21.1,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Lautaro Cerato,ar ARG,FW,22.0,0.4,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Joaquín Gho,ar ARG,MF,19.0,0.3,0,1,0,0.0,3.33,0.0,0.0,,24.7,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Nicolás Femia,ar ARG,"MF,FW",26.0,0.2,0,2,0,0.0,12.0,0.0,0.0,,20.3,0.0,0,0,0.4,0.4,0.21,-0.4,-0.4,Matches
Santiago Morales,,DF,,0.1,0,1,0,0.0,6.92,0.0,0.0,,,,0,0,,,,,,Matches
Pablo Gerzel,ar ARG,MF,23.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Yamil Garnier,ar ARG,MF,40.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,29.7,27.0,23,296,82,27.7,10.96,3.04,0.06,0.23,16.9,12.0,4,5,26.5,22.6,0.08,-3.5,-3.6,
Opponent Total,,,27.0,27.0,26,440,121,27.5,16.3,4.48,0.05,0.18,20.8,28.0,4,5,34.2,30.2,0.07,-8.2,-8.2,
