Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Guido Herrera,ar ARG,GK,30.0,27.0,2,0,0,0,9,0,0,1,1,0,0,0,18,8,1,88.9,Matches
Gastón Benavídez,ar ARG,DF,27.0,26.0,4,0,0,23,29,1,37,26,45,0,1,0,149,21,21,50.0,Matches
Matías Catalán,cl CHI,DF,30.0,25.2,3,0,0,15,5,1,12,27,17,0,0,0,162,82,53,60.7,Matches
Rodrigo Villagra,ar ARG,MF,21.0,24.8,5,0,0,35,23,0,3,26,32,0,0,0,208,21,26,44.7,Matches
Rodrigo Garro,ar ARG,MF,25.0,23.1,3,0,0,24,80,1,127,15,17,0,1,0,147,15,25,37.5,Matches
Michael Santos,uy URU,FW,29.0,20.4,3,0,0,23,18,27,12,3,2,0,0,0,30,21,48,30.4,Matches
Ramón Sosa,py PAR,FW,23.0,16.7,2,0,0,20,25,3,39,5,6,2,0,0,92,27,32,45.8,Matches
Juan Portillo,ar ARG,DF,22.0,15.8,5,1,0,23,10,0,9,16,25,0,0,0,93,25,22,53.2,Matches
Diego Valoyes,co COL,FW,26.0,17.9,3,0,0,32,27,2,31,10,24,0,0,0,91,36,26,58.1,Matches
Juan Rodríguez,ar ARG,DF,28.0,15.6,6,0,0,10,7,2,0,21,21,0,1,0,121,38,27,58.5,Matches
Diego Ortegoza,ar ARG,MF,25.0,8.8,5,0,0,27,7,0,13,6,16,0,0,0,54,7,15,31.8,Matches
Francisco Pizzini,ar ARG,FW,29.0,12.9,2,0,0,14,22,2,11,12,21,0,0,1,75,11,24,31.4,Matches
Alan Franco,ec ECU,MF,24.0,11.5,2,0,0,25,9,1,5,8,9,0,0,0,59,24,15,61.5,Matches
Lucas Suárez,ar ARG,DF,27.0,11.0,3,1,1,14,11,0,3,17,17,0,0,0,64,40,29,58.0,Matches
Nicolás Pasquini,ar ARG,DF,32.0,6.7,2,0,0,4,1,0,9,6,8,0,0,0,36,6,11,35.3,Matches
Valentín Depietri,ar ARG,"FW,MF",22.0,5.8,2,0,0,10,7,1,19,2,4,0,0,0,32,9,13,40.9,Matches
Nahuel Bustos,ar ARG,"FW,MF",24.0,8.1,3,0,0,14,12,2,4,0,2,0,0,0,16,8,12,40.0,Matches
Christian Oliva,uy URU,MF,26.0,4.9,1,0,0,9,4,0,9,8,6,0,0,0,37,4,5,44.4,Matches
Tiago Palacios,ar ARG,DF,19.0,1.9,1,0,0,2,0,0,0,2,1,0,0,0,9,2,4,33.3,Matches
Julio Buffarini,ar ARG,DF,34.0,1.7,0,0,0,1,1,0,1,6,1,0,0,0,5,5,2,71.4,Matches
Maximiliano Álvez,ar ARG,FW,19.0,2.0,0,0,0,1,2,1,11,0,1,0,0,0,6,4,6,40.0,Matches
Tomás Olmos,ar ARG,DF,18.0,1.0,0,0,0,0,0,0,2,2,1,0,0,0,6,1,3,25.0,Matches
Ángelo Martino,ar ARG,DF,24.0,0.7,1,1,0,1,5,1,3,3,1,0,0,1,3,2,0,100.0,Matches
José Romero,ar ARG,"FW,MF",19.0,1.9,0,0,0,2,3,0,2,0,0,0,0,0,8,2,8,20.0,Matches
Diego Barrera,ar ARG,FW,18.0,1.4,1,0,0,3,2,0,6,1,4,1,0,0,6,1,3,25.0,Matches
Luis Sequeira,ar ARG,"MF,DF",20.0,1.2,0,0,0,4,0,0,11,2,3,0,0,0,6,2,3,40.0,Matches
Fabio Álvarez,ar ARG,"MF,FW",30.0,0.7,0,0,0,1,2,0,0,1,2,0,0,0,3,3,3,50.0,Matches
Vicente Fernández,cl CHI,"MF,FW",23.0,0.5,0,0,0,1,0,0,2,1,1,0,0,0,5,0,0,,Matches
David Zalazar,ar ARG,MF,20.0,0.2,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,,Matches
Federico Girotti,ar ARG,DF,23.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0,Matches
Matias Gomez,ar ARG,"MF,FW",17.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Squad Total,,,26.7,27.0,59,3,1,338,321,45,386,227,288,3,3,2,1542,428,437,49.5,
Opponent Total,,,27.1,27.0,75,8,4,345,315,41,502,285,303,2,3,1,1471,426,419,50.4,
