Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Guido Herrera,ar ARG,GK,30.0,27.0,909,749,900,11,0,0,909,0,0,,0,,486,2772,2121,0,0,0,1,0,337,0,Matches
Gastón Benavídez,ar ARG,DF,27.0,26.0,1556,73,495,774,302,26,1556,34,11,32.4,19,55.9,632,3370,1955,43,24,2,13,12,760,97,Matches
Matías Catalán,cl CHI,DF,30.0,25.2,1496,188,783,665,68,22,1496,18,11,61.1,6,33.3,743,3817,2419,25,15,1,10,3,831,10,Matches
Rodrigo Villagra,ar ARG,MF,21.0,24.8,1412,30,321,1029,85,8,1412,39,27,69.2,10,25.6,789,3716,1641,26,14,2,20,21,909,14,Matches
Rodrigo Garro,ar ARG,MF,25.0,23.1,1446,12,101,898,474,32,1446,82,44,53.7,26,31.7,864,4454,2023,50,34,8,54,31,1013,98,Matches
Michael Santos,uy URU,FW,29.0,20.4,431,4,18,164,251,108,429,29,15,51.7,12,41.4,238,1028,476,19,17,16,45,18,305,119,Matches
Ramón Sosa,py PAR,FW,23.0,16.7,686,2,60,325,322,57,686,112,64,57.1,38,33.9,422,3353,1861,62,41,27,49,22,489,135,Matches
Juan Portillo,ar ARG,DF,22.0,15.8,964,47,317,532,125,15,964,18,14,77.8,4,22.2,423,2275,1340,27,21,5,17,6,467,19,Matches
Diego Valoyes,co COL,FW,26.0,17.9,822,28,105,340,399,96,821,118,55,46.6,55,46.6,512,3523,1755,55,37,21,67,25,571,177,Matches
Juan Rodríguez,ar ARG,DF,28.0,15.6,910,119,513,376,25,10,910,7,5,71.4,2,28.6,409,1982,1061,6,3,0,7,4,458,3,Matches
Diego Ortegoza,ar ARG,MF,25.0,8.8,411,16,68,248,100,10,411,19,11,57.9,6,31.6,249,1137,322,3,10,1,18,13,263,30,Matches
Francisco Pizzini,ar ARG,FW,29.0,12.9,627,22,91,340,210,33,627,54,29,53.7,23,42.6,348,2240,1242,47,29,13,34,21,413,67,Matches
Alan Franco,ec ECU,MF,24.0,11.5,509,25,92,362,63,9,509,7,3,42.9,3,42.9,235,993,439,3,2,1,10,2,313,11,Matches
Lucas Suárez,ar ARG,DF,27.0,11.0,658,57,352,280,28,14,658,10,4,40.0,5,50.0,319,1817,1071,9,1,2,6,2,363,6,Matches
Nicolás Pasquini,ar ARG,DF,32.0,6.7,339,15,118,160,61,3,339,4,1,25.0,3,75.0,130,488,223,5,3,0,3,0,160,17,Matches
Valentín Depietri,ar ARG,"FW,MF",22.0,5.8,301,1,34,142,135,16,301,53,24,45.3,24,45.3,201,1780,936,35,28,6,17,10,207,41,Matches
Nahuel Bustos,ar ARG,"FW,MF",24.0,8.1,291,1,5,154,135,35,291,25,11,44.0,12,48.0,182,833,333,16,7,7,18,5,231,55,Matches
Christian Oliva,uy URU,MF,26.0,4.9,315,10,64,200,57,4,315,7,3,42.9,4,57.1,171,734,365,8,5,1,6,3,189,9,Matches
Tiago Palacios,ar ARG,DF,19.0,1.9,103,10,68,32,4,1,103,1,0,0.0,1,100.0,62,266,163,1,0,0,2,2,64,2,Matches
Julio Buffarini,ar ARG,DF,34.0,1.7,70,7,29,32,9,0,70,0,0,,0,,22,66,4,0,0,0,1,0,21,3,Matches
Maximiliano Álvez,ar ARG,FW,19.0,2.0,96,0,16,31,49,2,96,4,0,0.0,4,100.0,64,302,136,5,1,0,6,1,70,23,Matches
Tomás Olmos,ar ARG,DF,18.0,1.0,44,5,22,8,14,0,44,1,1,100.0,0,0.0,9,45,9,1,0,0,1,0,9,0,Matches
Ángelo Martino,ar ARG,DF,24.0,0.7,43,2,14,18,12,1,43,1,1,100.0,0,0.0,23,85,59,0,1,0,1,0,27,7,Matches
José Romero,ar ARG,"FW,MF",19.0,1.9,75,1,5,27,45,20,75,10,4,40.0,5,50.0,44,238,90,3,2,1,11,6,59,17,Matches
Diego Barrera,ar ARG,FW,18.0,1.4,56,0,6,20,30,2,56,5,2,40.0,2,40.0,28,113,50,3,0,0,5,8,29,16,Matches
Luis Sequeira,ar ARG,"MF,DF",20.0,1.2,85,2,14,43,28,2,85,4,3,75.0,1,25.0,49,253,119,5,0,1,5,1,53,9,Matches
Fabio Álvarez,ar ARG,"MF,FW",30.0,0.7,70,0,5,51,14,2,70,1,1,100.0,0,0.0,49,209,140,2,2,0,2,2,56,4,Matches
Vicente Fernández,cl CHI,"MF,FW",23.0,0.5,42,1,8,24,11,0,42,4,2,50.0,2,50.0,19,73,26,1,2,0,1,1,23,7,Matches
David Zalazar,ar ARG,MF,20.0,0.2,14,0,1,5,8,0,14,1,0,0.0,1,100.0,8,64,3,0,0,0,2,0,10,7,Matches
Federico Girotti,ar ARG,DF,23.0,0.1,2,0,0,2,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,2,0,Matches
Matias Gomez,ar ARG,"MF,FW",17.0,0.0,3,0,1,2,0,0,3,0,0,,0,,1,5,0,0,0,0,0,0,1,0,Matches
Squad Total,,,26.7,27.0,14786,1427,4626,7295,3064,528,14783,668,346,51.8,268,40.1,7731,42031,22382,460,299,115,432,219,8703,1003,
Opponent Total,,,27.1,27.0,14150,1300,4336,6894,3058,420,14147,502,259,51.6,197,39.2,7483,38862,18930,324,204,46,430,217,8303,916,
