Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Guido Herrera,ar ARG,GK,30.0,27,27,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gastón Benavídez,ar ARG,DF,27.0,26,26,2340.0,26.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,1.4,1.3,2.3,3.6,43.0,135.0,97.0,0.04,0.12,0.15,0.04,0.15,0.06,0.09,0.14,0.05,0.14,Matches
Matías Catalán,cl CHI,DF,30.0,26,26,2272.0,25.2,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,1.0,1.6,25.0,94.0,10.0,0.04,0.08,0.12,0.04,0.12,0.03,0.04,0.07,0.03,0.07,Matches
Rodrigo Villagra,ar ARG,MF,21.0,26,26,2234.0,24.8,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.4,2.4,26.0,112.0,14.0,0.0,0.04,0.04,0.0,0.04,0.04,0.06,0.1,0.04,0.1,Matches
Rodrigo Garro,ar ARG,MF,25.0,27,26,2079.0,23.1,5.0,6.0,11.0,5.0,0.0,0.0,3.0,0.0,2.3,2.3,8.0,10.3,50.0,159.0,98.0,0.22,0.26,0.48,0.22,0.48,0.1,0.35,0.45,0.1,0.45,Matches
Michael Santos,uy URU,FW,29.0,24,24,1832.0,20.4,13.0,5.0,18.0,13.0,0.0,2.0,3.0,0.0,15.1,13.5,4.1,17.7,19.0,19.0,119.0,0.64,0.25,0.88,0.64,0.88,0.74,0.2,0.95,0.67,0.87,Matches
Ramón Sosa,py PAR,FW,23.0,22,20,1500.0,16.7,4.0,4.0,8.0,4.0,0.0,0.0,2.0,0.0,5.6,5.6,3.4,8.9,62.0,49.0,135.0,0.24,0.24,0.48,0.24,0.48,0.33,0.2,0.54,0.33,0.54,Matches
Juan Portillo,ar ARG,DF,22.0,19,17,1424.0,15.8,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.2,1.2,0.5,1.7,27.0,68.0,19.0,0.06,0.0,0.06,0.06,0.06,0.08,0.03,0.11,0.08,0.11,Matches
Diego Valoyes,co COL,FW,26.0,23,16,1608.0,17.9,4.0,6.0,10.0,3.0,1.0,1.0,3.0,0.0,4.5,3.7,6.8,10.5,55.0,68.0,177.0,0.22,0.34,0.56,0.17,0.5,0.25,0.38,0.63,0.21,0.59,Matches
Juan Rodríguez,ar ARG,DF,28.0,16,16,1407.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.3,0.3,0.2,0.5,6.0,43.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Diego Ortegoza,ar ARG,MF,25.0,15,14,792.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,0.8,1.3,3.0,26.0,30.0,0.0,0.0,0.0,0.0,0.0,0.05,0.09,0.14,0.05,0.14,Matches
Francisco Pizzini,ar ARG,FW,29.0,22,12,1162.0,12.9,3.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,2.6,2.6,3.4,6.0,47.0,44.0,67.0,0.23,0.23,0.46,0.23,0.46,0.2,0.26,0.46,0.2,0.46,Matches
Alan Franco,ec ECU,MF,24.0,19,11,1038.0,11.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.5,0.8,3.0,28.0,11.0,0.0,0.09,0.09,0.0,0.09,0.02,0.05,0.07,0.02,0.07,Matches
Lucas Suárez,ar ARG,DF,27.0,13,10,994.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.0,0.2,9.0,35.0,6.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Nicolás Pasquini,ar ARG,DF,32.0,8,7,599.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Valentín Depietri,ar ARG,"FW,MF",22.0,16,6,526.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.9,1.4,35.0,22.0,41.0,0.0,0.0,0.0,0.0,0.0,0.08,0.16,0.24,0.08,0.24,Matches
Nahuel Bustos,ar ARG,"FW,MF",24.0,21,4,732.0,8.1,7.0,0.0,7.0,7.0,0.0,0.0,3.0,0.0,5.4,5.4,0.4,5.8,16.0,14.0,55.0,0.86,0.0,0.86,0.86,0.86,0.67,0.05,0.72,0.67,0.72,Matches
Christian Oliva,uy URU,MF,26.0,16,2,437.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.4,0.6,8.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.12,0.03,0.12,Matches
Tiago Palacios,ar ARG,DF,19.0,4,2,174.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Julio Buffarini,ar ARG,DF,34.0,2,2,149.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Maximiliano Álvez,ar ARG,FW,19.0,8,1,177.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,5.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.12,0.05,0.12,Matches
Tomás Olmos,ar ARG,DF,18.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
