Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Gonzalo Marinelli,ar ARG,GK,33.0,25,2250.0,90.0,92.6,25.0,25,90.0,25,0,,1,1.12,22.0,28.0,-6.0,-0.24,-2.24,31.6,29.0,2.6,0.1,-0.69,Matches
Brian Luciatti,ar ARG,DF,29.0,24,2041.0,85.0,84.0,22.7,23,88.0,21,1,16.0,1,1.29,25.0,25.0,0.0,0.0,0.46,30.3,25.2,5.2,0.23,0.45,Matches
Mateo Retegui,it ITA,FW,23.0,21,1790.0,85.0,73.7,19.9,20,88.0,18,1,31.0,0,1.1,19.0,24.0,-5.0,-0.25,-0.67,26.1,23.9,2.2,0.11,-0.18,Matches
Facundo Colidio,ar ARG,"MF,FW",23.0,21,1669.0,79.0,68.7,18.5,19,85.0,9,2,27.0,0,1.19,18.0,22.0,-4.0,-0.22,-0.45,24.5,22.7,1.9,0.1,-0.17,Matches
Alexis Castro,ar ARG,"MF,FW",28.0,22,1497.0,68.0,61.6,16.6,19,75.0,2,3,26.0,0,1.27,16.0,17.0,-1.0,-0.06,0.04,21.2,16.9,4.3,0.26,0.27,Matches
Lucas Menossi,ar ARG,"MF,FW",30.0,24,1522.0,63.0,62.6,16.9,18,77.0,4,6,22.0,1,1.38,22.0,14.0,8.0,0.47,1.46,21.1,16.6,4.6,0.27,0.31,Matches
Blas Armoa,py PAR,"FW,MF",22.0,25,1430.0,57.0,58.8,15.9,17,72.0,3,8,26.0,1,1.24,16.0,16.0,0.0,0.0,0.18,20.5,17.0,3.5,0.22,0.16,Matches
Sebastián Prieto,ar ARG,DF,29.0,18,1459.0,81.0,60.0,16.2,16,88.0,14,2,24.0,1,1.33,20.0,18.0,2.0,0.12,0.49,19.8,17.3,2.4,0.15,-0.01,Matches
Lucas Blondel,ar ARG,DF,26.0,18,1251.0,70.0,51.5,13.9,15,80.0,8,3,15.0,4,1.33,16.0,17.0,-1.0,-0.07,0.0,19.7,14.0,5.7,0.41,0.53,Matches
Emanuel Aguilera,ar ARG,DF,33.0,16,1257.0,79.0,51.7,14.0,14,89.0,13,2,7.0,8,1.63,14.0,14.0,0.0,0.0,0.15,16.8,16.6,0.3,0.02,-0.28,Matches
Aaron Nicolás Molinas,ar ARG,"MF,FW",22.0,22,1177.0,54.0,48.4,13.1,14,72.0,3,8,22.0,1,1.18,11.0,15.0,-4.0,-0.31,-0.45,18.0,15.0,3.1,0.24,0.16,Matches
