Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Gonzalo Marinelli,ar ARG,GK,33.0,25.0,913,662,904,9,1,0,913,2,2,100.0,0,0.0,557,3195,2412,0,0,0,2,0,416,0,Matches
Brian Luciatti,ar ARG,DF,29.0,22.7,1320,183,695,565,68,36,1320,11,7,63.6,3,27.3,681,3321,1767,16,10,2,6,4,732,7,Matches
Mateo Retegui,it ITA,FW,23.0,19.9,602,19,44,249,318,96,600,40,18,45.0,17,42.5,310,1633,568,24,18,7,60,28,423,125,Matches
Facundo Colidio,ar ARG,"MF,FW",23.0,18.5,878,3,47,439,413,70,877,122,50,41.0,55,45.1,560,3718,1651,60,57,18,57,26,658,132,Matches
Alexis Castro,ar ARG,"MF,FW",28.0,16.6,980,15,136,502,355,32,980,61,33,54.1,26,42.6,534,2690,1179,32,24,7,35,28,599,124,Matches
Lucas Menossi,ar ARG,"MF,FW",30.0,16.9,1120,12,124,682,326,21,1120,33,16,48.5,14,42.4,703,3357,1790,32,38,2,34,21,779,75,Matches
Blas Armoa,py PAR,"FW,MF",22.0,15.9,526,6,33,173,328,67,526,56,18,32.1,35,62.5,349,1968,841,29,19,10,39,17,396,156,Matches
Sebastián Prieto,ar ARG,DF,29.0,16.2,1097,47,293,562,253,16,1097,36,19,52.8,16,44.4,518,2390,1449,30,23,5,25,8,597,78,Matches
Lucas Blondel,ar ARG,DF,26.0,13.9,916,37,233,435,263,9,916,33,17,51.5,15,45.5,429,2112,1239,25,20,1,25,3,438,49,Matches
Emanuel Aguilera,ar ARG,DF,33.0,14.0,839,97,424,408,15,6,839,5,5,100.0,0,0.0,435,2274,1280,6,3,1,8,1,464,2,Matches
Aaron Nicolás Molinas,ar ARG,"MF,FW",22.0,13.1,939,18,92,509,353,21,939,43,22,51.2,18,41.9,583,3105,1641,41,36,2,31,15,661,99,Matches
Sebastián Prediger,ar ARG,MF,36.0,12.4,765,34,171,540,71,3,765,20,10,50.0,8,40.0,397,2149,992,19,15,0,13,9,413,3,Matches
Agustín Cardozo,ar ARG,MF,25.0,15.0,992,29,217,704,90,6,992,25,17,68.0,6,24.0,604,3740,2121,25,17,0,15,4,643,9,Matches
Víctor Cabrera,ar ARG,DF,29.0,11.7,707,84,378,317,19,3,707,11,7,63.6,4,36.4,385,2032,1305,8,3,0,6,7,376,3,Matches
Cristian Zabala,ar ARG,MF,24.0,11.7,804,30,154,523,139,10,804,26,17,65.4,7,26.9,463,2583,1341,31,28,2,13,12,529,27,Matches
Lautaro Montoya,ar ARG,DF,28.0,8.5,568,25,156,259,163,9,568,21,12,57.1,8,38.1,300,1438,674,17,15,5,17,6,281,48,Matches
Martín Ortega,ar ARG,"DF,MF",23.0,8.3,533,21,144,231,165,2,533,25,12,48.0,9,36.0,273,1431,816,25,16,0,11,10,281,51,Matches
Brian Alexis Leizza,ar ARG,DF,22.0,8.8,504,62,254,237,16,8,504,7,4,57.1,3,42.9,248,1256,832,4,3,0,3,2,280,0,Matches
Tomás Badaloni,ar ARG,FW,22.0,7.5,223,6,14,88,123,33,223,5,0,0.0,5,100.0,128,375,102,6,5,5,27,19,173,60,Matches
Martin Garay,ar ARG,"DF,MF",23.0,7.6,523,16,117,256,153,6,523,19,7,36.8,11,57.9,289,1359,695,20,11,4,17,7,291,50,Matches
Gonzalo Flores,ar ARG,"FW,MF",20.0,4.4,163,5,18,68,79,10,163,18,13,72.2,4,22.2,98,632,169,6,2,0,9,13,102,27,Matches
Santiago Rojas,py PAR,GK,26.0,2.0,48,46,48,0,0,0,48,0,0,,0,,21,142,84,0,0,0,0,0,12,0,Matches
Ezequiel Forclaz,ar ARG,"MF,FW",19.0,2.0,142,0,18,57,67,7,142,17,5,29.4,11,64.7,79,440,186,8,2,3,6,8,85,19,Matches
Agustín Obando,ar ARG,"MF,FW",22.0,2.4,118,2,15,54,51,5,118,4,2,50.0,2,50.0,64,242,122,5,3,1,6,2,74,15,Matches
Sebastián Medina,ar ARG,MF,22.0,1.3,90,1,10,46,34,2,90,5,2,40.0,3,60.0,48,228,146,5,2,0,1,0,55,10,Matches
Mateo Caceres,ar ARG,FW,20.0,0.1,7,0,0,5,2,0,7,1,0,0.0,1,100.0,4,19,9,0,0,0,0,0,6,1,Matches
Ijiel Protti,ar ARG,MF,28.0,0.0,10,0,0,8,2,0,10,1,0,0.0,0,0.0,5,14,0,0,0,0,1,1,5,1,Matches
Squad Total,,,27.4,27.0,16327,1460,4739,7926,3867,478,16324,647,315,48.7,281,43.4,9065,47843,25411,474,370,75,467,251,9769,1171,
Opponent Total,,,26.9,27.0,13495,1391,4524,6031,3121,477,13494,563,274,48.7,241,42.8,6682,37343,18730,410,279,78,447,233,7228,886,
