Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Gonzalo Marinelli,ar ARG,GK,33.0,25,25,2250.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Brian Luciatti,ar ARG,DF,29.0,24,23,2041.0,22.7,3.0,1.0,4.0,3.0,0.0,0.0,6.0,2.0,1.8,1.8,1.4,3.2,16.0,63.0,7.0,0.13,0.04,0.18,0.13,0.18,0.08,0.06,0.14,0.08,0.14,Matches
Mateo Retegui,it ITA,FW,23.0,21,20,1790.0,19.9,11.0,1.0,12.0,9.0,2.0,2.0,5.0,0.0,9.0,7.6,2.6,10.3,24.0,21.0,125.0,0.55,0.05,0.6,0.45,0.5,0.45,0.13,0.59,0.38,0.52,Matches
Facundo Colidio,ar ARG,"MF,FW",23.0,21,19,1669.0,18.5,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,4.7,3.9,3.3,7.3,60.0,84.0,132.0,0.11,0.11,0.22,0.05,0.16,0.25,0.18,0.43,0.21,0.39,Matches
Alexis Castro,ar ARG,"MF,FW",28.0,22,19,1497.0,16.6,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.2,2.2,4.1,6.3,32.0,74.0,124.0,0.06,0.12,0.18,0.06,0.18,0.13,0.25,0.38,0.13,0.38,Matches
Lucas Menossi,ar ARG,"MF,FW",30.0,24,18,1522.0,16.9,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.7,1.7,2.7,4.4,32.0,140.0,75.0,0.06,0.06,0.12,0.06,0.12,0.1,0.16,0.26,0.1,0.26,Matches
Blas Armoa,py PAR,"FW,MF",22.0,25,17,1430.0,15.9,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,5.4,5.4,1.4,6.8,29.0,33.0,156.0,0.19,0.0,0.19,0.19,0.19,0.34,0.09,0.43,0.34,0.43,Matches
Sebastián Prieto,ar ARG,DF,29.0,18,16,1459.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.6,2.0,30.0,80.0,78.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.13,0.03,0.13,Matches
Lucas Blondel,ar ARG,DF,26.0,18,15,1251.0,13.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,0.7,1.5,25.0,85.0,49.0,0.0,0.07,0.07,0.0,0.07,0.06,0.05,0.11,0.06,0.11,Matches
Emanuel Aguilera,ar ARG,DF,33.0,16,14,1257.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.0,0.3,6.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Aaron Nicolás Molinas,ar ARG,"MF,FW",22.0,22,14,1177.0,13.1,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.7,1.7,1.9,3.6,41.0,118.0,99.0,0.08,0.15,0.23,0.08,0.23,0.13,0.14,0.28,0.13,0.28,Matches
Sebastián Prediger,ar ARG,MF,36.0,18,14,1114.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.4,19.0,52.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Agustín Cardozo,ar ARG,MF,25.0,24,13,1347.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.1,0.5,25.0,94.0,9.0,0.07,0.0,0.07,0.07,0.07,0.03,0.01,0.04,0.03,0.04,Matches
Víctor Cabrera,ar ARG,DF,29.0,13,13,1055.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,8.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Cristian Zabala,ar ARG,MF,24.0,25,10,1053.0,11.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.4,0.7,31.0,92.0,27.0,0.0,0.09,0.09,0.0,0.09,0.02,0.04,0.06,0.02,0.06,Matches
Lautaro Montoya,ar ARG,DF,28.0,12,9,763.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.1,0.1,0.4,0.5,17.0,27.0,48.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches
Martín Ortega,ar ARG,"DF,MF",23.0,12,9,750.0,8.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.5,0.9,25.0,26.0,51.0,0.0,0.12,0.12,0.0,0.12,0.04,0.06,0.1,0.04,0.1,Matches
Brian Alexis Leizza,ar ARG,DF,22.0,11,8,790.0,8.8,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.2,1.2,0.0,1.3,4.0,29.0,0.0,0.11,0.0,0.11,0.11,0.11,0.14,0.0,0.14,0.14,0.14,Matches
Tomás Badaloni,ar ARG,FW,22.0,16,7,675.0,7.5,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.3,2.3,0.5,2.8,6.0,7.0,60.0,0.27,0.13,0.4,0.27,0.4,0.31,0.06,0.37,0.31,0.37,Matches
Martin Garay,ar ARG,"DF,MF",23.0,15,6,683.0,7.6,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8,1.8,20.0,42.0,50.0,0.0,0.4,0.4,0.0,0.4,0.0,0.23,0.23,0.0,0.23,Matches
Gonzalo Flores,ar ARG,"FW,MF",20.0,13,3,398.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,1.2,6.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.23,0.03,0.26,0.23,0.26,Matches
