Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Tomás Marchiori,ar ARG,GK,27.0,27.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,6,2,Matches
Matías Orihuela,ar ARG,DF,30.0,24.7,59,40,34,25,0,29,61,47.5,32,38,9,29,30,89,55,0,Matches
Joaquín Pereyra,ar ARG,MF,24.0,24.7,57,37,16,35,6,27,69,39.1,42,37,5,32,22,79,31,0,Matches
Mateo Coronel,ar ARG,FW,24.0,21.5,14,9,1,7,6,7,18,38.9,11,13,0,13,3,17,1,0,Matches
Bruno Bianchi,ar ARG,DF,33.0,24.0,46,26,37,8,1,25,39,64.1,14,34,24,10,32,78,131,0,Matches
Guillermo Acosta,ar ARG,MF,34.0,20.8,39,29,21,14,4,23,45,51.1,22,19,7,12,26,65,31,2,Matches
Nicolás Romero,ar ARG,DF,19.0,21.1,28,16,24,4,0,15,31,48.4,16,25,12,13,26,54,97,0,Matches
Marcelo Estigarribia,ar ARG,FW,27.0,19.3,19,10,1,13,5,5,15,33.3,10,19,1,18,3,22,29,0,Matches
Renzo Tesuri,ar ARG,"DF,MF",26.0,19.6,62,40,26,29,7,39,78,50.0,39,49,6,43,14,76,46,1,Matches
Adrián Guillermo Sánchez,ar ARG,MF,23.0,16.3,43,25,18,21,4,22,47,46.8,25,33,4,29,13,56,33,0,Matches
Bautista Kociubinski,ar ARG,MF,21.0,14.1,42,21,18,22,2,15,34,44.1,19,18,2,16,28,70,20,0,Matches
Marcelo Ortiz,ar ARG,DF,29.0,11.9,20,11,10,10,0,10,20,50.0,10,14,6,8,16,36,35,0,Matches
Ramiro Ruiz,ar ARG,"FW,MF",22.0,11.5,11,9,4,6,1,5,15,33.3,10,6,2,4,4,15,9,0,Matches
Hernán De La Fuente,ar ARG,DF,26.0,6.4,20,17,13,6,1,9,20,45.0,11,4,0,4,3,23,12,0,Matches
Francisco Di Franco,ar ARG,"MF,DF",28.0,5.5,13,5,6,5,2,1,16,6.3,15,6,2,4,2,15,9,0,Matches
Yonathan Cabral,ar ARG,DF,30.0,5.4,4,3,1,3,0,3,11,27.3,8,9,7,2,9,13,30,2,Matches
Francisco Flores,ar ARG,DF,21.0,3.0,7,4,7,0,0,4,5,80.0,1,3,3,0,2,9,8,0,Matches
Marcelo González,py PAR,MF,26.0,2.7,5,5,1,3,1,4,9,44.4,5,5,1,4,1,6,1,0,Matches
Moisés Brandán,ar ARG,DF,22.0,2.3,4,4,3,1,0,3,7,42.9,4,3,0,3,3,7,7,0,Matches
Cristian Menéndez,ar ARG,FW,34.0,4.2,2,2,1,1,0,0,2,0.0,2,5,2,3,2,4,2,0,Matches
Ignacio Maestro Puch,ar ARG,"FW,MF",19.0,4.0,4,1,2,1,1,0,3,0.0,3,5,0,5,0,4,5,0,Matches
Braian Guille,ar ARG,"MF,FW",25.0,3.8,5,4,0,4,1,2,4,50.0,2,5,0,5,0,5,1,0,Matches
Wilson Ibarrola,py PAR,DF,26.0,1.8,5,4,3,1,1,2,5,40.0,3,2,0,2,0,5,11,0,Matches
Lucas Naranjo,ar ARG,MF,21.0,0.1,3,2,1,2,0,1,1,100.0,0,0,0,0,0,3,0,0,Matches
Maximiliano Alanís,ar ARG,DF,19.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Kevin Isa,ar ARG,MF,21.0,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
Squad Total,,,26.9,27.0,514,326,250,221,43,252,556,45.3,304,352,93,259,239,753,610,7,
Opponent Total,,,27.3,27.0,446,284,187,199,60,216,473,45.7,257,307,77,230,276,722,491,5,
