Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Matches
Francisco Ortega,ar ARG,DF,23.0,24.8,49,1.97,29,7,4,1,5,3,4,0.16,1,1,1,0,1,0,Matches
Lautaro Gianetti,ar ARG,DF,29.0,19.0,8,0.42,8,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
Leonardo Burián,uy URU,GK,39.0,18.5,1,0.05,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jose Florentín,py PAR,MF,26.0,16.6,29,1.75,22,1,2,3,1,0,3,0.18,2,0,0,1,0,0,Matches
Tomás Guidara,ar ARG,DF,26.0,16.1,29,1.8,21,3,2,0,3,0,0,0.0,0,0,0,0,0,0,Matches
Abiel Osorio,ar ARG,FW,20.0,16.0,38,2.38,20,0,2,2,14,0,2,0.13,2,0,0,0,0,0,Matches
Miguel Brizuela,ar ARG,DF,26.0,14.6,5,0.34,4,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Lucas Janson,ar ARG,FW,28.0,14.2,28,1.97,24,0,1,1,2,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Pratto,ar ARG,"MF,FW",34.0,14.0,22,1.58,19,0,2,0,1,0,4,0.29,2,0,1,0,1,0,Matches
Christian Ordoñez,ar ARG,MF,18.0,12.2,16,1.3,14,0,1,0,0,1,2,0.16,2,0,0,0,0,0,Matches
Gianluca Prestianni,ar ARG,"FW,MF",17.0,14.6,65,4.46,32,6,16,4,7,0,4,0.27,1,0,3,0,0,0,Matches
Diego Godín,uy URU,DF,36.0,12.8,2,0.16,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Valentín Gómez,ar ARG,DF,19.0,12.4,12,0.97,7,2,0,2,1,0,1,0.08,0,0,0,1,0,0,Matches
Walter Bou,ar ARG,"FW,MF",29.0,10.6,34,3.22,18,11,2,2,1,0,4,0.38,1,1,1,0,1,0,Matches
Elías Cabrera,ar ARG,MF,19.0,12.8,49,3.85,18,18,5,2,6,0,5,0.39,1,2,0,1,1,0,Matches
Juan Ignacio Méndez,ar ARG,MF,25.0,9.4,9,0.96,9,0,0,0,0,0,1,0.11,1,0,0,0,0,0,Matches
Gastón Gómez,ar ARG,GK,26.0,8.5,2,0.24,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Leonardo Jara,ar ARG,"DF,MF",31.0,7.0,7,1.0,6,1,0,0,0,0,1,0.14,0,1,0,0,0,0,Matches
Damián Fernández,ar ARG,"MF,DF",22.0,6.1,4,0.66,3,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Julián Fernández,ar ARG,"FW,MF",19.0,7.1,23,3.25,12,6,3,0,2,0,0,0.0,0,0,0,0,0,0,Matches
Roberto Joaquín García,ar ARG,DF,21.0,6.6,11,1.68,8,3,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Santiago Castro,ar ARG,"FW,MF",18.0,7.1,9,1.26,5,0,1,1,2,0,2,0.28,1,0,0,0,1,0,Matches
Nicolás Garayalde,ar ARG,MF,23.0,4.9,1,0.2,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mateo Seoane,ar ARG,MF,18.0,4.6,3,0.65,3,0,0,0,0,0,2,0.43,2,0,0,0,0,0,Matches
Lenny Lobato,br BRA,"FW,MF",21.0,3.6,16,4.43,8,5,1,1,0,1,3,0.83,2,0,0,1,0,0,Matches
Thiago Fernández,ar ARG,"FW,MF",18.0,1.3,2,1.5,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Patricio Pernicone,ar ARG,DF,21.0,1.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.9,27.0,474,17.56,296,65,42,19,45,7,39,1.44,19,5,6,4,5,0,
Opponent Total,,,27.1,27.0,466,17.26,290,60,39,36,28,13,42,1.56,23,6,4,3,5,1,
