Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Francisco Ortega,ar ARG,DF,23.0,24.8,1032,1346,76.7,16555,7182,546,602,90.7,407,526,77.4,59,151,39.1,1,1.1,1.4,-0.1,15,77,14,6,111,Matches
Lautaro Gianetti,ar ARG,DF,29.0,19.0,680,845,80.5,13713,5252,212,258,82.2,373,428,87.1,91,142,64.1,1,0.2,1.0,0.8,3,22,1,0,45,Matches
Leonardo Burián,uy URU,GK,39.0,18.5,349,489,71.4,10917,7928,60,60,100.0,149,152,98.0,140,276,50.7,0,0.0,0.0,0.0,0,12,0,0,0,Matches
Jose Florentín,py PAR,MF,26.0,16.6,592,757,78.2,9892,3191,281,330,85.2,254,300,84.7,40,66,60.6,0,0.6,0.5,-0.6,11,67,4,0,86,Matches
Tomás Guidara,ar ARG,DF,26.0,16.1,509,736,69.2,8503,4935,243,294,82.7,207,293,70.6,45,109,41.3,0,1.2,0.8,-1.2,12,57,10,6,56,Matches
Abiel Osorio,ar ARG,FW,20.0,16.0,239,339,70.5,3038,622,157,207,75.8,60,77,77.9,7,10,70.0,1,1.3,0.8,-0.3,11,11,9,4,23,Matches
Miguel Brizuela,ar ARG,DF,26.0,14.6,591,742,79.6,11972,4963,189,217,87.1,323,369,87.5,77,138,55.8,0,0.2,0.2,-0.2,2,33,0,0,44,Matches
Lucas Janson,ar ARG,FW,28.0,14.2,291,401,72.6,4525,1142,164,201,81.6,90,115,78.3,24,43,55.8,0,1.2,0.6,-1.2,17,36,9,2,49,Matches
Lucas Pratto,ar ARG,"MF,FW",34.0,14.0,247,409,60.4,3585,1187,146,199,73.4,67,121,55.4,22,44,50.0,1,0.9,1.0,0.1,9,31,9,2,48,Matches
Christian Ordoñez,ar ARG,MF,18.0,12.2,355,454,78.2,5760,1556,171,204,83.8,158,190,83.2,20,31,64.5,2,1.0,0.9,1.0,7,34,3,0,33,Matches
Gianluca Prestianni,ar ARG,"FW,MF",17.0,14.6,293,455,64.4,4846,1590,150,202,74.3,100,138,72.5,31,67,46.3,0,1.9,1.9,-1.9,26,31,27,5,56,Matches
Diego Godín,uy URU,DF,36.0,12.8,525,625,84.0,11220,4817,145,159,91.2,286,323,88.5,91,131,69.5,0,0.1,0.6,-0.1,1,29,0,0,33,Matches
Valentín Gómez,ar ARG,DF,19.0,12.4,510,664,76.8,9085,4085,202,227,89.0,265,315,84.1,37,93,39.8,0,0.3,0.3,-0.3,5,34,1,0,55,Matches
Walter Bou,ar ARG,"FW,MF",29.0,10.6,265,412,64.3,4384,1386,139,177,78.5,75,107,70.1,34,75,45.3,2,1.1,1.0,0.9,19,19,9,2,28,Matches
Elías Cabrera,ar ARG,MF,19.0,12.8,418,560,74.6,7119,2231,209,243,86.0,137,174,78.7,52,92,56.5,2,2.6,3.2,-0.6,20,42,13,2,53,Matches
Juan Ignacio Méndez,ar ARG,MF,25.0,9.4,338,434,77.9,6416,1913,121,143,84.6,171,212,80.7,37,61,60.7,0,0.1,0.1,-0.1,4,30,1,0,31,Matches
Gastón Gómez,ar ARG,GK,26.0,8.5,139,196,70.9,4336,3513,25,26,96.2,57,59,96.6,56,110,50.9,0,0.0,0.0,0.0,0,6,0,0,0,Matches
Leonardo Jara,ar ARG,"DF,MF",31.0,7.0,261,377,69.2,4881,2354,111,127,87.4,115,157,73.2,30,74,40.5,1,0.2,0.2,0.8,3,24,5,0,34,Matches
Damián Fernández,ar ARG,"MF,DF",22.0,6.1,194,254,76.4,3289,819,98,122,80.3,77,87,88.5,16,26,61.5,0,0.1,0.1,-0.1,1,14,0,0,15,Matches
Julián Fernández,ar ARG,"FW,MF",19.0,7.1,186,267,69.7,3061,886,98,119,82.4,61,86,70.9,18,38,47.4,0,0.6,0.7,-0.6,9,12,7,1,22,Matches
Roberto Joaquín García,ar ARG,DF,21.0,6.6,246,316,77.8,3869,1555,131,146,89.7,96,123,78.0,13,28,46.4,0,0.2,0.2,-0.2,5,17,2,2,31,Matches
Santiago Castro,ar ARG,"FW,MF",18.0,7.1,97,167,58.1,1488,402,53,76,69.7,40,58,69.0,3,13,23.1,1,0.4,0.2,0.6,4,11,4,1,13,Matches
Nicolás Garayalde,ar ARG,MF,23.0,4.9,127,176,72.2,2053,818,64,79,81.0,51,66,77.3,9,15,60.0,0,0.1,0.1,-0.1,1,15,1,0,18,Matches
Mateo Seoane,ar ARG,MF,18.0,4.6,206,251,82.1,3546,966,97,109,89.0,86,101,85.1,19,30,63.3,0,0.0,0.1,0.0,0,17,0,0,24,Matches
Lenny Lobato,br BRA,"FW,MF",21.0,3.6,61,101,60.4,1087,433,36,45,80.0,15,26,57.7,9,17,52.9,2,1.1,0.6,0.9,6,5,4,2,9,Matches
Thiago Fernández,ar ARG,"FW,MF",18.0,1.3,35,53,66.0,572,108,19,24,79.2,13,17,76.5,2,9,22.2,0,0.0,0.0,0.0,0,4,2,1,4,Matches
Patricio Pernicone,ar ARG,DF,21.0,1.1,59,74,79.7,1241,316,14,19,73.7,32,36,88.9,12,16,75.0,0,0.0,0.0,0.0,0,3,0,0,1,Matches
