Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
1,Pelle Boevink,NED,GK,Paderborn 07,26-002,1998,3.0,0.33,0.00,0.00,0.00,0.00,0.30,0.10,-0.03,-0.04,6.33,18.3,34.5,39.0,4.33,34.2,32.8,7.00,71.4,52.4,13.0,1.67,12.8,0.00,0.00,10.8,https://fbref.com/en/players/a775d6e8/Pelle-Boevink,a775d6e8,2. Bundesliga
2,Oliver Christensen,DEN,GK,Hertha BSC,24-292,1999,2.0,1.00,0.00,0.00,0.50,0.00,1.15,0.33,0.15,+0.14,5.50,8.50,64.7,28.5,4.00,28.1,27.6,5.00,10.0,18.1,13.0,0.00,0.0,1.50,1.50,18.6,https://fbref.com/en/players/af104654/Oliver-Christensen,af104654,2. Bundesliga
3,Thomas Dähne,GER,GK,Holstein Kiel,30-004,1994,3.0,1.67,0.00,0.00,0.00,0.00,0.83,0.21,-0.83,-0.84,6.00,12.3,48.6,33.7,5.33,26.7,29.6,6.67,50.0,37.8,12.0,0.33,2.8,2.00,2.00,19.3,https://fbref.com/en/players/f194035d/Thomas-Dahne,f194035d,2. Bundesliga
4,Patrick Drewes,GER,GK,Karlsruher,30-338,1993,17.0,1.76,0.00,0.06,0.47,0.06,1.71,0.33,0.00,0.00,7.24,17.8,40.7,39.1,3.82,34.4,31.8,7.24,59.3,43.5,15.2,0.94,6.2,1.65,1.65,17.1,https://fbref.com/en/players/a8403737/Patrick-Drewes,a8403737,2. Bundesliga
5,Tjark Ernst,GER,GK,Hertha BSC,20-299,2003,14.0,1.71,0.14,0.00,0.29,0.14,1.61,0.28,0.04,+0.04,6.00,13.4,44.9,34.1,4.79,29.1,29.6,6.07,56.5,43.3,14.6,1.21,8.3,1.21,1.21,14.3,https://fbref.com/en/players/3f6c3ae0/Tjark-Ernst,3f6c3ae0,2. Bundesliga
6,Ralf Fährmann,GER,GK,Schalke 04,35-103,1988,7.0,1.86,0.14,0.00,0.29,0.14,1.34,0.32,-0.37,-0.37,5.86,16.7,35.0,33.9,3.29,37.1,34.8,5.71,72.5,51.6,13.6,0.43,3.2,1.71,1.71,17.7,https://fbref.com/en/players/1e43fad8/Ralf-Fahrmann,1e43fad8,2. Bundesliga
7,Lennart Grill,GER,GK,Osnabrück,24-348,1999,15.0,2.47,0.13,0.13,0.60,0.07,1.91,0.24,-0.49,-0.49,8.60,20.4,42.2,28.3,3.93,49.8,38.5,8.87,71.4,52.6,18.3,1.00,5.5,0.60,0.60,12.1,https://fbref.com/en/players/37998008/Lennart-Grill,37998008,2. Bundesliga
8,Justin Heekeren,GER,GK,Schalke 04,23-042,2000,2.0,2.00,0.00,0.00,0.00,0.00,0.90,0.22,-1.10,-1.11,7.50,17.5,42.9,49.0,6.00,34.7,33.1,4.00,12.5,29.9,12.0,1.00,8.3,3.00,3.00,16.8,https://fbref.com/en/players/309ff595/Justin-Heekeren,309ff595,2. Bundesliga
9,Daniel Heuer Fernandes,POR,GK,Hamburger SV,31-056,1992,17.0,1.29,0.06,0.00,0.18,0.06,1.26,0.29,0.03,+0.03,4.06,9.88,41.1,50.1,2.71,13.7,22.8,7.71,38.9,33.6,12.9,0.65,5.0,1.29,1.29,15.8,https://fbref.com/en/players/0c1f8f71/Daniel-Heuer-Fernandes,0c1f8f71,2. Bundesliga
10,Ron-Thorben Hoffmann,GER,GK,Braunschweig,24-279,1999,17.0,1.82,0.29,0.00,0.35,0.06,1.79,0.33,0.03,+0.03,5.88,16.2,36.4,35.9,6.53,33.0,33.0,6.24,69.8,50.3,14.6,0.47,3.2,1.71,1.71,18.6,https://fbref.com/en/players/f72f1743/Ron-Thorben-Hoffmann,f72f1743,2. Bundesliga
