Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Player Link_,Player ID_,Competition
1,Azeem Abdullah,ENG,MF,Swansea City,21-030,2002,3,42,14,1.8,0.5,0.00,,0.00,6.00,14,2.00,0.67,2.00,0.00,2.00,+2.14,+2.34,,,,,,https://fbref.com/en/players/a0893a41/Azeem-Abdullah,a0893a41,EFL Championship
2,Che Adams,SCO,"FW,MF",Southampton,27-179,1996,22,1080,49,46.2,12.0,0.83,74,0.17,1.00,28,0.17,1.82,1.83,1.17,0.67,+0.67,+0.17,1.78,1.28,0.50,+0.50,-0.25,https://fbref.com/en/players/f2bf1b0f/Che-Adams,f2bf1b0f,EFL Championship
3,Ebou Adams,GAM,"MF,DF",Cardiff City,27-358,1996,11,310,28,13.2,3.4,0.88,71,0.29,2.35,12,4.41,2.00,0.88,2.06,-1.18,-1.16,-1.38,1.21,1.91,-0.71,-0.69,-0.38,https://fbref.com/en/players/84d7ae33/Ebou-Adams,84d7ae33,EFL Championship
4,Sashiel Adom-Malaki,,DF,Millwall,,,0,,,,,0,,0,0,,9,,,,,,,,,,,,https://fbref.com/en/players/a1901d19/Sashiel-Adom-Malaki,a1901d19,EFL Championship
5,Albert Adomah,GHA,"DF,FW",QPR,36-026,1987,10,314,31,13.4,3.5,0.57,80,0.00,2.29,19,2.57,0.50,0.57,2.00,-1.43,-1.43,-0.94,0.69,1.40,-0.71,-0.71,-0.29,https://fbref.com/en/players/c7174e81/Albert-Adomah,c7174e81,EFL Championship
6,Evan Aisowieren,AUT,FW,Coventry City,18-156,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,https://fbref.com/en/players/3de802ee/Evan-Aisowieren,3de802ee,EFL Championship
7,Emanuel Aiwum,AUT,DF,Birmingham City,23-014,2000,14,1124,80,48.0,12.5,1.04,86,0.80,0.08,3,0.64,0.93,1.12,2.08,-0.96,-0.96,-1.03,0.98,1.86,-0.88,-0.88,-1.08,https://fbref.com/en/players/d810c13b/Emanuel-Aiwum,d810c13b,EFL Championship
8,Semi Ajayi,NGA,DF,West Brom,30-060,1993,18,961,53,41.1,10.7,0.84,90,0.84,0.84,17,0.37,1.44,1.50,1.12,0.37,+0.37,-0.15,0.99,1.24,-0.26,-0.26,-0.86,https://fbref.com/en/players/d6192210/Semi-Ajayi,d6192210,EFL Championship
9,Yunus Akgün,TUR,"MF,FW",Leicester City,23-185,2000,12,456,38,19.5,5.1,0.98,64,0.20,1.37,19,0.59,2.42,3.14,0.59,2.55,+2.57,+1.47,2.14,0.75,1.39,+1.40,+0.60,https://fbref.com/en/players/1453e3cf/Yunus-Akgun,1453e3cf,EFL Championship
10,Chuba Akpom,ENG,"FW,MF",Middlesbrough,28-091,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/e2b384d2/Chuba-Akpom,e2b384d2,EFL Championship
11,Marc Albrighton,ENG,FW,Leicester City,34-051,1989,8,78,10,3.3,0.9,0.00,,0.00,8.89,10,6.67,3.00,2.22,0.00,2.22,+2.31,+0.95,2.89,1.00,1.89,+1.93,+1.05,https://fbref.com/en/players/b827d5b3/Marc-Albrighton,b827d5b3,EFL Championship
12,Carlos Alcaraz,ARG,"MF,FW",Southampton,21-039,2002,22,1088,49,46.5,12.1,1.07,72,0.33,0.74,17,0.25,2.05,2.23,1.07,1.16,+1.16,+1.09,1.73,1.03,0.69,+0.70,+0.12,https://fbref.com/en/players/4abac767/Carlos-Alcaraz,4abac767,EFL Championship
13,Ajibola Alese,ENG,DF,Sunderland,22-356,2001,1,69,69,2.9,0.8,1.25,69,0.00,0.00,,1.25,3.00,2.50,0.00,2.50,+2.61,+2.37,0.63,0.63,0.00,-0.01,-0.55,https://fbref.com/en/players/182a8b9d/Ajibola-Alese,182a8b9d,EFL Championship
14,Rúnar Alex Rúnarsson,ISL,GK,Cardiff City,28-324,1995,6,540,90,23.1,6.0,1.00,90,1.00,0.00,,2.67,1.00,0.83,1.33,-0.50,-0.50,-0.70,1.00,1.70,-0.70,-0.69,-0.44,https://fbref.com/en/players/8fa8f8d2/Runar-Alex-Runarsson,8fa8f8d2,EFL Championship
15,Jamie Allen,ENG,MF,Coventry City,28-344,1995,16,1000,63,42.7,11.1,1.17,74,0.27,0.27,14,0.27,1.50,1.44,0.99,0.45,+0.45,+0.11,1.47,1.28,0.19,+0.19,-0.15,https://fbref.com/en/players/2c183a79/Jamie-Allen,2c183a79,EFL Championship
