Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
1,Azeem Abdullah,ENG,MF,Swansea City,21-030,2002,0.5,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/a0893a41/Azeem-Abdullah,a0893a41,EFL Championship
2,Che Adams,SCO,"FW,MF",Southampton,27-179,1996,12.0,32.5,0.92,2.17,15.3,15.4,4.58,32.5,1.42,0.83,58.8,0.50,35.3,20.8,72.8,26.1,0.92,0.58,0.58,2.33,0.83,25.8,6.25,https://fbref.com/en/players/f2bf1b0f/Che-Adams,f2bf1b0f,EFL Championship
3,Ebou Adams,GAM,"MF,DF",Cardiff City,27-358,1996,3.4,63.2,5.88,27.1,33.8,2.35,0.88,63.2,0.29,0.00,0.0,0.29,100.0,32.9,120.3,34.7,0.59,0.29,0.59,2.06,0.88,32.9,0.00,https://fbref.com/en/players/84d7ae33/Ebou-Adams,84d7ae33,EFL Championship
4,Albert Adomah,GHA,"DF,FW",QPR,36-026,1987,3.5,38.6,2.00,12.3,12.0,14.9,2.29,38.6,2.00,0.57,28.6,1.14,57.1,16.3,98.0,56.3,2.00,0.29,0.00,2.57,1.43,16.0,5.71,https://fbref.com/en/players/c7174e81/Albert-Adomah,c7174e81,EFL Championship
5,Emanuel Aiwum,AUT,DF,Birmingham City,23-014,2000,12.5,52.6,7.44,27.5,23.3,2.08,0.48,52.6,0.56,0.32,57.1,0.24,42.9,24.7,107.4,48.2,0.08,0.08,0.00,0.48,0.16,30.0,0.24,https://fbref.com/en/players/d810c13b/Emanuel-Aiwum,d810c13b,EFL Championship
6,Semi Ajayi,NGA,DF,West Brom,30-060,1993,10.7,63.4,5.51,28.4,29.8,5.42,1.31,63.4,0.84,0.65,77.8,0.19,22.2,36.5,193.8,117.8,1.21,1.21,0.00,0.84,0.65,44.4,0.19,https://fbref.com/en/players/d6192210/Semi-Ajayi,d6192210,EFL Championship
7,Yunus Akgün,TUR,"MF,FW",Leicester City,23-185,2000,5.1,55.1,0.00,5.69,23.3,26.5,3.53,55.1,1.57,0.78,50.0,0.78,50.0,36.9,203.3,94.7,2.75,2.16,0.98,2.55,1.18,43.3,7.65,https://fbref.com/en/players/1453e3cf/Yunus-Akgun,1453e3cf,EFL Championship
8,Marc Albrighton,ENG,FW,Leicester City,34-051,1989,0.9,77.8,2.22,15.6,27.8,36.7,1.11,77.8,3.33,1.11,33.3,2.22,66.7,46.7,234.4,106.7,4.44,2.22,0.00,4.44,1.11,52.2,12.2,https://fbref.com/en/players/b827d5b3/Marc-Albrighton,b827d5b3,EFL Championship
9,Carlos Alcaraz,ARG,"MF,FW",Southampton,21-039,2002,12.1,64.7,1.57,5.95,35.3,24.5,3.06,64.6,3.72,1.82,48.9,1.82,48.9,41.4,206.5,97.1,2.15,2.23,0.50,2.89,1.40,50.0,6.03,https://fbref.com/en/players/4abac767/Carlos-Alcaraz,4abac767,EFL Championship
10,Ajibola Alese,ENG,DF,Sunderland,22-356,2001,0.8,77.5,1.25,30.0,41.3,6.25,0.00,77.5,0.00,0.00,,0.00,,32.5,145.0,78.8,1.25,0.00,0.00,1.25,0.00,40.0,1.25,https://fbref.com/en/players/182a8b9d/Ajibola-Alese,182a8b9d,EFL Championship
