Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
1,Mio Backhaus,GER,GK,Volendam,20-014,2004,31.0,2.42,0.03,0.06,0.29,0.00,2.38,0.31,-0.04,-0.03,7.61,22.8,33.4,34.5,5.00,44.3,37.2,9.06,82.9,59.2,16.5,1.23,7.5,1.26,1.26,12.8,https://fbref.com/en/players/0d41f821/Mio-Backhaus,0d41f821,Eredivisie
2,Nordin Bakker,NED,GK,Almere City,26-182,1997,25.8,1.74,0.12,0.00,0.27,0.04,1.86,0.32,0.15,+0.15,9.57,29.4,32.5,29.1,2.71,75.4,50.6,8.18,91.0,65.5,14.0,0.93,6.6,1.05,1.04,12.9,https://fbref.com/en/players/12f664ca/Nordin-Bakker,12f664ca,Eredivisie
3,Vasilios Barkas,GRE,GK,Utrecht,29-336,1994,26.0,1.46,0.15,0.00,0.19,0.04,1.49,0.26,0.07,+0.07,5.42,15.0,36.1,27.7,4.73,38.9,35.0,8.23,51.9,41.0,14.0,1.31,9.4,0.88,0.88,13.8,https://fbref.com/en/players/c2e41cfb/Vasilios-Barkas,c2e41cfb,Eredivisie
4,Walter Benítez,ARG,GK,PSV Eindhoven,31-102,1993,31.0,0.55,0.10,0.00,0.00,0.03,0.74,0.29,0.22,+0.22,3.74,7.68,48.7,26.8,2.97,23.4,28.3,4.74,29.9,33.0,9.29,0.65,6.9,1.32,1.32,15.7,https://fbref.com/en/players/8a2248b4/Walter-Benitez,8a2248b4,Eredivisie
5,Justin Bijlow,NED,GK,Feyenoord,26-099,1998,13.4,0.90,0.00,0.00,0.07,0.00,0.84,0.34,-0.06,-0.06,3.43,8.96,38.3,43.4,4.10,17.5,25.6,3.13,42.9,41.9,8.21,1.12,13.6,3.21,3.21,20.1,https://fbref.com/en/players/53d93280/Justin-Bijlow,53d93280,Eredivisie
6,Mattijs Branderhorst,NED,GK,Utrecht,30-121,1993,5.0,1.00,0.20,0.00,0.00,0.00,1.02,0.26,0.02,+0.02,5.00,12.6,39.7,24.0,4.00,38.3,35.7,5.00,68.0,49.0,14.4,1.60,11.1,0.80,0.80,13.6,https://fbref.com/en/players/b74a2c78/Mattijs-Branderhorst,b74a2c78,Eredivisie
7,Michael Brouwer,NED,GK,Heracles Almelo,31-100,1993,31.0,2.10,0.16,0.06,0.29,0.03,2.04,0.29,-0.03,-0.03,6.13,20.5,29.9,31.0,4.52,49.0,39.7,9.32,56.7,47.1,17.3,0.71,4.1,0.42,0.42,9.9,https://fbref.com/en/players/4f521fcf/Michael-Brouwer,4f521fcf,Eredivisie
8,Jasper Cillessen,NED,GK,NEC Nijmegen,35-008,1989,27.3,1.54,0.18,0.04,0.15,0.00,1.56,0.27,0.02,+0.02,5.79,16.3,35.5,26.4,4.80,42.9,36.1,9.45,52.3,42.1,18.6,0.88,4.7,0.84,0.84,12.7,https://fbref.com/en/players/04ac8285/Jasper-Cillessen,04ac8285,Eredivisie
9,Jeffrey De Lange,NED,GK,Go Ahead Eag,26-029,1998,31.0,1.35,0.06,0.00,0.13,0.03,1.36,0.24,0.04,+0.04,6.39,19.1,33.4,35.6,3.84,45.1,37.1,6.35,48.2,40.8,19.6,0.52,2.6,0.97,0.97,15.7,https://fbref.com/en/players/c31cf14b/Jeffrey-De-Lange,c31cf14b,Eredivisie
10,Mickey van der Hart,NED,GK,Heerenveen,29-322,1994,12.0,2.25,0.08,0.00,0.42,0.08,1.68,0.34,-0.49,-0.49,5.75,15.8,36.5,28.3,3.58,40.7,34.8,7.17,59.3,47.7,15.3,0.58,3.8,0.33,0.33,10.0,https://fbref.com/en/players/1184dd60/Mickey-van-der-Hart,1184dd60,Eredivisie
11,Stijn van Gassel,NED,GK,Excelsior,27-195,1996,31.0,2.13,0.03,0.00,0.52,0.03,1.80,0.30,-0.30,-0.30,9.84,28.1,35.1,39.7,5.55,53.8,43.2,7.71,86.6,60.8,16.5,1.13,6.9,0.61,0.61,11.1,https://fbref.com/en/players/af72ff2d/Stijn-van-Gassel,af72ff2d,Eredivisie
12,Jay Gorter,NED,GK,Ajax,23-336,2000,7.4,2.30,0.00,0.00,0.14,0.00,1.86,0.41,-0.43,-0.44,4.46,11.8,37.9,35.0,5.14,30.5,30.2,6.08,17.8,28.3,12.3,0.95,7.7,0.95,0.95,13.6,https://fbref.com/en/players/e0ee850b/Jay-Gorter,e0ee850b,Eredivisie
13,Mike Hauptmeijer,NED,GK,Zwolle,27-043,1997,1.0,2.00,1.00,0.00,0.00,0.00,2.90,0.32,0.90,+0.88,4.00,14.0,28.6,34.0,6.00,32.4,32.2,10.0,30.0,30.4,8.00,0.00,0.0,2.00,2.00,17.7,https://fbref.com/en/players/2f31c765/Mike-Hauptmeijer,2f31c765,Eredivisie
14,Jeroen Houwen,NED,GK,RKC Waalwijk,28-072,1996,3.6,1.39,0.28,0.00,0.28,0.00,1.50,0.27,0.11,+0.11,6.39,21.9,29.1,32.8,6.39,45.8,38.6,10.3,67.6,53.1,17.8,0.00,0.0,0.83,0.84,15.5,https://fbref.com/en/players/6d8ec266/Jeroen-Houwen,6d8ec266,Eredivisie
15,Luuk Koopmans,NED,GK,Fortuna Sittard,30-164,1993,3.0,1.67,0.00,0.00,0.00,0.00,1.67,0.39,0.00,+0.01,3.67,15.7,23.4,20.3,3.67,55.7,43.3,4.67,92.9,66.1,9.67,1.00,10.3,0.67,0.67,15.3,https://fbref.com/en/players/71be74bb/Luuk-Koopmans,71be74bb,Eredivisie
16,Andries Noppert,NED,GK,Heerenveen,30-023,1994,19.0,1.95,0.11,0.00,0.11,0.05,1.77,0.37,-0.12,-0.12,4.79,12.3,39.1,26.3,5.47,31.3,31.8,6.74,60.2,45.8,15.5,1.05,6.8,0.84,0.84,12.5,https://fbref.com/en/players/2dc9d6fb/Andries-Noppert,2dc9d6fb,Eredivisie
17,Nick Olij,NED,GK,Sparta R'dam,28-273,1995,31.0,1.39,0.10,0.03,0.06,0.03,1.45,0.29,0.10,+0.10,9.19,22.1,41.5,36.4,3.48,45.5,37.6,7.10,78.6,58.3,18.4,1.03,5.6,1.16,1.16,14.8,https://fbref.com/en/players/fdc67d9a/Nick-Olij,fdc67d9a,Eredivisie
18,Rome-Jayden Owusu-Oduro,NED,GK,AZ Alkmaar,19-303,2004,4.0,1.75,0.00,0.00,0.25,0.25,1.50,0.36,0.00,-0.01,5.50,14.8,37.3,31.3,3.25,39.2,35.3,4.25,58.8,47.5,11.0,0.00,0.0,1.25,1.25,16.4,https://fbref.com/en/players/169df85b/Rome-Jayden-Owusu-Oduro,169df85b,Eredivisie
19,Ivor Pandur,CRO,GK,Fortuna Sittard,24-036,2000,16.0,1.75,0.13,0.06,0.13,0.06,1.62,0.31,-0.07,-0.07,5.56,15.4,36.0,26.6,4.06,37.3,34.2,7.81,70.4,51.1,14.1,1.44,10.2,0.81,0.81,12.9,https://fbref.com/en/players/457cb02f/Ivor-Pandur,457cb02f,Eredivisie
20,Diant Ramaj,GER,GK,Ajax,22-224,2001,20.3,1.58,0.05,0.00,0.00,0.05,1.60,0.33,0.07,+0.07,6.06,15.9,38.2,44.0,5.57,32.3,33.0,5.62,29.8,32.7,13.0,1.03,8.0,1.48,1.48,16.0,https://fbref.com/en/players/b90c4a43/Diant-Ramaj,b90c4a43,Eredivisie
