Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Player Link_,Player ID_,Competition
1,Patrick van Aanholt,NED,DF,PSV Eindhoven,33-245,1990,11.5,64.3,56.6,7.39,0.17,0.26,0.35,2.17,7.13,0.09,0.00,0.09,0.00,54.4,0.26,0.61,https://fbref.com/en/players/5f09991f/Patrick-van-Aanholt,5f09991f,Eredivisie
2,Paxten Aaronson,USA,MF,Vitesse,20-248,2003,11.0,31.5,28.7,2.55,0.27,0.00,0.09,2.18,0.09,1.18,0.45,0.45,0.00,24.8,0.18,1.27,https://fbref.com/en/players/4cd41883/Paxten-Aaronson,4cd41883,Eredivisie
3,Jayden Addai,NED,FW,AZ Alkmaar,18-248,2005,3.3,23.9,23.3,0.30,0.00,0.00,0.00,1.82,0.30,0.00,0.00,0.00,0.00,15.2,0.30,1.82,https://fbref.com/en/players/662ffe3d/Jayden-Addai,662ffe3d,Eredivisie
4,Bobby Adekanye,NED,FW,Go Ahead Eag,25-076,1999,18.4,21.7,21.5,0.16,0.11,0.27,0.16,2.28,0.05,0.00,0.00,0.00,0.00,15.1,0.11,0.71,https://fbref.com/en/players/3ed84b2c/Bobby-Adekanye,3ed84b2c,Eredivisie
5,Shawn Adewoye,BEL,DF,RKC Waalwijk,23-306,2000,23.1,44.9,43.1,1.82,1.26,0.04,0.22,0.04,0.30,0.00,0.00,0.00,0.00,38.8,0.00,0.65,https://fbref.com/en/players/be98fc34/Shawn-Adewoye,be98fc34,Eredivisie
6,Nikolas Agrafiotis,NED,FW,Excelsior,24-005,2000,8.4,22.0,21.2,0.83,0.00,0.00,0.00,0.36,0.12,0.00,0.00,0.00,0.00,13.7,0.00,1.07,https://fbref.com/en/players/72a63c0b/Nikolas-Agrafiotis,72a63c0b,Eredivisie
7,Chuba Akpom,ENG,"FW,MF",Ajax,28-204,1995,8.9,20.9,20.0,0.67,0.00,0.11,0.22,0.22,0.00,0.11,0.00,0.00,0.00,14.8,0.22,0.90,https://fbref.com/en/players/e2b384d2/Chuba-Akpom,e2b384d2,Eredivisie
8,Hamdi Akujobi,NED,"DF,FW",Almere City,24-101,2000,14.3,40.1,32.0,7.97,0.28,0.14,0.35,2.38,7.69,0.00,0.00,0.00,0.00,25.7,0.14,0.56,https://fbref.com/en/players/0b524c25/Hamdi-Akujobi,0b524c25,Eredivisie
9,Hussein Ali,IRQ,"DF,FW",Heerenveen,22-060,2002,7.8,33.5,26.8,6.67,0.38,0.13,0.00,2.56,6.28,0.00,0.00,0.00,0.00,25.1,0.00,1.28,https://fbref.com/en/players/b8a919ad/Hussein-Ali,b8a919ad,Eredivisie
10,Jordi Altena,NED,MF,Vitesse,20-148,2003,0.1,40.0,40.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,0.00,https://fbref.com/en/players/25cfb552/Jordi-Altena,25cfb552,Eredivisie
11,Jaydon Amauri Banel,NED,"FW,MF",Ajax,19-194,2004,1.0,40.0,38.0,2.00,1.00,1.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,32.0,0.00,1.00,https://fbref.com/en/players/98e0d76c/Jaydon-Amauri-Banel,98e0d76c,Eredivisie
12,Pelle van Amersfoort,NED,FW,Heerenveen,28-029,1996,21.4,18.6,17.6,0.89,0.00,0.05,0.00,0.42,0.19,0.00,0.00,0.00,0.00,11.0,0.14,0.84,https://fbref.com/en/players/8cef2308/Pelle-van-Amersfoort,8cef2308,Eredivisie
13,Jamal Amofa,NED,DF,Go Ahead Eag,25-157,1998,17.5,42.2,40.4,1.66,1.26,0.00,0.51,0.06,0.00,0.00,0.00,0.00,0.00,34.2,0.11,0.11,https://fbref.com/en/players/ec3e9827/Jamal-Amofa,ec3e9827,Eredivisie
14,Silas Andersen,DEN,FW,Utrecht,19-322,2004,0.1,90.0,90.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.0,0.00,0.00,https://fbref.com/en/players/e5e6cf52/Silas-Andersen,e5e6cf52,Eredivisie
15,Augustin Anello,BEL,"FW,MF",Sparta R'dam,22-008,2002,2.5,40.0,32.8,6.80,3.20,0.00,0.00,6.40,1.20,2.40,1.20,0.80,0.00,24.8,0.40,0.80,https://fbref.com/en/players/c16ab6bc/Augustin-Anello,c16ab6bc,Eredivisie
16,Joey Antonioli,NED,MF,Volendam,20-137,2003,1.1,18.2,17.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.8,0.91,0.91,https://fbref.com/en/players/cc423d7c/Joey-Antonioli,cc423d7c,Eredivisie
17,Carlens Arcus,HAI,DF,Vitesse,27-307,1996,21.2,63.6,51.7,11.7,1.18,0.00,0.61,2.74,10.6,0.00,0.00,0.00,0.00,52.0,0.09,1.37,https://fbref.com/en/players/5e837126/Carlens-Arcus,5e837126,Eredivisie
18,D'Leanu Arts,NED,DF,NEC Nijmegen,20-339,2003,0.3,46.7,33.3,13.3,0.00,0.00,0.00,0.00,13.3,0.00,0.00,0.00,0.00,30.0,0.00,0.00,https://fbref.com/en/players/9014a9c8/DLeanu-Arts,9014a9c8,Eredivisie
