Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Player Link_,Player ID_,Competition
1,Patrick van Aanholt,NED,DF,PSV Eindhoven,33-132,1990,13,9,915,10.2,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.19,0.33,2.25,5.29,6.76,0.00,0.10,0.10,0.00,0.10,0.15,0.18,0.33,0.15,0.33,https://fbref.com/en/players/5f09991f/Patrick-van-Aanholt,5f09991f,Eredivisie
2,Jayden Addai,GHA,FW,AZ Alkmaar,18-135,2005,2,0,67,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.71,4.29,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,https://fbref.com/en/players/662ffe3d/Jayden-Addai,662ffe3d,Eredivisie
3,Bobby Adekanye,NED,"FW,MF",Go Ahead Eag,24-328,1999,12,9,662,7.4,0.00,0.27,0.27,0.00,0.00,0.00,0.14,0.14,0.14,0.14,0.20,0.34,3.24,1.62,6.22,0.00,0.27,0.27,0.00,0.27,0.13,0.20,0.33,0.13,0.33,https://fbref.com/en/players/3ed84b2c/Bobby-Adekanye,3ed84b2c,Eredivisie
4,Shawn Adewoye,BEL,DF,RKC Waalwijk,23-193,2000,13,11,998,11.1,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.08,0.08,0.02,0.10,1.53,4.05,0.18,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,https://fbref.com/en/players/be98fc34/Shawn-Adewoye,be98fc34,Eredivisie
5,Nikolas Agrafiotis,NED,FW,Excelsior,23-258,2000,16,10,731,8.1,0.62,0.12,0.74,0.62,0.00,0.00,0.00,0.00,0.49,0.49,0.15,0.64,0.86,1.36,5.31,0.62,0.12,0.74,0.62,0.74,0.48,0.15,0.63,0.48,0.63,https://fbref.com/en/players/72a63c0b/Nikolas-Agrafiotis,72a63c0b,Eredivisie
6,Chuba Akpom,ENG,"FW,MF",Ajax,28-091,1995,12,3,392,4.4,1.14,0.00,1.14,1.14,0.00,0.00,0.00,0.00,1.11,1.11,0.09,1.20,2.27,4.32,6.82,1.15,0.00,1.15,1.15,1.15,1.12,0.09,1.21,1.12,1.21,https://fbref.com/en/players/e2b384d2/Chuba-Akpom,e2b384d2,Eredivisie
7,Hamdi Akujobi,NED,"DF,MF",Almere City,23-353,2000,8,8,623,6.9,0.00,0.14,0.14,0.00,0.00,0.00,0.14,0.00,0.10,0.10,0.09,0.19,1.74,2.32,2.90,0.00,0.14,0.14,0.00,0.14,0.10,0.09,0.18,0.10,0.18,https://fbref.com/en/players/0b524c25/Hamdi-Akujobi,0b524c25,Eredivisie
8,Hussein Ali,IRQ,DF,Heerenveen,21-313,2002,10,6,511,5.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.12,0.18,2.28,2.11,4.21,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.17,0.06,0.17,https://fbref.com/en/players/b8a919ad/Hussein-Ali,b8a919ad,Eredivisie
9,Jordi Altena,NED,MF,Vitesse,20-035,2003,2,0,5,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/25cfb552/Jordi-Altena,25cfb552,Eredivisie
10,Jaydon Amauri Banel,NED,"MF,FW",Ajax,19-081,2004,2,0,27,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.33,1.33,3.33,3.33,6.67,0.00,0.00,0.00,0.00,0.00,0.95,0.23,1.17,0.95,1.17,https://fbref.com/en/players/98e0d76c/Jaydon-Amauri-Banel,98e0d76c,Eredivisie
11,Pelle van Amersfoort,NED,FW,Heerenveen,27-282,1996,13,10,822,9.1,0.33,0.00,0.33,0.33,0.00,0.00,0.22,0.00,0.54,0.54,0.08,0.62,0.44,1.65,3.30,0.33,0.00,0.33,0.33,0.33,0.53,0.08,0.61,0.53,0.61,https://fbref.com/en/players/8cef2308/Pelle-van-Amersfoort,8cef2308,Eredivisie
12,Jamal Amofa,NED,DF,Go Ahead Eag,25-044,1998,15,14,1125,12.5,0.08,0.00,0.08,0.08,0.00,0.00,0.40,0.08,0.02,0.02,0.02,0.05,1.44,4.72,0.24,0.08,0.00,0.08,0.08,0.08,0.03,0.03,0.05,0.03,0.05,https://fbref.com/en/players/ec3e9827/Jamal-Amofa,ec3e9827,Eredivisie
13,Augustin Anello,BEL,"FW,MF",Sparta R'dam,21-261,2002,8,1,225,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.04,0.16,2.00,2.00,9.20,0.00,0.00,0.00,0.00,0.00,0.11,0.05,0.17,0.11,0.17,https://fbref.com/en/players/c16ab6bc/Augustin-Anello,c16ab6bc,Eredivisie
14,Joey Antonioli,NED,MF,Volendam,20-024,2003,3,1,100,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,https://fbref.com/en/players/cc423d7c/Joey-Antonioli,cc423d7c,Eredivisie
15,Carlens Arcus,HAI,DF,Vitesse,27-194,1996,14,11,1004,11.2,0.00,0.18,0.18,0.00,0.00,0.00,0.27,0.00,0.01,0.01,0.13,0.13,1.52,4.55,5.18,0.00,0.18,0.18,0.00,0.18,0.01,0.13,0.14,0.01,0.14,https://fbref.com/en/players/5e837126/Carlens-Arcus,5e837126,Eredivisie
16,D'Leanu Arts,NED,DF,NEC Nijmegen,20-226,2003,2,0,18,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/9014a9c8/DLeanu-Arts,9014a9c8,Eredivisie
17,Gastón Ávila,ARG,DF,Ajax,22-100,2001,5,4,354,3.9,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.05,0.05,0.15,0.21,1.54,6.67,1.03,0.00,0.00,0.00,0.00,0.00,0.04,0.16,0.20,0.04,0.20,https://fbref.com/en/players/f648b2e1/Gaston-Avila,f648b2e1,Eredivisie
18,Marouan Azarkan,NED,FW,Utrecht,22-031,2001,13,6,601,6.7,0.00,0.15,0.15,0.00,0.00,0.00,0.30,0.00,0.04,0.04,0.16,0.21,4.03,5.07,7.91,0.00,0.15,0.15,0.00,0.15,0.05,0.17,0.22,0.05,0.22,https://fbref.com/en/players/9469388f/Marouan-Azarkan,9469388f,Eredivisie
19,Anouar El Azzouzi,NED,DF,Zwolle,22-224,2001,5,0,100,1.1,0.00,0.00,0.00,0.00,0.00,0.00,1.82,0.91,0.00,0.00,0.00,0.00,0.91,7.27,0.91,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,https://fbref.com/en/players/22a6a4d7/Anouar-El-Azzouzi,22a6a4d7,Eredivisie
20,Julian Baas,NED,MF,Excelsior,21-267,2002,16,16,1399,15.5,0.06,0.06,0.13,0.06,0.00,0.00,0.26,0.00,0.02,0.02,0.09,0.11,0.77,2.97,1.29,0.06,0.06,0.13,0.06,0.13,0.02,0.09,0.11,0.02,0.11,https://fbref.com/en/players/7156acb5/Julian-Baas,7156acb5,Eredivisie
21,Youri Baas,NED,"DF,FW",NEC Nijmegen,20-297,2003,13,8,766,8.5,0.35,0.00,0.35,0.35,0.00,0.00,0.24,0.00,0.16,0.16,0.07,0.22,2.00,1.76,4.71,0.35,0.00,0.35,0.35,0.35,0.16,0.07,0.23,0.16,0.23,https://fbref.com/en/players/ca002b1a/Youri-Baas,ca002b1a,Eredivisie
22,Isaac Babadi,NED,"MF,FW",PSV Eindhoven,18-277,2005,7,2,118,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.00,0.23,0.23,0.00,0.23,2.31,4.62,4.62,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,https://fbref.com/en/players/52f7e3a7/Isaac-Babadi,52f7e3a7,Eredivisie
23,Mio Backhaus,GER,GK,Volendam,19-267,2004,16,16,1440,16.0,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/0d41f821/Mio-Backhaus,0d41f821,Eredivisie
24,Thibo Baeten,BEL,FW,Go Ahead Eag,21-218,2002,9,0,157,1.7,0.00,0.59,0.59,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.35,0.65,2.94,4.71,8.24,0.00,0.57,0.57,0.00,0.57,0.28,0.34,0.62,0.28,0.62,https://fbref.com/en/players/f976899a/Thibo-Baeten,f976899a,Eredivisie
25,Saïd Bakari,COM,DF,Sparta R'dam,29-108,1994,16,16,1387,15.4,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.06,0.04,0.04,0.03,0.07,1.04,2.34,4.42,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,https://fbref.com/en/players/3a0fbf82/Said-Bakari,3a0fbf82,Eredivisie
26,Johan Bakayoko,BEL,"FW,MF",PSV Eindhoven,20-263,2003,16,14,1175,13.1,0.23,0.61,0.84,0.23,0.00,0.00,0.08,0.00,0.22,0.22,0.40,0.62,7.10,3.66,18.9,0.23,0.61,0.84,0.23,0.84,0.22,0.40,0.62,0.22,0.62,https://fbref.com/en/players/0caa2fd4/Johan-Bakayoko,0caa2fd4,Eredivisie
27,Navajo Bakboord,NED,DF,Heracles Almelo,24-344,1999,10,10,824,9.2,0.00,0.11,0.11,0.00,0.00,0.00,0.33,0.00,0.05,0.05,0.12,0.17,1.52,4.46,2.39,0.00,0.11,0.11,0.00,0.11,0.06,0.12,0.17,0.06,0.17,https://fbref.com/en/players/216d25a3/Navajo-Bakboord,216d25a3,Eredivisie
28,Zakaria Bakkali,BEL,"MF,FW",RKC Waalwijk,27-347,1996,14,8,674,7.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.19,0.08,0.27,4.00,2.53,9.20,0.00,0.00,0.00,0.00,0.00,0.18,0.08,0.27,0.18,0.27,https://fbref.com/en/players/ec3efd7f/Zakaria-Bakkali,ec3efd7f,Eredivisie
29,Nordin Bakker,NED,GK,Almere City,26-069,1997,16,16,1440,16.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/12f664ca/Nordin-Bakker,12f664ca,Eredivisie
30,Jesse Bal,NED,MF,Sparta R'dam,17-099,2006,2,0,5,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/f60ea55c/Jesse-Bal,f60ea55c,Eredivisie
31,Théo Barbet,FRA,DF,Almere City,22-308,2001,12,9,837,9.3,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.05,0.05,0.05,0.11,0.97,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,https://fbref.com/en/players/06d51feb/Theo-Barbet,06d51feb,Eredivisie
32,Vasilios Barkas,GRE,GK,Utrecht,29-223,1994,15,15,1350,15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.03,0.03,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,https://fbref.com/en/players/c2e41cfb/Vasilios-Barkas,c2e41cfb,Eredivisie
33,Riechedly Bazoer,NED,DF,AZ Alkmaar,27-088,1996,13,13,1076,12.0,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.01,0.01,0.01,0.02,1.42,6.25,0.17,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,https://fbref.com/en/players/da59a197/Riechedly-Bazoer,da59a197,Eredivisie
34,Sven van Beek,NED,DF,Heerenveen,29-164,1994,12,12,997,11.1,0.09,0.00,0.09,0.09,0.00,0.00,0.09,0.00,0.05,0.05,0.00,0.05,1.08,4.68,0.45,0.09,0.00,0.09,0.09,0.09,0.06,0.00,0.06,0.06,0.06,https://fbref.com/en/players/49312f11/Sven-van-Beek,49312f11,Eredivisie
35,Thomas Beelen,NED,DF,Feyenoord,22-211,2001,6,1,203,2.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,1.30,6.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,https://fbref.com/en/players/530e7d85/Thomas-Beelen,530e7d85,Eredivisie
36,Mouhamed Belkheir,FRA,"FW,MF",Fortuna Sittard,25-006,1999,11,1,348,3.9,0.26,0.00,0.26,0.26,0.00,0.00,0.26,0.26,0.28,0.28,0.00,0.28,0.77,1.79,4.62,0.26,0.00,0.26,0.26,0.26,0.30,0.00,0.30,0.30,0.30,https://fbref.com/en/players/14340768/Mouhamed-Belkheir,14340768,Eredivisie
37,Armel Bella Kotchap,GER,DF,PSV Eindhoven,22-028,2001,3,2,161,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.39,0.00,0.39,1.67,7.22,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.37,0.37,0.37,https://fbref.com/en/players/a39d11bc/Armel-Bella-Kotchap,a39d11bc,Eredivisie
38,Benaissa Benamar,MAR,DF,Volendam,26-275,1997,14,12,975,10.8,0.28,0.00,0.28,0.28,0.00,0.00,0.28,0.09,0.14,0.14,0.01,0.15,2.31,5.93,0.28,0.28,0.00,0.28,0.28,0.28,0.14,0.00,0.15,0.14,0.15,https://fbref.com/en/players/01ca961e/Benaissa-Benamar,01ca961e,Eredivisie
39,Mimeirhel Benita,NED,"DF,FW",Excelsior,20-052,2003,7,0,133,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/35ccba69/Mimeirhel-Benita,35ccba69,Eredivisie
40,Walter Benítez,ARG,GK,PSV Eindhoven,30-354,1993,16,16,1440,16.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/8a2248b4/Walter-Benitez,8a2248b4,Eredivisie
41,Mitchell van Bergen,NED,"FW,MF",Twente,24-134,1999,11,1,286,3.2,0.00,0.31,0.31,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.31,0.47,6.25,4.38,14.7,0.00,0.31,0.31,0.00,0.31,0.15,0.32,0.47,0.15,0.47,https://fbref.com/en/players/0b2c9aec/Mitchell-van-Bergen,0b2c9aec,Eredivisie
42,Steven Berghuis,NED,"FW,MF",Ajax,32-020,1991,12,11,918,10.2,0.10,0.59,0.69,0.10,0.00,0.00,0.10,0.00,0.20,0.20,0.39,0.59,3.04,8.92,11.2,0.10,0.59,0.69,0.10,0.69,0.19,0.39,0.58,0.19,0.58,https://fbref.com/en/players/713c144a/Steven-Berghuis,713c144a,Eredivisie
43,Steven Bergwijn,NED,"FW,MF",Ajax,26-092,1997,13,13,1116,12.4,0.56,0.16,0.73,0.24,0.32,0.32,0.32,0.00,0.48,0.23,0.31,0.54,3.79,5.16,8.71,0.56,0.16,0.73,0.24,0.40,0.48,0.32,0.79,0.22,0.54,https://fbref.com/en/players/a29b1131/Steven-Bergwijn,a29b1131,Eredivisie
44,Gijs Besselink,NED,"FW,MF",Twente,19-206,2004,3,0,26,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,6.67,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,https://fbref.com/en/players/689b9ef0/Gijs-Besselink,689b9ef0,Eredivisie
45,Justin Bijlow,NED,GK,Feyenoord,25-351,1998,9,9,810,9.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/53d93280/Justin-Bijlow,53d93280,Eredivisie
46,Xander Blomme,BEL,MF,Go Ahead Eag,21-201,2002,1,1,45,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/a712e3f5/Xander-Blomme,a712e3f5,Eredivisie
47,Paweł Bochniewicz,POL,DF,Heerenveen,27-343,1996,12,10,915,10.2,0.20,0.10,0.29,0.20,0.00,0.00,0.00,0.00,0.10,0.10,0.02,0.13,0.69,4.12,0.39,0.20,0.10,0.30,0.20,0.30,0.10,0.02,0.12,0.10,0.12,https://fbref.com/en/players/9bf068be/Pawel-Bochniewicz,9bf068be,Eredivisie
48,Ruben van Bommel,NED,FW,AZ Alkmaar,19-158,2004,12,7,543,6.0,0.33,0.17,0.50,0.33,0.00,0.00,0.17,0.00,0.22,0.22,0.12,0.35,1.83,4.00,7.83,0.33,0.17,0.50,0.33,0.50,0.22,0.12,0.34,0.22,0.34,https://fbref.com/en/players/c9314f57/Ruben-van-Bommel,c9314f57,Eredivisie
49,Taylor Booth,USA,FW,Utrecht,22-222,2001,8,5,348,3.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.03,0.15,5.64,1.79,6.41,0.00,0.00,0.00,0.00,0.00,0.13,0.03,0.16,0.13,0.16,https://fbref.com/en/players/1eb05a70/Taylor-Booth,1eb05a70,Eredivisie
50,Zach Booth,USA,"MF,FW",Volendam,19-325,2004,10,2,333,3.7,0.00,0.27,0.27,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.16,0.30,3.51,1.89,4.86,0.00,0.27,0.27,0.00,0.27,0.14,0.15,0.29,0.14,0.29,https://fbref.com/en/players/7e47a132/Zach-Booth,7e47a132,Eredivisie
51,Olivier Boscagli,FRA,DF,PSV Eindhoven,26-051,1997,15,14,1270,14.1,0.07,0.07,0.14,0.07,0.00,0.00,0.14,0.00,0.04,0.04,0.06,0.10,1.35,11.7,0.28,0.07,0.07,0.14,0.07,0.14,0.04,0.07,0.10,0.04,0.10,https://fbref.com/en/players/403f5d20/Olivier-Boscagli,403f5d20,Eredivisie
52,Othman Boussaid,BEL,FW,Utrecht,23-307,2000,11,9,720,8.0,0.00,0.13,0.13,0.00,0.00,0.00,0.13,0.00,0.04,0.04,0.16,0.20,4.13,6.75,7.38,0.00,0.12,0.12,0.00,0.12,0.04,0.16,0.20,0.04,0.20,https://fbref.com/en/players/c8b55104/Othman-Boussaid,c8b55104,Eredivisie
