Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
1,Arnaud Bodart,BEL,GK,Standard Liège,26-050,1998,29.0,1.21,0.17,0.00,0.14,0.00,1.26,0.24,0.05,+0.05,3.90,13.9,28.1,25.0,4.52,42.3,36.9,7.72,42.4,37.4,14.3,1.00,7.0,0.59,0.59,11.5,https://fbref.com/en/players/79c536d7/Arnaud-Bodart,79c536d7,Jupiler Pro League
2,Sinan Bolat,TUR,GK,Westerlo,35-240,1988,26.0,1.69,0.12,0.04,0.23,0.04,1.61,0.30,-0.04,-0.04,4.15,12.4,33.4,30.7,4.08,32.7,33.0,7.08,33.7,34.0,13.7,0.77,5.6,0.65,0.65,12.6,https://fbref.com/en/players/fe7d8182/Sinan-Bolat,fe7d8182,Jupiler Pro League
3,Jean Butez,FRA,GK,Antwerp,28-327,1995,30.0,0.90,0.17,0.00,0.10,0.03,0.94,0.25,0.08,+0.08,5.77,15.3,37.7,42.5,5.07,31.4,32.5,4.37,44.3,39.2,11.3,1.20,10.6,1.50,1.50,15.8,https://fbref.com/en/players/7f40333d/Jean-Butez,7f40333d,Jupiler Pro League
4,Valentin Cojocaru,ROU,GK,OH Leuven,28-212,1995,3.0,2.67,1.33,0.00,0.00,0.00,2.73,0.29,0.07,+0.08,4.67,6.33,73.7,26.7,6.00,20.0,28.7,6.33,15.8,27.3,10.3,0.67,6.5,0.67,0.67,18.1,https://fbref.com/en/players/04d9bce8/Valentin-Cojocaru,04d9bce8,Jupiler Pro League
5,Jo Coppens,BEL,GK,Sint-Truiden,33-131,1990,4.0,2.00,0.00,0.00,0.25,0.00,1.40,0.40,-0.60,-0.59,2.25,9.25,24.3,46.3,4.75,18.4,25.2,3.50,21.4,31.9,13.5,1.00,7.4,0.75,0.75,12.5,https://fbref.com/en/players/62f1c758/Jo-Coppens,62f1c758,Jupiler Pro League
6,Gaëtan Coucke,BEL,GK,Mechelen,25-149,1998,30.0,1.13,0.03,0.03,0.03,0.03,1.33,0.31,0.23,+0.23,6.07,14.3,42.5,28.0,3.47,32.7,32.3,8.40,60.7,42.7,15.4,1.07,6.9,0.70,0.70,11.9,https://fbref.com/en/players/c56ee8f7/Gaetan-Coucke,c56ee8f7,Jupiler Pro League
7,Théo Defourny,BEL,GK,RWD Molenbeek,32-005,1992,29.8,2.21,0.40,0.03,0.44,0.03,2.28,0.31,0.10,+0.10,6.58,16.3,40.3,22.1,2.99,52.4,39.5,7.68,61.6,43.3,17.2,0.37,2.1,0.34,0.34,9.9,https://fbref.com/en/players/b21f2a09/Theo-Defourny,b21f2a09,Jupiler Pro League
8,Martin Delavallée,BEL,GK,Charleroi,20-043,2004,0.0,0,0,0,0,0,0.0,,0.0,0.00,3,3,100.0,1,0,100.0,44.0,2,100.0,48.0,1,0,0.0,0,0.00,,https://fbref.com/en/players/6e9c13e6/Martin-Delavallee,6e9c13e6,Jupiler Pro League
9,Maxime Dupé,FRA,GK,Anderlecht,31-057,1993,7.0,1.00,0.29,0.00,0.00,0.00,1.00,0.21,0.00,0.00,3.00,8.86,33.9,33.1,2.57,23.3,28.5,5.14,22.2,27.6,14.4,0.86,5.9,1.00,1.00,14.4,https://fbref.com/en/players/0e12089d/Maxime-Dupe,0e12089d,Jupiler Pro League
10,Nick Gillekens,BEL,GK,Westerlo,28-300,1995,4.0,2.50,0.00,0.00,0.25,0.25,1.68,0.29,-0.57,-0.57,8.50,16.5,51.5,37.5,4.75,34.7,32.6,6.25,56.0,41.8,18.3,1.00,5.5,2.50,2.50,19.6,https://fbref.com/en/players/e1143dbd/Nick-Gillekens,e1143dbd,Jupiler Pro League
11,Laurent Henkinet,BEL,GK,Standard Liège,31-229,1992,1.0,6.00,1.00,0.00,0.00,0.00,5.00,0.44,-1.00,-1.01,0.00,5.00,0.0,30.0,7.00,16.7,25.6,2.00,0.0,23.0,8.00,0.00,0.0,2.00,2.00,16.2,https://fbref.com/en/players/362106da/Laurent-Henkinet,362106da,Jupiler Pro League
12,Guillaume Hubert,BEL,GK,RWD Molenbeek,30-110,1994,0.2,5.00,0.00,0.00,0.00,5.00,0.00,,0.00,0.00,10.0,35.0,28.6,55.0,5.00,45.5,39.8,10.0,100.0,62.5,20.0,5.00,25.0,0.00,0.00,2.0,https://fbref.com/en/players/b2a71e2c/Guillaume-Hubert,b2a71e2c,Jupiler Pro League
13,Joachim Imbrechts,SWE,GK,Union SG,22-204,2001,0.2,0.00,0.00,0.00,0.00,0.00,1.00,0.19,1.00,+0.83,0.00,5.00,0.0,25.0,15.0,20.0,29.8,0.00,,,20.0,0.00,0.0,0.00,0.00,,https://fbref.com/en/players/0940a7e0/Joachim-Imbrechts,0940a7e0,Jupiler Pro League
14,Nordin Jackers,BEL,GK,Club Brugge,26-238,1997,2.9,1.03,0.00,0.00,0.34,0.00,1.03,0.26,0.00,-0.01,8.97,17.6,51.0,27.2,2.76,43.0,35.1,10.3,56.7,39.4,11.0,1.03,9.4,1.03,1.03,9.9,https://fbref.com/en/players/a98a9189/Nordin-Jackers,a98a9189,Jupiler Pro League
15,Hervé Koffi,BFA,GK,Charleroi,27-197,1996,26.0,1.50,0.19,0.00,0.08,0.04,1.62,0.29,0.15,+0.16,6.15,16.8,36.7,29.5,4.81,40.5,35.9,6.46,74.4,52.2,13.8,1.50,10.9,1.46,1.46,15.6,https://fbref.com/en/players/faf873a7/Herve-Koffi,faf873a7,Jupiler Pro League
16,Tobe Leysen,BEL,GK,OH Leuven,22-052,2002,16.0,1.13,0.06,0.06,0.25,0.13,1.29,0.26,0.29,+0.29,5.63,17.7,31.8,30.4,5.06,41.2,37.5,8.88,58.5,47.1,22.2,1.19,5.4,0.94,0.94,12.8,https://fbref.com/en/players/098525c6/Tobe-Leysen,098525c6,Jupiler Pro League
17,Heinz Lindner,AUT,GK,Union SG,33-288,1990,1.0,1.00,0.00,0.00,0.00,0.00,1.00,0.49,0.00,-0.02,3.00,4.00,75.0,21.0,1.00,14.3,28.0,4.00,25.0,21.5,9.00,0.00,0.0,0.00,0.00,9.0,https://fbref.com/en/players/0bfaa3b2/Heinz-Lindner,0bfaa3b2,Jupiler Pro League
18,Simon Mignolet,BEL,GK,Club Brugge,36-055,1988,27.1,0.96,0.00,0.07,0.00,0.00,0.93,0.29,-0.03,-0.03,5.57,11.4,48.9,30.7,4.10,28.8,29.9,5.65,45.1,35.7,9.04,0.96,10.6,1.92,1.92,16.4,https://fbref.com/en/players/d436eb94/Simon-Mignolet,d436eb94,Jupiler Pro League
19,Anthony Moris,LUX,GK,Union SG,34-001,1990,28.8,1.04,0.10,0.00,0.21,0.00,1.03,0.32,-0.01,-0.01,5.42,11.9,45.6,30.7,4.13,33.8,34.9,3.92,38.1,37.1,10.8,0.73,6.8,1.11,1.11,15.2,https://fbref.com/en/players/99351886/Anthony-Moris,99351886,Jupiler Pro League
20,Paul Nardi,FRA,GK,Gent,29-348,1994,10.0,1.20,0.10,0.00,0.10,0.00,1.19,0.26,-0.01,-0.01,4.50,11.2,40.2,19.6,3.60,36.7,35.2,8.70,46.0,40.0,15.4,1.00,6.5,0.60,0.60,13.2,https://fbref.com/en/players/2d70dbe5/Paul-Nardi,2d70dbe5,Jupiler Pro League
