Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Player Link_,Player ID_,Competition
1,Ahmed Abdullahi,NGA,FW,Gent,19-316,2004,0.3,3.33,3.10,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/8073edf4/Ahmed-Abdullahi,8073edf4,Jupiler Pro League
2,Shuto Abe,JPN,MF,RWD Molenbeek,26-147,1997,16.4,1.34,1.34,0.98,0.00,0.00,0.18,0.12,0.06,0.12,0.12,0.06,0.00,0.00,0.06,0.00,0.00,https://fbref.com/en/players/86bddbc7/Shuto-Abe,86bddbc7,Jupiler Pro League
3,Abner,BRA,"DF,MF",RWD Molenbeek,27-336,1996,20.6,1.02,1.02,0.78,0.05,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/8e562fe7/Abner,8e562fe7,Jupiler Pro League
4,Francis Abu,GHA,MF,Cercle Brugge,23-003,2001,4.5,2.22,2.21,1.78,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/66fb354d/Francis-Abu,66fb354d,Jupiler Pro League
5,Tayo Adaramola,IRL,DF,RWD Molenbeek,20-168,2003,6.4,1.09,1.10,0.94,0.16,0.00,0.00,0.00,0.00,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/c150b220/Tayo-Adaramola,c150b220,Jupiler Pro League
6,Noah Adedeji,BEL,"MF,FW",Genk,18-316,2005,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/9962d6f7/Noah-Adedeji,9962d6f7,Jupiler Pro League
7,Jonathan Afolabi,IRL,FW,Kortrijk,24-107,2000,4.4,0.91,0.90,0.68,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/d87e664d/Jonathan-Afolabi,d87e664d,Jupiler Pro League
8,Brian Agbor,CMR,DF,Gent,22-321,2001,2.3,0.43,0.43,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/676fc6c2/Brian-Agbor,676fc6c2,Jupiler Pro League
9,Takahiro Akimoto,JPN,DF,OH Leuven,26-090,1998,2.9,2.76,2.76,2.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/003d8899/Takahiro-Akimoto,003d8899,Jupiler Pro League
10,Carlos Alberto,BRA,"FW,MF",RWD Molenbeek,22-016,2002,7.3,1.51,1.50,1.23,0.00,0.00,0.27,0.00,0.00,0.27,0.27,0.27,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/08f48d96/Carlos-Alberto,08f48d96,Jupiler Pro League
11,Josimar Alcocer,CRC,"MF,FW",Westerlo,19-298,2004,0.3,3.33,3.75,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/757f7081/Josimar-Alcocer,757f7081,Jupiler Pro League
12,Toby Alderweireld,BEL,DF,Antwerp,35-059,1989,28.9,1.21,1.21,0.93,0.07,0.00,0.17,0.03,0.00,0.21,0.21,0.14,0.00,0.00,0.07,0.00,0.00,https://fbref.com/en/players/f7d50789/Toby-Alderweireld,f7d50789,Jupiler Pro League
13,Ryan Alebiosu,ENG,"DF,MF",Kortrijk,22-135,2001,3.9,2.82,2.84,1.28,0.77,0.26,0.26,0.26,0.00,0.77,0.78,0.26,0.26,0.26,0.00,0.00,0.00,https://fbref.com/en/players/ce048fb8/Ryan-Alebiosu,ce048fb8,Jupiler Pro League
14,Teddy Alloh,FRA,DF,Eupen,22-098,2002,2.2,2.73,2.74,2.73,0.00,0.00,0.00,0.00,0.00,0.45,0.46,0.45,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/01df0dc4/Teddy-Alloh,01df0dc4,Jupiler Pro League
15,Éder Álvarez Balanta,COL,MF,Club Brugge,31-062,1993,5.5,0.55,0.54,0.36,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/8ce30c57/Eder-Alvarez-Balanta,8ce30c57,Jupiler Pro League
16,Steven Alzate,COL,MF,Standard Liège,25-235,1998,18.5,2.32,2.33,1.84,0.27,0.05,0.11,0.05,0.00,0.32,0.32,0.27,0.00,0.00,0.05,0.00,0.00,https://fbref.com/en/players/ad1f61f3/Steven-Alzate,ad1f61f3,Jupiler Pro League
17,Thierry Ambrose,GLP,FW,Kortrijk,27-033,1997,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/2945f4b7/Thierry-Ambrose,2945f4b7,Jupiler Pro League
18,Mohamed El Amine Amoura,ALG,FW,Union SG,23-357,2000,15.9,3.58,3.58,1.89,0.00,0.75,0.38,0.44,0.13,0.50,0.50,0.19,0.00,0.13,0.00,0.13,0.06,https://fbref.com/en/players/6597f8b6/Mohamed-El-Amine-Amoura,6597f8b6,Jupiler Pro League
19,Francis Amuzu,BEL,FW,Anderlecht,24-251,1999,6.3,3.17,3.16,1.43,0.16,0.16,0.79,0.63,0.00,0.32,0.32,0.00,0.16,0.00,0.16,0.00,0.00,https://fbref.com/en/players/4f0fbd15/Francis-Amuzu,4f0fbd15,Jupiler Pro League
20,Frederic Ananou,TOG,"DF,MF",Sint-Truiden,26-223,1997,6.0,2.00,1.99,1.50,0.17,0.00,0.00,0.17,0.17,0.33,0.33,0.17,0.17,0.00,0.00,0.00,0.00,https://fbref.com/en/players/de42994f/Frederic-Ananou,de42994f,Jupiler Pro League
21,Stelios Andreou,CYP,DF,Charleroi,21-281,2002,26.8,0.37,0.37,0.34,0.00,0.00,0.04,0.00,0.00,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/4a5ad8dc/Stelios-Andreou,4a5ad8dc,Jupiler Pro League
22,Nilson Angulo,ECU,"FW,MF",Anderlecht,20-316,2003,0.5,6.00,5.63,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/a9b9d89c/Nilson-Angulo,a9b9d89c,Jupiler Pro League
23,Bill Antonio,ZIM,"MF,FW",Mechelen,21-240,2002,6.4,2.34,2.34,1.88,0.16,0.31,0.00,0.00,0.00,0.63,0.62,0.63,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/f00ea3e6/Bill-Antonio,f00ea3e6,Jupiler Pro League
24,Kristian Arnstad,NOR,"DF,MF",Anderlecht,20-236,2003,7.2,1.94,1.95,1.67,0.28,0.00,0.00,0.00,0.00,0.14,0.14,0.14,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/45bdedc8/Kristian-Arnstad,45bdedc8,Jupiler Pro League
25,Tolu Arokodare,NGA,FW,Genk,23-159,2000,14.5,3.03,3.03,2.00,0.00,0.21,0.55,0.14,0.14,0.28,0.28,0.07,0.00,0.00,0.21,0.00,0.00,https://fbref.com/en/players/a42760bc/Tolu-Arokodare,a42760bc,Jupiler Pro League
26,Gerardo Arteaga,MEX,DF,Genk,25-236,1998,13.4,1.94,1.93,1.72,0.15,0.00,0.00,0.07,0.00,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/8b47ce35/Gerardo-Arteaga,8b47ce35,Jupiler Pro League
27,Isaac Asante,GHA,MF,Mechelen,21-253,2002,0.1,,,,,,,,,,,,,,,,,https://fbref.com/en/players/f110c0a2/Isaac-Asante,f110c0a2,Jupiler Pro League
28,Dirk Asare,BEL,MF,Mechelen,19-301,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,https://fbref.com/en/players/10556287/Dirk-Asare,10556287,Jupiler Pro League
29,Majeed Ashimeru,GHA,"MF,FW",Anderlecht,26-203,1997,1.3,0.77,0.76,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/552e00b9/Majeed-Ashimeru,552e00b9,Jupiler Pro League
30,Christalino Atemona,GER,DF,Kortrijk,22-004,2002,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/05c1f4c7/Christalino-Atemona,05c1f4c7,Jupiler Pro League
31,Lynnt Audoor,BEL,MF,Kortrijk,20-200,2003,4.5,1.33,1.35,1.11,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/32feb0cf/Lynnt-Audoor,32feb0cf,Jupiler Pro League
32,Ludwig Augustinsson,SWE,DF,Anderlecht,30-009,1994,18.1,2.27,2.27,1.77,0.22,0.06,0.17,0.06,0.00,0.33,0.33,0.33,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/9fec8860/Ludwig-Augustinsson,9fec8860,Jupiler Pro League
33,Felipe Augusto,BRA,"FW,MF",Cercle Brugge,20-072,2004,4.9,2.86,2.84,2.04,0.00,0.00,0.61,0.20,0.00,0.41,0.41,0.20,0.00,0.00,0.20,0.00,0.00,https://fbref.com/en/players/1f9cbd0b/Felipe-Augusto,1f9cbd0b,Jupiler Pro League
34,Felipe Avenatti,URU,"FW,MF",Kortrijk,31-004,1993,17.4,2.30,2.30,1.55,0.06,0.17,0.23,0.17,0.11,0.23,0.23,0.11,0.00,0.06,0.06,0.00,0.00,https://fbref.com/en/players/23f9e9d3/Felipe-Avenatti,23f9e9d3,Jupiler Pro League
