Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Player Link_,Player ID_,Competition
1,Arnaud Bodart,BEL,GK,Standard Liège,26-050,1998,29,29,2610,29.0,1.21,1.21,4.62,3.38,77.6,0.28,0.34,0.38,0.17,17.2,0.21,0.17,0.03,0.00,16.7,https://fbref.com/en/players/79c536d7/Arnaud-Bodart,79c536d7,Jupiler Pro League
2,Sinan Bolat,TUR,GK,Westerlo,35-240,1988,26,26,2340,26.0,1.69,1.69,5.08,3.42,68.9,0.27,0.35,0.38,0.19,19.2,0.12,0.12,0.00,0.00,0.0,https://fbref.com/en/players/fe7d8182/Sinan-Bolat,fe7d8182,Jupiler Pro League
3,Jean Butez,FRA,GK,Antwerp,28-327,1995,30,30,2700,30.0,0.90,0.90,3.23,2.37,77.3,0.47,0.33,0.20,0.40,40.0,0.17,0.17,0.00,0.00,0.0,https://fbref.com/en/players/7f40333d/Jean-Butez,7f40333d,Jupiler Pro League
4,Valentin Cojocaru,ROU,GK,OH Leuven,28-212,1995,3,3,270,3.0,2.67,2.67,5.00,2.33,73.3,0.00,0.33,0.67,0.00,0.0,1.33,1.33,0.00,0.00,0.0,https://fbref.com/en/players/04d9bce8/Valentin-Cojocaru,04d9bce8,Jupiler Pro League
5,Jo Coppens,BEL,GK,Sint-Truiden,33-131,1990,4,4,360,4.0,2.00,2.00,3.50,1.50,42.9,0.25,0.25,0.50,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/62f1c758/Jo-Coppens,62f1c758,Jupiler Pro League
6,Gaëtan Coucke,BEL,GK,Mechelen,25-149,1998,30,30,2700,30.0,1.13,1.13,4.13,3.00,73.4,0.43,0.20,0.37,0.33,33.3,0.13,0.03,0.03,0.07,50.0,https://fbref.com/en/players/c56ee8f7/Gaetan-Coucke,c56ee8f7,Jupiler Pro League
7,Théo Defourny,BEL,GK,RWD Molenbeek,32-005,1992,30,30,2679,29.8,2.21,2.22,5.97,3.69,69.7,0.17,0.27,0.57,0.13,13.3,0.50,0.40,0.10,0.00,20.0,https://fbref.com/en/players/b21f2a09/Theo-Defourny,b21f2a09,Jupiler Pro League
8,Martin Delavallée,BEL,GK,Charleroi,20-043,2004,1,0,1,0.0,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,https://fbref.com/en/players/6e9c13e6/Martin-Delavallee,6e9c13e6,Jupiler Pro League
9,Maxime Dupé,FRA,GK,Anderlecht,31-057,1993,7,7,630,7.0,1.00,1.00,3.43,2.43,79.2,0.57,0.29,0.14,0.29,28.6,0.29,0.29,0.00,0.00,0.0,https://fbref.com/en/players/0e12089d/Maxime-Dupe,0e12089d,Jupiler Pro League
10,Nick Gillekens,BEL,GK,Westerlo,28-300,1995,4,4,360,4.0,2.50,2.50,5.75,3.50,56.5,0.00,0.00,1.00,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/e1143dbd/Nick-Gillekens,e1143dbd,Jupiler Pro League
