Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
1,Shuto Abe,JPN,MF,RWD Molenbeek,26-034,1997,11.4,53.4,2.63,15.4,28.4,10.1,1.75,53.4,1.23,0.53,42.9,0.70,57.1,37.4,199.8,68.5,0.96,1.05,0.18,2.02,0.79,32.5,2.46,https://fbref.com/en/players/86bddbc7/Shuto-Abe,86bddbc7,Jupiler Pro League
2,Abner,BRA,"DF,MF",RWD Molenbeek,27-223,1996,18.6,53.0,3.87,16.3,23.9,13.0,0.54,53.0,1.45,0.32,22.2,0.91,63.0,33.9,212.0,96.7,1.77,1.72,0.05,1.77,0.32,29.3,4.46,https://fbref.com/en/players/8e562fe7/Abner,8e562fe7,Jupiler Pro League
3,Francis Abu,GHA,MF,Cercle Brugge,22-256,2001,3.0,60.7,2.33,8.33,40.3,13.0,0.00,60.7,0.67,0.67,100.0,0.00,0.0,30.3,117.0,52.3,0.67,1.33,0.00,2.00,0.00,23.3,0.67,https://fbref.com/en/players/66fb354d/Francis-Abu,66fb354d,Jupiler Pro League
4,Brian Agbor,CMR,DF,Gent,22-208,2001,0.3,83.3,13.3,46.7,36.7,0.00,0.00,83.3,0.00,0.00,,0.00,,50.0,143.3,50.0,0.00,0.00,0.00,3.33,0.00,36.7,0.00,https://fbref.com/en/players/676fc6c2/Brian-Agbor,676fc6c2,Jupiler Pro League
5,Josimar Alcocer,CRC,"FW,MF",Westerlo,19-185,2004,0.3,46.7,0.00,0.00,16.7,30.0,3.33,46.7,6.67,0.00,0.0,6.67,100.0,36.7,176.7,16.7,3.33,3.33,3.33,3.33,3.33,36.7,13.3,https://fbref.com/en/players/757f7081/Josimar-Alcocer,757f7081,Jupiler Pro League
6,Toby Alderweireld,BEL,DF,Antwerp,34-312,1989,18.9,93.4,7.25,35.1,54.2,4.71,1.53,93.4,0.16,0.16,100.0,0.00,0.0,71.7,357.1,172.9,0.53,0.85,0.00,0.74,0.21,69.4,0.63,https://fbref.com/en/players/f7d50789/Toby-Alderweireld,f7d50789,Jupiler Pro League
7,Ryan Alebiosu,ENG,"DF,MF",Kortrijk,22-022,2001,1.8,61.1,2.78,16.7,20.6,24.4,2.22,61.1,5.56,2.22,40.0,2.22,40.0,33.9,353.3,161.1,5.00,4.44,1.11,1.67,0.00,32.2,6.11,https://fbref.com/en/players/ce048fb8/Ryan-Alebiosu,ce048fb8,Jupiler Pro League
8,Teddy Alloh,FRA,DF,Eupen,21-350,2002,2.2,58.2,4.09,14.5,19.1,25.5,2.27,58.2,3.64,1.36,37.5,1.82,50.0,34.1,316.8,137.3,4.09,3.18,0.91,3.18,0.00,30.9,7.73,https://fbref.com/en/players/01df0dc4/Teddy-Alloh,01df0dc4,Jupiler Pro League
9,Éder Álvarez Balanta,COL,MF,Club Brugge,30-314,1993,2.1,75.7,4.29,20.5,48.6,8.57,0.48,75.7,1.43,0.95,66.7,0.00,0.0,51.0,325.2,90.5,1.43,1.43,0.00,1.43,0.95,45.2,0.95,https://fbref.com/en/players/8ce30c57/Eder-Alvarez-Balanta,8ce30c57,Jupiler Pro League
10,Steven Alzate,COL,MF,Standard Liège,25-122,1998,10.6,63.7,2.17,13.1,37.6,13.1,1.32,63.7,1.79,1.04,57.9,0.75,42.1,46.3,251.6,100.0,1.79,2.08,0.28,2.26,1.51,42.7,1.32,https://fbref.com/en/players/ad1f61f3/Steven-Alzate,ad1f61f3,Jupiler Pro League
11,Thierry Ambrose,GLP,FW,Kortrijk,26-286,1997,0.5,34.0,2.00,2.00,8.00,24.0,0.00,34.0,4.00,2.00,50.0,2.00,50.0,24.0,198.0,54.0,2.00,0.00,0.00,4.00,0.00,26.0,12.0,https://fbref.com/en/players/2945f4b7/Thierry-Ambrose,2945f4b7,Jupiler Pro League
12,Mohamed El Amine Amoura,ALG,FW,Union SG,23-244,2000,9.5,38.5,0.11,1.26,12.6,25.4,8.63,38.5,4.63,2.11,45.5,2.21,47.7,28.2,248.2,121.4,5.68,2.11,3.58,3.26,1.16,25.9,11.3,https://fbref.com/en/players/6597f8b6/Mohamed-El-Amine-Amoura,6597f8b6,Jupiler Pro League
13,Francis Amuzu,BEL,FW,Anderlecht,24-138,1999,6.3,40.6,0.79,3.17,14.0,24.8,4.13,40.6,3.81,2.06,54.2,1.27,33.3,32.5,297.6,166.0,5.56,3.49,1.75,1.75,1.27,30.2,9.37,https://fbref.com/en/players/4f0fbd15/Francis-Amuzu,4f0fbd15,Jupiler Pro League
14,Frederic Ananou,TOG,"DF,MF",Sint-Truiden,26-110,1997,2.6,60.8,4.23,16.5,30.4,15.0,1.54,60.8,0.38,0.00,0.0,0.00,0.0,41.2,290.8,140.0,3.46,2.69,0.77,1.54,0.00,37.3,5.00,https://fbref.com/en/players/de42994f/Frederic-Ananou,de42994f,Jupiler Pro League
15,Stelios Andreou,CYP,DF,Charleroi,21-168,2002,17.8,52.9,5.84,26.7,24.4,2.13,0.51,52.9,0.28,0.11,40.0,0.11,40.0,33.8,163.9,64.7,0.28,0.06,0.06,0.67,0.17,29.2,0.11,https://fbref.com/en/players/4a5ad8dc/Stelios-Andreou,4a5ad8dc,Jupiler Pro League
16,Nilson Angulo,ECU,FW,Anderlecht,20-203,2003,0.0,2,0,0,0,2,0,2,1,0,0.0,0,0.0,1,58,40,1,1,0,0,0,1,0,https://fbref.com/en/players/a9b9d89c/Nilson-Angulo,a9b9d89c,Jupiler Pro League
17,Bill Antonio,ZIM,"DF,MF",Mechelen,21-127,2002,1.2,51.7,0.83,5.83,6.67,40.0,13.3,51.7,7.50,0.83,11.1,6.67,88.9,35.8,281.7,116.7,5.83,2.50,5.83,5.83,0.83,33.3,16.7,https://fbref.com/en/players/f00ea3e6/Bill-Antonio,f00ea3e6,Jupiler Pro League
