Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Player Link_,Player ID_,Competition
1,Álvaro Aceves,ESP,GK,Eldense,20-166,2003,3,3,270,3.0,1.67,1.67,2.67,1.00,50.0,0.00,1.00,0.00,0.00,0.0,0.33,0.33,0.00,0.00,0.0,https://fbref.com/en/players/be6faae0/Alvaro-Aceves,be6faae0,La Liga 2
2,Altube,ESP,GK,Albacete,23-320,2000,4,4,360,4.0,1.75,1.75,4.50,2.75,66.7,0.50,0.00,0.50,0.00,0.0,0.25,0.25,0.00,0.00,0.0,https://fbref.com/en/players/e4cbb095/Altube,e4cbb095,La Liga 2
3,Cristian Álvarez,ARG,GK,Zaragoza,38-056,1985,10,10,871,9.7,0.62,0.62,2.99,2.47,79.3,0.62,0.10,0.31,0.41,40.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/87e89eb4/Cristian-Alvarez,87e89eb4,La Liga 2
4,Iker Álvarez,AND,GK,Villarreal B,22-167,2001,15,15,1350,15.0,1.27,1.27,4.13,2.87,72.6,0.40,0.20,0.40,0.20,20.0,0.20,0.13,0.00,0.07,0.0,https://fbref.com/en/players/13619663/Iker-Alvarez,13619663,La Liga 2
5,Lucas Anacker,BRA,GK,Alcorcón,27-108,1996,3,3,270,3.0,0.67,0.67,4.67,4.00,85.7,0.67,0.00,0.33,0.33,33.3,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/0b5d06ee/Lucas-Anacker,0b5d06ee,La Liga 2
6,Édgar Badía,ESP,GK,Elche,31-330,1992,7,7,630,7.0,1.29,1.29,4.71,3.43,75.8,0.29,0.29,0.43,0.29,28.6,0.14,0.14,0.00,0.00,0.0,https://fbref.com/en/players/e4346678/Edgar-Badia,e4346678,La Liga 2
7,Bernabé Barragán,ESP,GK,Albacete,30-324,1993,17,17,1530,17.0,1.41,1.41,2.88,1.41,59.2,0.24,0.41,0.35,0.24,23.5,0.29,0.24,0.06,0.00,20.0,https://fbref.com/en/players/a3cd0078/Bernabe-Barragan,a3cd0078,La Liga 2
8,Ander Cantero,ESP,GK,Racing Ferrol,28-364,1995,21,21,1890,21.0,1.10,1.10,3.57,2.43,72.0,0.48,0.33,0.19,0.29,28.6,0.19,0.10,0.05,0.05,33.3,https://fbref.com/en/players/de9bccf3/Ander-Cantero,de9bccf3,La Liga 2
9,Churripi,ESP,GK,Burgos,29-250,1994,21,21,1890,21.0,1.29,1.29,3.43,2.14,65.3,0.38,0.29,0.33,0.38,38.1,0.14,0.10,0.00,0.05,0.0,https://fbref.com/en/players/81a606fc/Churripi,81a606fc,La Liga 2
10,Diego Conde,ESP,GK,Leganés,25-072,1998,19,18,1630,18.1,0.66,0.66,2.82,2.15,78.4,0.50,0.33,0.17,0.44,44.4,0.06,0.06,0.00,0.00,0.0,https://fbref.com/en/players/4eae5bc4/Diego-Conde,4eae5bc4,La Liga 2
11,Pablo Cuñat,ESP,GK,Amorebieta,21-255,2002,17,17,1530,17.0,1.29,1.29,4.59,3.29,75.6,0.12,0.35,0.53,0.24,23.5,0.24,0.18,0.06,0.00,25.0,https://fbref.com/en/players/a9ab3b32/Pablo-Cunat,a9ab3b32,La Liga 2
12,Jokin Ezkieta,ESP,GK,Racing Sant,27-144,1996,21,21,1890,21.0,1.38,1.38,4.33,3.05,70.3,0.43,0.29,0.29,0.33,33.3,0.10,0.10,0.00,0.00,0.0,https://fbref.com/en/players/0f7dbaf6/Jokin-Ezkieta,0f7dbaf6,La Liga 2
13,Joan Femenías,ESP,GK,Levante,27-142,1996,8,8,720,8.0,2.00,2.00,4.63,2.63,64.9,0.25,0.38,0.38,0.13,12.5,0.38,0.38,0.00,0.00,0.0,https://fbref.com/en/players/fe5f2ab8/Joan-Femenias,fe5f2ab8,La Liga 2
14,Álvaro Fernández,ESP,GK,Huesca,25-270,1998,21,21,1890,21.0,0.86,0.86,3.43,2.57,79.2,0.24,0.33,0.43,0.33,33.3,0.19,0.14,0.05,0.00,25.0,https://fbref.com/en/players/f127d782/Alvaro-Fernandez,f127d782,La Liga 2
15,Andrés Fernández,ESP,GK,Levante,37-022,1986,13,13,1170,13.0,0.77,0.77,3.38,2.54,81.8,0.46,0.38,0.15,0.54,53.8,0.23,0.15,0.08,0.00,33.3,https://fbref.com/en/players/307fcd26/Andres-Fernandez,307fcd26,La Liga 2
16,Dani Jiménez,ESP,GK,Leganés,33-309,1990,3,3,260,2.9,0.34,0.35,2.76,2.41,87.5,0.69,0.00,0.34,0.34,33.3,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/e4365d4a/Dani-Jimenez,e4365d4a,La Liga 2
17,John,BRA,GK,Valladolid,27-329,1996,11,11,990,11.0,1.27,1.27,3.91,2.64,69.8,0.55,0.09,0.36,0.45,45.5,0.18,0.09,0.00,0.09,0.0,https://fbref.com/en/players/33a235af/John,33a235af,La Liga 2
