Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Player Link_,Player ID_,Competition
1,Tony Abad,ESP,DF,Eldense,27-066,1996,19.0,60.4,47.1,13.4,0.84,0.05,0.05,3.00,12.5,0.00,0.00,0.00,0.00,47.9,0.00,1.32,https://fbref.com/en/players/8fa6026e/Tony-Abad,8fa6026e,La Liga 2
2,Abel,ESP,DF,Oviedo,23-140,2000,20.6,53.1,40.7,12.3,0.68,0.05,0.10,5.53,11.6,0.10,0.00,0.10,0.00,36.3,0.05,2.33,https://fbref.com/en/players/40b6bd38/Abel,40b6bd38,La Liga 2
3,Diyaeddine Abzi,CAN,"DF,MF",Leganés,25-046,1998,0.2,75.0,60.0,15.0,0.00,0.00,0.00,0.00,15.0,0.00,0.00,0.00,0.00,65.0,0.00,0.00,https://fbref.com/en/players/97a59a10/Diyaeddine-Abzi,97a59a10,La Liga 2
4,Álvaro Aceves,ESP,GK,Eldense,20-166,2003,3.0,32.3,17.0,15.3,5.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.3,0.00,0.00,https://fbref.com/en/players/be6faae0/Alvaro-Aceves,be6faae0,La Liga 2
5,Emmanuel Addai,GHA,"FW,MF",Alcorcón,22-160,2001,14.5,23.8,22.4,1.03,0.14,0.21,1.10,2.55,0.55,0.34,0.00,0.34,0.00,15.0,0.34,0.97,https://fbref.com/en/players/e0764d9d/Emmanuel-Addai,e0764d9d,La Liga 2
6,Álvaro Aguado,ESP,MF,Espanyol,27-252,1996,8.3,71.6,66.3,5.18,1.93,0.36,0.48,3.86,0.48,2.41,0.60,1.08,0.00,61.1,0.12,0.84,https://fbref.com/en/players/014aa7bd/Alvaro-Aguado,014aa7bd,La Liga 2
7,Marc Aguado,ESP,MF,Zaragoza,23-320,2000,14.1,49.4,47.4,1.84,1.63,0.07,0.28,0.14,0.00,0.07,0.07,0.00,0.00,44.3,0.14,0.64,https://fbref.com/en/players/5a705641/Marc-Aguado,5a705641,La Liga 2
8,Lalo Aguilar,ESP,"DF,MF",Leganés,21-211,2002,0.2,65.0,50.0,15.0,0.00,0.00,0.00,0.00,15.0,0.00,0.00,0.00,0.00,45.0,0.00,5.00,https://fbref.com/en/players/dfbd5cb9/Lalo-Aguilar,dfbd5cb9,La Liga 2
9,Lucas Ahijado,ESP,DF,Oviedo,28-343,1995,5.6,50.4,40.5,9.64,0.36,0.00,0.36,4.11,9.29,0.00,0.00,0.00,0.00,38.6,0.18,1.25,https://fbref.com/en/players/7244b474/Lucas-Ahijado,7244b474,La Liga 2
10,Matheus Aiás,BRA,MF,Racing Sant,27-008,1996,0.1,40.0,40.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,10.0,https://fbref.com/en/players/3ac4ee49/Matheus-Aias,3ac4ee49,La Liga 2
11,Ager Aketxe,ESP,"FW,MF",Eibar,30-009,1993,14.3,60.1,52.0,7.69,2.24,0.42,0.91,7.06,0.56,4.55,1.89,1.54,0.00,46.2,0.35,1.12,https://fbref.com/en/players/c5eaff5c/Ager-Aketxe,c5eaff5c,La Liga 2
12,Ilias Akhomach,ESP,MF,Villarreal B,19-267,2004,1.7,30.0,28.2,1.76,1.18,0.59,0.00,0.00,0.00,0.59,0.00,0.00,0.00,25.9,0.00,0.00,https://fbref.com/en/players/b8bd60fe/Ilias-Akhomach,b8bd60fe,La Liga 2
13,Babatunde Akinsola,NGA,"MF,FW",Valladolid,20-304,2003,3.1,27.7,27.1,0.65,0.00,0.00,0.00,3.55,0.65,0.00,0.00,0.00,0.00,21.0,0.00,1.29,https://fbref.com/en/players/733aab44/Babatunde-Akinsola,733aab44,La Liga 2
14,Jony Álamo,ESP,MF,Cartagena,22-105,2001,5.1,42.9,42.2,0.59,0.59,0.20,0.78,0.00,0.00,0.00,0.00,0.00,0.00,37.5,0.20,0.59,https://fbref.com/en/players/788be7f9/Jony-Alamo,788be7f9,La Liga 2
15,Tomás Alarcón,CHI,"MF,DF",Cartagena,24-354,1999,12.8,43.0,39.8,3.13,1.33,0.08,0.94,1.95,1.02,0.70,0.31,0.23,0.00,33.0,0.16,1.09,https://fbref.com/en/players/99ea2ddd/Tomas-Alarcon,99ea2ddd,La Liga 2
16,Alassán,ESP,"FW,MF",Tenerife,21-118,2002,2.1,23.8,23.8,0.00,0.00,0.00,0.00,3.81,0.00,0.00,0.00,0.00,0.00,14.8,0.00,0.00,https://fbref.com/en/players/95fb7c1b/Alassan,95fb7c1b,La Liga 2
17,Pedro Alcalá,ESP,DF,Cartagena,34-295,1989,18.0,50.2,46.8,3.11,2.39,0.00,1.33,0.11,0.06,0.00,0.00,0.00,0.00,38.4,0.22,0.28,https://fbref.com/en/players/ba71d071/Pedro-Alcala,ba71d071,La Liga 2
18,Edgar Alcañiz,ESP,MF,Levante,18-296,2005,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,https://fbref.com/en/players/6e3326a5/Edgar-Alcaniz,6e3326a5,La Liga 2
19,Aldasoro,ESP,MF,Racing Sant,24-217,1999,15.6,42.1,41.1,0.96,0.71,0.00,0.06,0.13,0.19,0.00,0.00,0.00,0.00,34.6,0.00,0.83,https://fbref.com/en/players/4405a57e/Aldasoro,4405a57e,La Liga 2
20,Alexandre Alemão,BRA,"FW,MF",Oviedo,25-282,1998,3.5,18.6,18.0,0.57,0.00,0.00,0.29,2.29,0.00,0.00,0.00,0.00,0.00,11.4,0.00,0.29,https://fbref.com/en/players/3ed2a79b/Alexandre-Alemao,3ed2a79b,La Liga 2
