Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
1,Tony Abad,ESP,DF,Eldense,27-066,1996,19.0,70.0,2.63,15.6,32.4,22.7,0.95,70.0,1.47,0.53,35.7,0.89,60.7,29.9,129.4,53.8,1.21,1.21,0.11,0.79,0.63,37.0,6.05,https://fbref.com/en/players/8fa6026e/Tony-Abad,8fa6026e,La Liga 2
2,Abel,ESP,DF,Oviedo,23-140,2000,20.6,65.0,2.33,18.3,24.9,22.7,1.07,65.0,2.38,1.31,55.1,0.92,38.8,31.9,217.0,113.4,3.93,2.82,0.39,2.04,1.55,34.2,8.11,https://fbref.com/en/players/40b6bd38/Abel,40b6bd38,La Liga 2
3,Diyaeddine Abzi,CAN,"DF,MF",Leganés,25-046,1998,0.2,110.0,10.0,25.0,45.0,40.0,15.0,110.0,15.0,0.00,0.0,15.0,100.0,40.0,310.0,110.0,5.00,0.00,10.0,0.00,0.00,70.0,5.00,https://fbref.com/en/players/97a59a10/Diyaeddine-Abzi,97a59a10,La Liga 2
4,Álvaro Aceves,ESP,GK,Eldense,20-166,2003,3.0,34.0,28.0,33.7,0.33,0.00,0.00,34.0,0.00,0.00,,0.00,,13.7,71.7,25.7,0.00,0.00,0.00,0.00,0.00,9.33,0.00,https://fbref.com/en/players/be6faae0/Alvaro-Aceves,be6faae0,La Liga 2
5,Emmanuel Addai,GHA,"FW,MF",Alcorcón,22-160,2001,14.5,42.4,0.34,5.86,15.1,22.8,3.66,42.4,7.52,4.07,54.1,3.03,40.4,27.9,215.2,107.7,4.00,2.83,1.52,4.48,1.79,28.8,8.07,https://fbref.com/en/players/e0764d9d/Emmanuel-Addai,e0764d9d,La Liga 2
6,Álvaro Aguado,ESP,MF,Espanyol,27-252,1996,8.3,80.5,1.20,11.9,51.9,17.5,0.72,80.5,1.33,0.60,45.5,0.60,45.5,53.7,361.2,189.5,3.86,2.05,0.12,1.08,0.84,61.4,1.81,https://fbref.com/en/players/014aa7bd/Alvaro-Aguado,014aa7bd,La Liga 2
7,Marc Aguado,ESP,MF,Zaragoza,23-320,2000,14.1,57.9,2.27,15.2,37.7,5.46,0.14,57.9,0.21,0.14,66.7,0.00,0.0,27.9,119.1,49.8,0.21,0.43,0.00,0.43,0.21,33.8,0.50,https://fbref.com/en/players/5a705641/Marc-Aguado,5a705641,La Liga 2
8,Lalo Aguilar,ESP,"DF,MF",Leganés,21-211,2002,0.2,75.0,5.00,30.0,35.0,15.0,0.00,75.0,0.00,0.00,,0.00,,25.0,170.0,100.0,5.00,0.00,0.00,5.00,0.00,15.0,0.00,https://fbref.com/en/players/dfbd5cb9/Lalo-Aguilar,dfbd5cb9,La Liga 2
9,Lucas Ahijado,ESP,DF,Oviedo,28-343,1995,5.6,62.0,2.86,17.7,24.6,20.2,1.25,62.0,2.68,1.43,53.3,1.07,40.0,31.1,226.8,135.4,3.57,2.86,0.18,1.79,0.18,32.1,4.82,https://fbref.com/en/players/7244b474/Lucas-Ahijado,7244b474,La Liga 2
10,Matheus Aiás,BRA,MF,Racing Sant,27-008,1996,0.1,50.0,0.00,10.0,30.0,20.0,0.00,50.0,0.00,0.00,,0.00,,30.0,130.0,0.00,0.00,0.00,0.00,0.00,0.00,30.0,10.0,https://fbref.com/en/players/3ac4ee49/Matheus-Aias,3ac4ee49,La Liga 2
