Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
1,Carlos Acevedo,MEX,GK,Santos,27-264,1996,6.0,2.00,0.17,0.00,0.33,0.00,2.00,0.32,0.00,-0.01,4.83,14.8,32.6,15.8,3.00,51.6,41.1,8.67,76.9,54.7,17.3,0.83,4.8,0.33,0.33,8.8,https://fbref.com/en/players/0810e384/Carlos-Acevedo,0810e384,Liga MX
2,Guillermo Allison,MEX,GK,Querétaro,33-105,1990,12.0,1.42,0.25,0.00,0.17,0.08,1.85,0.28,0.52,+0.52,8.08,19.2,42.2,19.6,2.67,60.4,45.1,9.92,73.9,55.0,15.6,0.83,5.3,0.25,0.25,11.3,https://fbref.com/en/players/3438600c/Guillermo-Allison,3438600c,Liga MX
3,Esteban Andrada,ARG,GK,Monterrey,32-347,1991,16.0,0.94,0.19,0.00,0.06,0.00,1.16,0.23,0.23,+0.23,5.69,12.3,46.4,36.6,5.81,26.7,31.1,5.00,50.0,44.4,13.7,1.56,11.4,1.13,1.13,14.0,https://fbref.com/en/players/775d365e/Esteban-Andrada,775d365e,Liga MX
4,Luis Ángel Malagón,MEX,GK,América,26-312,1997,13.5,0.81,0.00,0.07,0.07,0.00,0.98,0.37,0.16,+0.16,3.63,10.7,34.0,21.6,3.33,34.4,34.6,7.93,41.1,36.6,14.1,0.59,4.2,0.15,0.15,10.1,https://fbref.com/en/players/48bd91d4/Luis-Angel-Malagon,48bd91d4,Liga MX
5,José Antonio Rodríguez,MEX,GK,Tijuana,31-188,1992,14.0,1.50,0.00,0.00,0.07,0.07,1.53,0.31,0.10,+0.10,6.64,14.6,45.6,26.4,3.21,39.2,35.7,7.36,57.3,44.5,11.1,0.64,5.8,0.79,0.79,13.5,https://fbref.com/en/players/a78c131a/Jose-Antonio-Rodriguez,a78c131a,Liga MX
6,Alfonso Blanco Antúnez,MEX,GK,León,36-161,1987,1.0,1.00,0.00,0.00,0.00,0.00,1.70,0.42,0.70,+0.67,3.00,4.00,75.0,17.0,7.00,11.8,23.5,5.00,40.0,32.8,10.0,1.00,10.0,1.00,1.00,19.5,https://fbref.com/en/players/dce4c80e/Alfonso-Blanco-Antunez,dce4c80e,Liga MX
7,Luis Cárdenas,MEX,GK,Monterrey,30-115,1993,1.0,0.00,0.00,0.00,0.00,0.00,1.20,0.43,1.20,+1.24,7.00,13.0,53.8,52.0,4.00,17.3,27.0,5.00,80.0,44.6,11.0,2.00,18.2,1.00,1.00,11.9,https://fbref.com/en/players/a1dea252/Luis-Cardenas,a1dea252,Liga MX
8,José Corona,MEX,GK,Tijuana,42-347,1981,3.0,1.67,0.33,0.33,0.33,0.00,1.50,0.26,-0.17,-0.17,4.00,9.33,42.9,22.3,3.00,29.9,31.8,6.00,44.4,44.3,9.67,0.67,6.9,0.33,0.33,10.7,https://fbref.com/en/players/e39a7e9c/Jose-Corona,e39a7e9c,Liga MX
9,Rodolfo Cota,MEX,GK,León,36-189,1987,16.0,1.31,0.13,0.00,0.13,0.06,1.21,0.32,-0.04,-0.05,2.06,5.25,39.3,18.5,5.88,21.6,30.3,7.56,16.5,27.0,11.7,0.81,7.0,1.56,1.56,16.1,https://fbref.com/en/players/a4a5868e/Rodolfo-Cota,a4a5868e,Liga MX
10,Carlos Felipe Rodríguez,MEX,GK,UANL,34-280,1989,1.0,0.00,0.00,0.00,0.00,0.00,1.00,0.32,1.00,+0.96,5.00,10.0,50.0,28.0,3.00,28.6,32.1,4.00,50.0,48.0,10.0,0.00,0.0,0.00,0.00,12.0,https://fbref.com/en/players/ce239870/Carlos-Felipe-Rodriguez,ce239870,Liga MX
