Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player Link_,Player ID_,Competition
1,José Abella,MEX,"DF,MF",Atlas,28,1994,20.9,32.2,44.1,72.9,652.6,264.4,12.1,13.8,87.5,14.2,17.7,80.5,5.55,10.9,50.9,0.05,0.03,0.07,0.01,0.57,2.97,0.72,0.43,3.88,https://fbref.com/en/players/93f24791/Jose-Abella,93f24791,Liga MX
2,Clifford Aboagye,GHA,MF,Querétaro,27,1995,6.5,37.1,47.4,78.2,675.8,179.8,17.4,19.7,88.3,15.1,18.0,83.8,4.46,6.92,64.4,0.31,0.09,0.12,0.22,1.85,4.15,1.69,0.46,4.92,https://fbref.com/en/players/8ee9191e/Clifford-Aboagye,8ee9191e,Liga MX
3,Luis Abram,PER,DF,Cruz Azul,26,1996,10.0,27.0,34.6,78.0,582.0,255.8,7.30,7.70,94.8,15.9,17.8,89.3,3.80,8.20,46.3,0.00,0.00,0.01,0.00,0.00,1.10,0.10,0.00,1.50,https://fbref.com/en/players/1f462f95/Luis-Abram,1f462f95,Liga MX
4,Carlos Acevedo,MEX,GK,Santos,26,1996,33.0,19.5,28.8,67.6,622.9,483.9,3.33,3.36,99.1,7.52,7.67,98.0,8.39,17.5,48.0,0.00,0.00,0.00,0.00,0.03,0.55,0.00,0.00,0.00,https://fbref.com/en/players/0810e384/Carlos-Acevedo,0810e384,Liga MX
5,Sergio Adrián Flores,MEX,MF,Guadalajara,27,1995,11.2,37.2,46.9,79.4,723.8,319.1,13.0,15.8,82.5,19.0,21.6,88.0,4.64,7.23,64.2,0.09,0.06,0.04,0.03,0.71,5.18,0.27,0.00,4.11,https://fbref.com/en/players/b8776065/Sergio-Adrian-Flores,b8776065,Liga MX
6,Washington Aguerre,URU,GK,Querétaro,29,1993,9.0,18.7,29.7,62.9,639.0,492.4,2.33,2.33,100.0,8.33,8.44,98.7,7.78,18.6,41.9,0.00,0.00,0.00,0.00,0.11,0.78,0.22,0.00,0.00,https://fbref.com/en/players/19da9ece/Washington-Aguerre,19da9ece,Liga MX
7,Eduardo Águila,MEX,DF,Atlético,20,2002,2.4,37.5,51.3,73.2,706.3,262.1,11.7,13.3,87.5,21.3,27.5,77.3,3.33,8.33,40.0,0.00,0.00,0.00,0.00,0.42,4.17,0.00,0.00,2.92,https://fbref.com/en/players/723496a4/Eduardo-Aguila,723496a4,Liga MX
8,Daniel Aguilar,MEX,"DF,MF",Puebla,24,1998,7.9,36.1,46.5,77.7,623.4,231.5,18.1,21.0,86.1,14.2,17.8,79.4,3.29,5.19,63.4,0.00,0.01,0.04,-0.01,0.76,2.28,0.25,0.13,2.53,https://fbref.com/en/players/cb98d15d/Daniel-Aguilar,cb98d15d,Liga MX
9,Manuel Aguilar,MEX,DF,UANL,19,2003,0.5,32.0,36.0,88.9,486.0,156.0,20.0,20.0,100.0,8.00,10.0,80.0,2.00,2.00,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/49674dfa/Manuel-Aguilar,49674dfa,Liga MX
10,Emanuel Aguilera,ARG,DF,Atlas,33,1989,11.5,39.6,47.7,83.0,857.4,281.0,12.3,13.0,94.6,20.2,23.0,87.5,6.96,10.7,65.0,0.00,0.01,0.03,-0.01,0.17,3.57,0.00,0.00,3.48,https://fbref.com/en/players/fc63eb31/Emanuel-Aguilera,fc63eb31,Liga MX
