Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
1,José Abella,MEX,DF,Atlas,29-332,1994,17.0,63.4,2.82,16.4,31.4,16.2,0.53,63.4,0.53,0.18,33.3,0.35,66.7,31.4,107.1,48.9,0.71,0.71,0.00,0.71,0.41,37.4,3.59,https://fbref.com/en/players/93f24791/Jose-Abella,93f24791,Liga MX
2,Diego Abitia,MEX,FW,Atlético,20-267,2003,0.0,1,0,0,1,0,0,1,0,0,,0,,1,11,0,0,0,0,0,0,1,0,https://fbref.com/en/players/49dc9833/Diego-Abitia,49dc9833,Liga MX
3,Carlos Acevedo,MEX,GK,Santos,27-264,1996,6.0,27.7,25.2,27.5,0.17,0.00,0.00,27.7,0.00,0.00,,0.00,,12.2,60.2,41.7,0.00,0.00,0.00,0.00,0.00,7.50,0.00,https://fbref.com/en/players/0810e384/Carlos-Acevedo,0810e384,Liga MX
4,Sergio Adrián Flores,MEX,MF,Mazatlán,28-330,1995,10.3,56.2,3.69,20.4,32.6,3.98,0.19,56.2,0.49,0.19,40.0,0.19,40.0,25.5,83.8,34.9,0.19,0.19,0.00,0.58,0.19,31.4,0.39,https://fbref.com/en/players/b8776065/Sergio-Adrian-Flores,b8776065,Liga MX
5,Eduardo Águila,MEX,"DF,FW",Atlético,21-236,2002,1.1,76.4,4.55,40.0,31.8,4.55,0.91,76.4,1.82,0.91,50.0,0.91,50.0,30.9,144.5,41.8,0.91,0.00,0.00,0.00,0.00,47.3,1.82,https://fbref.com/en/players/723496a4/Eduardo-Aguila,723496a4,Liga MX
6,Daniel Aguilar,MEX,"FW,MF",Puebla,25-336,1998,1.3,78.5,3.08,13.1,34.6,30.8,3.85,78.5,2.31,0.77,33.3,1.54,66.7,33.1,202.3,121.5,5.38,3.08,1.54,6.92,0.00,45.4,8.46,https://fbref.com/en/players/cb98d15d/Daniel-Aguilar,cb98d15d,Liga MX
7,Eduardo Aguirre,MEX,"FW,MF",Atlas,25-158,1998,6.8,39.4,0.88,2.79,14.3,22.6,4.41,39.4,2.06,0.59,28.6,1.18,57.1,21.3,91.2,35.3,1.03,0.74,0.15,3.38,2.50,27.5,6.76,https://fbref.com/en/players/61088de3/Eduardo-Aguirre,61088de3,Liga MX
8,Érick Aguirre,MEX,DF,Monterrey,26-319,1997,5.1,56.5,2.75,15.5,25.1,15.9,1.37,56.5,0.20,0.00,0.0,0.00,0.0,22.4,102.9,57.6,1.37,1.18,0.00,0.20,0.00,32.2,7.84,https://fbref.com/en/players/06dddd9e/Erick-Aguirre,06dddd9e,Liga MX
9,Gaddi Aguirre,MEX,DF,Atlas,27-283,1996,5.2,65.8,5.38,35.2,29.6,1.35,0.58,65.8,0.19,0.19,100.0,0.00,0.0,40.0,173.1,82.9,0.00,0.19,0.00,0.19,0.00,42.5,0.00,https://fbref.com/en/players/a566d3a2/Gaddi-Aguirre,a566d3a2,Liga MX
10,Rodrigo Aguirre,URU,"FW,MF",Monterrey,29-099,1994,1.7,41.8,0.00,1.76,14.1,25.9,9.41,41.8,2.35,0.59,25.0,1.76,75.0,27.1,215.3,90.6,3.53,2.35,2.35,4.71,2.35,36.5,7.65,https://fbref.com/en/players/b5691f5d/Rodrigo-Aguirre,b5691f5d,Liga MX
11,Arnaud Ake,CIV,FW,Mazatlán,25-282,1998,5.9,27.6,1.02,1.86,12.2,14.1,3.90,27.6,1.86,0.51,27.3,1.19,63.6,14.7,82.9,27.5,0.85,1.19,0.34,4.58,1.53,20.0,3.73,https://fbref.com/en/players/3402bb17/Arnaud-Ake,3402bb17,Liga MX
12,Jesús Alberto Angulo,MEX,DF,UANL,25-343,1998,14.6,64.5,3.08,19.5,34.9,10.9,0.75,64.5,0.68,0.14,20.0,0.48,70.0,29.6,125.0,61.0,1.10,0.62,0.27,1.10,0.27,34.9,1.78,https://fbref.com/en/players/2a8638ec/Jesus-Alberto-Angulo,2a8638ec,Liga MX
13,Adrián Aldrete,MEX,DF,UNAM,35-208,1988,12.7,59.3,3.54,20.3,28.7,10.9,0.24,59.3,0.16,0.16,100.0,0.00,0.0,22.9,93.8,51.3,0.39,0.47,0.00,0.24,0.16,26.1,0.94,https://fbref.com/en/players/cd5453d5/Adrian-Aldrete,cd5453d5,Liga MX
14,Daniel Alexis Parra,MEX,DF,Monterrey,24-172,1999,1.0,67.0,3.00,14.0,38.0,15.0,2.00,67.0,2.00,0.00,0.0,2.00,100.0,22.0,108.0,27.0,0.00,0.00,0.00,1.00,2.00,48.0,7.00,https://fbref.com/en/players/b4daf602/Daniel-Alexis-Parra,b4daf602,Liga MX
15,Luis Alfonso Rodríguez,MEX,DF,FC Juárez,32-352,1991,15.6,63.2,3.01,19.9,32.2,11.6,0.58,63.2,1.60,0.83,52.0,0.77,48.0,33.7,173.4,89.6,2.12,1.22,0.13,0.96,0.38,35.4,3.78,https://fbref.com/en/players/125d6bed/Luis-Alfonso-Rodriguez,125d6bed,Liga MX
16,Guillermo Allison,MEX,GK,Querétaro,33-105,1990,12.0,32.5,28.2,32.5,0.00,0.00,0.00,32.5,0.00,0.00,,0.00,,14.7,93.1,64.9,0.00,0.00,0.00,0.25,0.00,8.67,0.00,https://fbref.com/en/players/3438600c/Guillermo-Allison,3438600c,Liga MX
17,Facundo Almada,ARG,DF,Mazatlán,25-182,1998,17.0,50.5,6.41,25.3,24.2,1.53,0.82,50.5,0.24,0.24,100.0,0.00,0.0,28.1,151.1,97.2,0.76,0.35,0.00,0.47,0.18,30.7,0.35,https://fbref.com/en/players/cd60f3ce/Facundo-Almada,cd60f3ce,Liga MX
18,Alfonso Alvarado,MEX,"FW,MF",León,23-301,2000,9.9,31.5,1.21,3.94,15.3,12.6,3.84,31.5,1.52,0.81,53.3,0.71,46.7,18.9,106.9,35.4,0.71,1.11,0.30,2.73,0.71,22.8,3.64,https://fbref.com/en/players/f2f8ca42/Alfonso-Alvarado,f2f8ca42,Liga MX
19,Roberto Alvarado,MEX,"FW,MF",Guadalajara,25-123,1998,12.6,61.0,0.87,6.27,27.5,28.6,3.10,60.7,5.16,2.54,49.2,2.46,47.7,37.1,254.8,121.7,4.05,3.33,1.19,3.49,1.75,43.6,7.78,https://fbref.com/en/players/ff871e14/Roberto-Alvarado,ff871e14,Liga MX
20,Ventura Alvarado,USA,DF,Mazatlán,31-145,1992,4.5,56.0,6.89,35.3,20.0,0.89,0.44,56.0,0.22,0.00,0.0,0.22,100.0,28.0,131.3,40.2,0.00,0.22,0.00,0.67,0.00,30.9,0.00,https://fbref.com/en/players/4c219392/Ventura-Alvarado,4c219392,Liga MX
21,Alek Álvarez,MEX,DF,Necaxa,20-281,2003,0.1,90.0,10.0,40.0,40.0,10.0,0.00,90.0,10.0,10.0,100.0,0.00,0.0,50.0,510.0,380.0,20.0,0.00,0.00,0.00,0.00,50.0,0.00,https://fbref.com/en/players/5ab26e83/Alek-Alvarez,5ab26e83,Liga MX
