Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Player Link_,Player ID_,Competition
1,José Abella,MEX,"DF,MF",Atlas,28,1994,20.9,0.00,0.43,0.10,22.2,0.43,0.10,0.00,0.00,22.3,0.00,0.00,0.00,0.01,0.01,0.04,-0.01,-0.01,https://fbref.com/en/players/93f24791/Jose-Abella,93f24791,Liga MX
2,Clifford Aboagye,GHA,MF,Querétaro,27,1995,6.5,0.15,0.46,0.15,33.3,0.46,0.15,0.33,1.00,23.4,0.00,0.00,0.00,0.06,0.06,0.13,0.09,0.09,https://fbref.com/en/players/8ee9191e/Clifford-Aboagye,8ee9191e,Liga MX
3,Luis Abram,PER,DF,Cruz Azul,26,1996,10.0,0.00,0.30,0.00,0.0,0.30,0.00,0.00,,12.7,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,https://fbref.com/en/players/1f462f95/Luis-Abram,1f462f95,Liga MX
4,Carlos Acevedo,MEX,GK,Santos,26,1996,33.0,0.03,0.03,0.03,100.0,0.03,0.03,1.00,1.00,5.6,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.03,https://fbref.com/en/players/0810e384/Carlos-Acevedo,0810e384,Liga MX
5,Sergio Adrián Flores,MEX,MF,Guadalajara,27,1995,11.2,0.18,0.80,0.45,55.6,0.80,0.45,0.22,0.40,14.0,0.00,0.00,0.00,0.08,0.08,0.10,0.10,0.10,https://fbref.com/en/players/b8776065/Sergio-Adrian-Flores,b8776065,Liga MX
6,Washington Aguerre,URU,GK,Querétaro,29,1993,9.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/19da9ece/Washington-Aguerre,19da9ece,Liga MX
7,Eduardo Águila,MEX,DF,Atlético,20,2002,2.4,0.00,1.25,0.42,33.3,1.25,0.42,0.00,0.00,16.7,0.00,0.00,0.00,0.08,0.08,0.06,-0.08,-0.08,https://fbref.com/en/players/723496a4/Eduardo-Aguila,723496a4,Liga MX
8,Daniel Aguilar,MEX,"DF,MF",Puebla,24,1998,7.9,0.00,1.01,0.13,12.5,1.01,0.13,0.00,0.00,24.7,0.13,0.00,0.00,0.05,0.05,0.05,-0.05,-0.05,https://fbref.com/en/players/cb98d15d/Daniel-Aguilar,cb98d15d,Liga MX
9,Manuel Aguilar,MEX,DF,UANL,19,2003,0.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/49674dfa/Manuel-Aguilar,49674dfa,Liga MX
10,Emanuel Aguilera,ARG,DF,Atlas,33,1989,11.5,0.00,0.61,0.00,0.0,0.61,0.00,0.00,,19.0,0.09,0.00,0.00,0.03,0.03,0.06,-0.03,-0.03,https://fbref.com/en/players/fc63eb31/Emanuel-Aguilera,fc63eb31,Liga MX
11,Eduardo Aguirre,MEX,FW,Santos,23,1998,12.7,0.24,1.26,0.55,43.8,1.26,0.55,0.13,0.29,13.9,0.00,0.08,0.08,0.17,0.11,0.09,0.06,0.05,https://fbref.com/en/players/61088de3/Eduardo-Aguirre,61088de3,Liga MX
12,Érick Aguirre,MEX,DF,Monterrey,25,1997,15.6,0.06,0.58,0.19,33.3,0.58,0.19,0.11,0.33,20.0,0.00,0.00,0.00,0.07,0.07,0.12,-0.01,-0.01,https://fbref.com/en/players/06dddd9e/Erick-Aguirre,06dddd9e,Liga MX
13,Gaddi Aguirre,MEX,DF,Atlas,26,1996,15.8,0.06,0.89,0.13,14.3,0.89,0.13,0.07,0.50,10.1,0.00,0.00,0.00,0.06,0.06,0.07,0.00,0.00,https://fbref.com/en/players/a566d3a2/Gaddi-Aguirre,a566d3a2,Liga MX
14,Rodrigo Aguirre,URU,"FW,MF",Monterrey,27,1994,22.3,0.36,3.00,0.81,26.9,3.00,0.81,0.10,0.39,18.6,0.04,0.04,0.09,0.42,0.35,0.12,-0.06,-0.03,https://fbref.com/en/players/b5691f5d/Rodrigo-Aguirre,b5691f5d,Liga MX
15,Manuel Agustín Duarte,ARG,MF,Querétaro,20,2001,4.6,0.00,2.39,0.43,18.2,2.37,0.43,0.00,0.00,27.2,0.22,0.00,0.00,0.09,0.09,0.04,-0.09,-0.09,https://fbref.com/en/players/be50f4be/Manuel-Agustin-Duarte,be50f4be,Liga MX
16,Arnaud Ake,CIV,FW,Mazatlán,24,1998,8.6,0.23,1.40,0.35,25.0,1.40,0.35,0.17,0.67,10.4,0.00,0.00,0.00,0.29,0.29,0.21,-0.06,-0.06,https://fbref.com/en/players/3402bb17/Arnaud-Ake,3402bb17,Liga MX
17,Edgar Alaffita,MEX,MF,UNAM,25,1996,1.4,0.00,0.71,0.00,0.0,0.72,0.00,0.00,,25.3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,https://fbref.com/en/players/e09561fc/Edgar-Alaffita,e09561fc,Liga MX
18,Oswaldo Alanís,MEX,DF,Mazatlán,33,1989,19.1,0.16,0.84,0.31,37.5,0.84,0.31,0.19,0.50,21.7,0.16,0.00,0.00,0.05,0.05,0.06,0.11,0.11,https://fbref.com/en/players/e97787d9/Oswaldo-Alanis,e97787d9,Liga MX
19,Jesús Alberto Angulo,MEX,DF,UANL,24,1998,29.2,0.03,0.55,0.10,18.8,0.55,0.10,0.06,0.33,24.8,0.00,0.00,0.00,0.02,0.02,0.04,0.01,0.01,https://fbref.com/en/players/2a8638ec/Jesus-Alberto-Angulo,2a8638ec,Liga MX
20,Gil Alcalá,MEX,GK,Querétaro,30,1992,17.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/a1bb9076/Gil-Alcala,a1bb9076,Liga MX
21,Gil Alcalá,MEX,GK,UNAM,30,1992,2.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/a1bb9076/Gil-Alcala,a1bb9076,Liga MX
22,Adrián Aldrete,MEX,DF,UNAM,34,1988,16.0,0.06,0.44,0.19,42.9,0.44,0.19,0.14,0.33,28.7,0.25,0.00,0.00,0.02,0.02,0.04,0.04,0.04,https://fbref.com/en/players/cd5453d5/Adrian-Aldrete,cd5453d5,Liga MX
23,Daniel Alexis Parra,MEX,"DF,MF",Necaxa,23,1999,1.6,0.00,0.63,0.00,0.0,0.62,0.00,0.00,,8.8,0.00,0.00,0.00,0.06,0.06,0.08,-0.06,-0.06,https://fbref.com/en/players/b4daf602/Daniel-Alexis-Parra,b4daf602,Liga MX
24,Luis Alfonso Rodríguez,MEX,"DF,MF",FC Juárez,31,1991,15.0,0.00,0.87,0.13,15.4,0.87,0.13,0.00,0.00,28.2,0.00,0.00,0.00,0.02,0.02,0.02,-0.02,-0.02,https://fbref.com/en/players/125d6bed/Luis-Alfonso-Rodriguez,125d6bed,Liga MX
25,Luis Alfonso Rodríguez,MEX,DF,UANL,31,1991,1.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/125d6bed/Luis-Alfonso-Rodriguez,125d6bed,Liga MX
26,David Alfredo Andrade,MEX,"MF,DF",Atlético,29,1993,3.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/ebec4405/David-Alfredo-Andrade,ebec4405,Liga MX
27,Facundo Almada,ARG,DF,Mazatlán,24,1998,12.4,0.08,0.65,0.16,25.0,0.65,0.16,0.13,0.50,12.7,0.00,0.00,0.00,0.05,0.05,0.07,0.03,0.03,https://fbref.com/en/players/cd60f3ce/Facundo-Almada,cd60f3ce,Liga MX
28,Carlos Alonso Vargas,MEX,DF,Cruz Azul,23,1999,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/20974b8a/Carlos-Alonso-Vargas,20974b8a,Liga MX
29,Carlos Alonso Vargas,MEX,DF,Mazatlán,23,1999,10.3,0.00,0.87,0.39,44.4,0.87,0.39,0.00,0.00,26.1,0.29,0.00,0.00,0.04,0.04,0.04,-0.04,-0.04,https://fbref.com/en/players/20974b8a/Carlos-Alonso-Vargas,20974b8a,Liga MX
30,Jozy Altidore,USA,"FW,MF",Puebla,32,1989,1.0,2.00,4.00,3.00,75.0,3.91,2.93,0.50,0.67,14.6,0.00,0.00,0.00,0.60,0.60,0.16,1.40,1.40,https://fbref.com/en/players/8db8ad1e/Jozy-Altidore,8db8ad1e,Liga MX
31,Alfonso Alvarado,MEX,"FW,MF",León,22,2000,7.9,0.38,3.29,1.14,34.6,3.29,1.14,0.12,0.33,16.3,0.00,0.00,0.00,0.35,0.35,0.11,0.03,0.03,https://fbref.com/en/players/f2f8ca42/Alfonso-Alvarado,f2f8ca42,Liga MX
32,Roberto Alvarado,MEX,"MF,FW",Guadalajara,23,1998,26.8,0.11,1.94,0.60,30.8,1.94,0.60,0.06,0.19,18.7,0.07,0.00,0.00,0.15,0.15,0.08,-0.04,-0.04,https://fbref.com/en/players/ff871e14/Roberto-Alvarado,ff871e14,Liga MX
33,Ventura Alvarado,USA,DF,FC Juárez,29,1992,5.2,0.00,0.38,0.00,0.0,0.39,0.00,0.00,,11.4,0.00,0.00,0.00,0.02,0.02,0.06,-0.02,-0.02,https://fbref.com/en/players/4c219392/Ventura-Alvarado,4c219392,Liga MX
34,Alek Álvarez,MEX,"DF,MF",UNAM,19,2003,5.3,0.00,0.19,0.00,0.0,0.19,0.00,0.00,,25.7,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,https://fbref.com/en/players/5ab26e83/Alek-Alvarez,5ab26e83,Liga MX
35,Kevin Álvarez,MEX,DF,Pachuca,23,1999,31.4,0.10,0.96,0.19,20.0,0.96,0.19,0.10,0.50,21.7,0.00,0.00,0.00,0.07,0.07,0.07,0.03,0.03,https://fbref.com/en/players/636b0833/Kevin-Alvarez,636b0833,Liga MX
36,Daniel Álvarez López,MEX,"FW,MF",Toluca,28,1994,3.1,0.32,2.58,1.61,62.5,2.58,1.61,0.13,0.20,19.5,0.00,0.00,0.00,0.13,0.13,0.05,0.19,0.19,https://fbref.com/en/players/649f8ee1/Daniel-Alvarez-Lopez,649f8ee1,Liga MX
37,Daniel Álvarez López,MEX,"MF,DF",Puebla,28,1994,3.7,0.00,1.35,0.27,20.0,1.36,0.27,0.00,0.00,27.4,0.00,0.00,0.00,0.05,0.05,0.04,-0.05,-0.05,https://fbref.com/en/players/649f8ee1/Daniel-Alvarez-Lopez,649f8ee1,Liga MX
38,Dani Alves,BRA,"MF,DF",UNAM,39,1983,12.5,0.00,1.12,0.16,14.3,1.12,0.16,0.00,0.00,28.1,0.40,0.00,0.00,0.06,0.06,0.05,-0.06,-0.06,https://fbref.com/en/players/c9e99e49/Dani-Alves,c9e99e49,Liga MX
39,Fidel Ambríz,MEX,"MF,DF",León,19,2003,23.6,0.13,1.06,0.47,44.0,1.06,0.47,0.12,0.27,21.8,0.00,0.00,0.00,0.09,0.09,0.09,0.04,0.04,https://fbref.com/en/players/14968cd5/Fidel-Ambriz,14968cd5,Liga MX
40,Esteban Andrada,ARG,GK,Monterrey,31,1991,25.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/775d365e/Esteban-Andrada,775d365e,Liga MX
41,Alejandro Andrade,MEX,MF,Necaxa,20,2001,0.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/06b00cad/Alejandro-Andrade,06b00cad,Liga MX
42,Luis Ángel Malagón,MEX,GK,América,25,1997,7.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/48bd91d4/Luis-Angel-Malagon,48bd91d4,Liga MX
43,Luis Ángel Malagón,MEX,GK,Necaxa,25,1997,17.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/48bd91d4/Luis-Angel-Malagon,48bd91d4,Liga MX
44,Miguel Ángel Ponce,MEX,"DF,FW",Guadalajara,33,1989,1.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/5c16e950/Miguel-Angel-Ponce,5c16e950,Liga MX
45,Brayan Angulo,COL,DF,Toluca,32,1989,23.0,0.04,0.57,0.30,53.8,0.57,0.30,0.08,0.14,17.1,0.00,0.00,0.00,0.06,0.06,0.09,-0.01,-0.01,https://fbref.com/en/players/af31b77b/Brayan-Angulo,af31b77b,Liga MX
46,Jesús Angulo,MEX,"DF,MF",Guadalajara,25,1997,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/c219b86b/Jesus-Angulo,c219b86b,Liga MX
