Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player Link_,Player ID_,Competition
1,Abdel Abdallah,COM,DF,Rodez Aveyron,26-143,1997,13.7,32.1,44.0,73.0,547.6,180.7,15.1,17.2,87.7,12.6,16.6,75.9,3.21,7.66,41.9,0.00,0.09,0.09,-0.09,1.61,2.85,1.53,0.73,4.23,https://fbref.com/en/players/18f2e473/Abdel-Abdallah,18f2e473,Ligue 2
2,Himad Abdelli,ALG,"MF,FW",Angers,24-052,1999,18.0,51.7,63.5,81.5,989.6,287.4,20.6,24.3,84.5,21.7,24.8,87.5,7.72,10.7,72.4,0.11,0.11,0.12,0.01,1.00,7.83,1.61,0.22,8.67,https://fbref.com/en/players/7978cbf0/Himad-Abdelli,7978cbf0,Ligue 2
3,Ali Abdi,TUN,"DF,MF",Caen,30-019,1993,19.0,39.7,54.5,72.9,652.8,283.3,19.2,23.0,83.3,16.3,20.7,78.9,2.58,6.58,39.2,0.05,0.11,0.10,-0.05,1.11,3.16,1.21,0.37,4.58,https://fbref.com/en/players/ad7cdb35/Ali-Abdi,ad7cdb35,Ligue 2
4,Elhadj Abdourahamane Bah,GUI,FW,Dunkerque,22-139,2001,1.2,,,,,,,,,,,,,,,0.00,,,,,,,,,https://fbref.com/en/players/9edcee65/Elhadj-Abdourahamane-Bah,9edcee65,Ligue 2
5,Salomon Abergel,FRA,DF,Ajaccio,19-188,2004,1.9,52.1,57.9,90.0,792.6,216.3,26.3,27.9,94.3,18.9,21.1,90.0,4.21,4.74,88.9,0.00,0.05,0.00,-0.05,1.05,1.58,0.00,0.00,2.63,https://fbref.com/en/players/09273360/Salomon-Abergel,09273360,Ligue 2
6,Martin Adeline,FRA,MF,Annecy,20-037,2003,13.6,27.4,37.6,72.7,465.2,126.7,11.4,14.9,76.4,12.6,15.8,80.0,1.84,3.82,48.1,0.00,0.03,0.04,-0.03,0.66,3.46,0.66,0.00,4.63,https://fbref.com/en/players/7587446d/Martin-Adeline,7587446d,Ligue 2
7,Jordan Adéoti,BEN,"MF,FW",Stade Laval,34-302,1989,1.1,30.9,45.5,68.0,562.7,160.9,11.8,13.6,86.7,16.4,21.8,75.0,1.82,3.64,50.0,0.00,0.00,0.00,0.00,0.00,3.64,0.00,0.00,5.45,https://fbref.com/en/players/508c8f3e/Jordan-Adeoti,508c8f3e,Ligue 2
8,Saad Agouzoul,MAR,DF,Auxerre,26-151,1997,5.2,61.5,67.9,90.7,1250.0,332.9,17.5,18.8,92.9,35.4,37.5,94.4,7.88,10.2,77.4,0.00,0.00,0.00,0.00,0.00,2.31,0.00,0.00,2.50,https://fbref.com/en/players/e08ba522/Saad-Agouzoul,e08ba522,Ligue 2
9,Ange Ahoussou,CIV,"DF,MF",Pau FC,20-017,2003,6.1,40.2,47.0,85.4,815.2,277.2,11.0,11.6,94.4,21.3,24.1,88.4,6.07,8.69,69.8,0.00,0.00,0.00,0.00,0.00,1.97,0.00,0.00,2.30,https://fbref.com/en/players/6449f935/Ange-Ahoussou,6449f935,Ligue 2
10,Clément Akpa,CIV,DF,Auxerre,22-045,2001,5.3,43.8,57.0,76.8,808.3,304.7,17.2,19.4,88.3,22.6,27.2,83.3,3.40,8.11,41.9,0.19,0.08,0.06,0.11,0.57,4.15,1.13,0.38,6.23,https://fbref.com/en/players/0abb5072/Clement-Akpa,0abb5072,Ligue 2
