Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Player Link_,Player ID_,Competition
1,Rodrigo Abascal,URU,DF,Boavista,29-359,1994,12.7,0.24,0.00,0.00,0.87,0.24,0.00,0.71,1.26,0.71,0.00,0.00,0.08,5.20,1.26,0.79,61.5,https://fbref.com/en/players/088ae0d1/Rodrigo-Abascal,088ae0d1,Primeira Liga
2,Issah Abbas,GHA,"MF,FW",Chaves,25-104,1998,3.1,0.32,0.00,0.00,2.58,2.90,0.32,2.90,0.00,0.00,0.00,0.00,0.00,2.58,0.32,0.65,33.3,https://fbref.com/en/players/2590ddf7/Issah-Abbas,2590ddf7,Primeira Liga
3,Antonio Adán,ESP,GK,Sporting CP,36-240,1987,16.0,0.06,0.00,0.00,0.06,0.13,0.00,0.06,0.00,0.00,0.00,0.06,0.00,0.88,0.06,0.00,100.0,https://fbref.com/en/players/65d62814/Antonio-Adan,65d62814,Primeira Liga
4,Dennis Adeniran,ENG,MF,Portimonense,25-006,1999,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/506eff98/Dennis-Adeniran,506eff98,Primeira Liga
5,Martin Agirregabiria,ESP,DF,Famalicão,27-243,1996,7.6,0.39,0.00,0.00,1.97,0.53,0.26,4.87,1.18,1.97,0.00,0.00,0.00,5.92,1.05,1.05,50.0,https://fbref.com/en/players/355c883a/Martin-Agirregabiria,355c883a,Primeira Liga
6,Salvador Agra,POR,"DF,FW",Boavista,32-058,1991,12.7,0.08,0.00,0.00,1.50,1.50,0.24,7.32,0.79,0.55,0.00,0.00,0.00,5.20,0.08,0.55,12.5,https://fbref.com/en/players/a130741a/Salvador-Agra,a130741a,Primeira Liga
7,Matheus Aiás,BRA,"MF,FW",Moreirense,27-008,1996,0.7,0.00,0.00,0.00,1.43,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.71,0.00,2.86,0.0,https://fbref.com/en/players/3ac4ee49/Matheus-Aias,3ac4ee49,Primeira Liga
8,Alan,BRA,MF,Moreirense,23-306,2000,13.3,0.23,0.00,0.00,2.48,1.80,0.15,5.71,0.15,1.28,0.00,0.00,0.00,4.89,0.23,0.98,18.8,https://fbref.com/en/players/b35de685/Alan,b35de685,Primeira Liga
9,Rafael Alcobia,POR,DF,Portimonense,20-200,2003,1.3,0.00,0.00,0.00,0.77,1.54,0.00,0.00,0.00,2.31,0.00,0.00,0.00,3.85,0.00,1.54,0.0,https://fbref.com/en/players/4d557d54/Rafael-Alcobia,4d557d54,Primeira Liga
10,Alemão,BRA,DF,Portimonense,21-063,2002,12.9,0.47,0.00,0.00,1.24,0.62,0.16,0.00,1.01,1.47,0.00,0.08,0.00,4.81,1.86,1.16,61.5,https://fbref.com/en/players/a23b8218/Alemao,a23b8218,Primeira Liga
11,Ali Alipour,IRN,FW,Gil Vicente FC,28-058,1995,1.7,0.00,0.00,0.00,0.59,1.18,2.35,1.76,0.00,0.00,0.00,0.00,0.00,2.35,3.53,4.12,46.2,https://fbref.com/en/players/488ee64c/Ali-Alipour,488ee64c,Primeira Liga
12,Almeida,BRA,DF,Estrela,23-358,2000,5.4,0.19,0.00,0.00,1.67,0.74,0.00,0.00,0.56,0.93,0.00,0.00,0.00,4.44,2.04,1.67,55.0,https://fbref.com/en/players/c8fb10df/Almeida,c8fb10df,Primeira Liga
13,Pedro Álvaro,POR,DF,Estoril,23-312,2000,13.0,0.38,0.00,0.00,1.46,0.23,0.08,0.08,1.15,0.54,0.00,0.00,0.08,3.38,2.08,2.54,45.0,https://fbref.com/en/players/00a2c297/Pedro-Alvaro,00a2c297,Primeira Liga
14,Pedro Amador,POR,DF,Moreirense,25-021,1998,10.0,0.00,0.00,0.00,0.70,0.70,0.00,4.10,1.40,1.50,0.00,0.00,0.00,5.10,1.60,2.40,40.0,https://fbref.com/en/players/00dad262/Pedro-Amador,00dad262,Primeira Liga
15,Artur Jorge Marques Amorim,POR,DF,Farense,29-147,1994,5.4,0.56,0.00,0.00,1.67,0.19,0.00,0.00,1.30,0.74,0.19,0.19,0.19,4.07,1.67,1.67,50.0,https://fbref.com/en/players/801f3d1d/Artur-Jorge-Marques-Amorim,801f3d1d,Primeira Liga
16,André André,POR,MF,Vitória,34-135,1989,1.0,1.00,0.00,0.00,4.00,7.00,0.00,1.00,3.00,3.00,0.00,0.00,0.00,13.0,0.00,1.00,0.0,https://fbref.com/en/players/9f31b1d3/Andre-Andre,9f31b1d3,Primeira Liga
17,Andrew,BRA,GK,Gil Vicente FC,22-191,2001,14.0,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.29,0.50,0.00,100.0,https://fbref.com/en/players/40406a00/Andrew,40406a00,Primeira Liga
18,Jeremy Antonisse,CUW,"FW,MF",Moreirense,21-285,2002,2.1,0.95,0.48,0.48,2.86,2.38,0.48,0.95,0.95,2.38,0.00,0.00,0.00,8.10,0.95,1.90,33.3,https://fbref.com/en/players/6011e63a/Jeremy-Antonisse,6011e63a,Primeira Liga
19,Pedro Aparício,POR,"MF,FW",Moreirense,28-139,1995,1.3,0.77,0.00,0.00,2.31,1.54,0.00,6.15,0.77,0.00,0.00,0.00,0.00,7.69,0.00,4.62,0.0,https://fbref.com/en/players/0bd8952e/Pedro-Aparicio,0bd8952e,Primeira Liga
20,Óscar Aranda,ESP,"FW,MF",Famalicão,21-254,2002,6.0,0.33,0.00,0.00,1.00,4.67,0.17,3.33,0.00,0.50,0.00,0.00,0.00,5.67,0.50,1.33,27.3,https://fbref.com/en/players/4d3bdda7/Oscar-Aranda,4d3bdda7,Primeira Liga
21,Henrique Araújo,POR,FW,Famalicão,21-354,2002,6.1,0.16,0.00,0.00,1.31,1.64,0.66,0.00,0.00,0.16,0.16,0.00,0.00,3.44,2.46,5.25,31.9,https://fbref.com/en/players/353eb529/Henrique-Araujo,353eb529,Primeira Liga
22,Tiago Araújo,POR,"DF,MF",Estoril,22-287,2001,15.3,0.26,0.00,0.00,0.65,0.78,0.20,3.99,1.05,0.98,0.00,0.00,0.00,5.75,0.72,1.18,37.9,https://fbref.com/en/players/1b54edb3/Tiago-Araujo,1b54edb3,Primeira Liga
23,Tomás Araújo,POR,DF,Benfica,21-237,2002,1.1,0.00,0.00,0.00,1.82,0.00,0.00,0.91,1.82,0.91,0.00,0.00,0.00,12.7,3.64,0.91,80.0,https://fbref.com/en/players/0fa11d7d/Tomas-Araujo,0fa11d7d,Primeira Liga
24,Arthur,BRA,FW,Benfica,25-258,1998,5.9,0.34,0.00,0.00,2.03,1.19,0.34,0.17,0.17,0.68,0.00,0.00,0.00,2.71,1.69,3.56,32.3,https://fbref.com/en/players/a820e429/Arthur,a820e429,Primeira Liga
25,Gustavo Assuncao,POR,MF,Famalicão,23-284,2000,5.0,1.00,0.00,0.00,2.60,1.20,0.00,1.80,1.00,1.80,0.00,0.00,0.00,5.60,0.60,1.00,37.5,https://fbref.com/en/players/065c8786/Gustavo-Assuncao,065c8786,Primeira Liga
26,Otavio Ataide,BRA,DF,Famalicão,21-262,2002,12.4,0.24,0.00,0.00,1.37,1.45,0.08,0.89,1.69,1.21,0.00,0.00,0.00,6.05,1.61,0.73,69.0,https://fbref.com/en/players/6f22e535/Otavio-Ataide,6f22e535,Primeira Liga
27,Fredrik Aursnes,NOR,DF,Benfica,28-029,1995,15.8,0.06,0.00,0.00,0.89,0.57,0.25,1.90,0.76,1.01,0.00,0.06,0.00,5.89,0.38,0.95,28.6,https://fbref.com/en/players/f0677ed7/Fredrik-Aursnes,f0677ed7,Primeira Liga
28,Chidozie Awaziem,NGA,DF,Boavista,27-007,1997,14.0,0.29,0.00,0.00,0.86,0.64,0.07,0.07,0.79,0.86,0.00,0.07,0.00,5.93,3.00,1.50,66.7,https://fbref.com/en/players/70d8e84c/Chidozie-Awaziem,70d8e84c,Primeira Liga
29,Abdul Awudu,GHA,FW,Vizela,22-363,2001,0.1,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,,https://fbref.com/en/players/fe0670bd/Abdul-Awudu,fe0670bd,Primeira Liga
30,Alexander Bah,DEN,DF,Benfica,26-030,1997,6.2,0.32,0.00,0.00,0.81,1.61,0.32,2.42,1.45,2.42,0.00,0.00,0.00,7.42,1.61,0.97,62.5,https://fbref.com/en/players/78f21137/Alexander-Bah,78f21137,Primeira Liga
31,Elves Baldé,POR,"FW,MF",Farense,24-098,1999,3.0,0.00,0.00,0.00,1.00,1.33,0.00,10.3,0.00,0.67,0.00,0.00,0.00,3.67,0.67,0.00,100.0,https://fbref.com/en/players/4a021afe/Elves-Balde,4a021afe,Primeira Liga
32,Daniel Bandeira,POR,MF,Vitória,23-272,2000,7.5,0.13,0.00,0.00,0.80,0.80,0.00,3.20,1.47,0.80,0.00,0.00,0.00,7.47,1.47,1.07,57.9,https://fbref.com/en/players/56fca564/Daniel-Bandeira,56fca564,Primeira Liga
33,Simon Banza,COD,FW,Braga,27-148,1996,11.8,0.08,0.00,0.00,1.78,2.71,0.42,0.25,0.42,0.51,0.08,0.00,0.00,1.44,3.47,4.58,43.2,https://fbref.com/en/players/be47b750/Simon-Banza,be47b750,Primeira Liga
34,Rafael Barbosa,POR,"FW,MF",Farense,27-285,1996,2.5,0.40,0.00,0.00,0.40,2.80,0.00,5.60,0.40,0.40,0.00,0.00,0.00,6.00,0.00,1.60,0.0,https://fbref.com/en/players/2a34574e/Rafael-Barbosa,2a34574e,Primeira Liga
35,Romário Baró,POR,"MF,FW",Porto,23-348,2000,1.4,0.00,0.00,0.00,0.71,2.14,0.00,1.43,0.00,0.71,0.00,0.00,0.00,1.43,0.00,1.43,0.0,https://fbref.com/en/players/a4e16ab4/Romario-Baro,a4e16ab4,Primeira Liga
36,Afonso Bastardo,POR,MF,Sporting CP,18-295,2005,0.3,0.00,0.00,0.00,0.00,3.33,0.00,16.7,0.00,3.33,0.00,0.00,0.00,6.67,0.00,0.00,,https://fbref.com/en/players/7f3f5aa6/Afonso-Bastardo,7f3f5aa6,Primeira Liga
37,Gilberto Batista,POR,MF,Moreirense,20-010,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,https://fbref.com/en/players/f16755ca/Gilberto-Batista,f16755ca,Primeira Liga
38,Ricardo Batista,POR,GK,Casa Pia,37-050,1986,15.0,0.07,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.20,0.07,75.0,https://fbref.com/en/players/abef8824/Ricardo-Batista,abef8824,Primeira Liga
39,Roko Baturina,CRO,FW,Gil Vicente FC,23-202,2000,7.6,0.00,0.00,0.00,1.18,2.24,0.53,0.13,0.00,0.13,0.13,0.00,0.00,1.32,3.16,3.29,49.0,https://fbref.com/en/players/c432ba7d/Roko-Baturina,c432ba7d,Primeira Liga
40,Bachir Belloumi,ALG,"FW,MF",Farense,21-221,2002,12.1,0.17,0.00,0.00,0.83,0.66,0.25,2.15,0.91,1.16,0.00,0.00,0.00,5.79,1.74,1.49,53.8,https://fbref.com/en/players/b6cafcad/Bachir-Belloumi,b6cafcad,Primeira Liga
