Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Player Link_,Player ID_,Competition
1,Rodrigo Abascal,URU,DF,Boavista,28,1994,25.5,0.00,0.31,0.04,12.5,0.31,0.04,0.00,0.00,34.1,0.12,0.00,0.00,0.03,0.03,0.10,-0.03,-0.03,https://fbref.com/en/players/088ae0d1/Rodrigo-Abascal,088ae0d1,Primeira Liga
2,Issah Abbas,GHA,"FW,MF",Chaves,23,1998,15.2,0.26,2.30,0.99,42.9,2.30,0.98,0.11,0.27,17.1,0.00,0.00,0.00,0.23,0.23,0.10,0.03,0.03,https://fbref.com/en/players/2590ddf7/Issah-Abbas,2590ddf7,Primeira Liga
3,Giorgi Aburjania,GEO,MF,Gil Vicente FC,27,1995,17.9,0.00,0.73,0.11,15.4,0.73,0.11,0.00,0.00,23.2,0.00,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,https://fbref.com/en/players/0921a46c/Giorgi-Aburjania,0921a46c,Primeira Liga
4,Elias Achouri,TUN,MF,Estoril,23,1999,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/4dd2a0be/Elias-Achouri,4dd2a0be,Primeira Liga
5,Antonio Adán,ESP,GK,Sporting CP,35,1987,31.0,0.00,0.03,0.00,0.0,0.03,0.00,0.00,,7.3,0.00,0.00,0.00,0.01,0.01,0.22,-0.01,-0.01,https://fbref.com/en/players/65d62814/Antonio-Adan,65d62814,Primeira Liga
6,Adriano,BRA,"MF,DF",Santa Clara,22,1999,24.5,0.04,0.37,0.08,22.2,0.37,0.08,0.11,0.50,22.5,0.00,0.00,0.00,0.03,0.03,0.09,0.01,0.01,https://fbref.com/en/players/81053aea/Adriano,81053aea,Primeira Liga
7,João Afonso Crispim,BRA,MF,Marítimo,27,1995,16.3,0.00,0.06,0.00,0.0,0.06,0.00,0.00,,4.5,0.00,0.00,0.00,0.01,0.01,0.19,-0.01,-0.01,https://fbref.com/en/players/e40bdb5d/Joao-Afonso-Crispim,e40bdb5d,Primeira Liga
8,Lucas Áfrico,BRA,DF,Estoril,27,1995,3.9,0.00,0.26,0.00,0.0,0.25,0.00,0.00,,8.6,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,https://fbref.com/en/players/8fd083bb/Lucas-Africo,8fd083bb,Primeira Liga
9,Martin Agirregabiria,ESP,"DF,FW",Famalicão,26,1996,4.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/355c883a/Martin-Agirregabiria,355c883a,Primeira Liga
10,Salvador Agra,POR,"FW,MF",Boavista,30,1991,18.3,0.16,0.93,0.27,29.4,0.93,0.27,0.18,0.60,21.6,0.05,0.00,0.00,0.08,0.08,0.08,0.09,0.09,https://fbref.com/en/players/a130741a/Salvador-Agra,a130741a,Primeira Liga
11,Mohamed Aidara,CIV,"DF,FW",Vizela,25,1996,2.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/09c61cb2/Mohamed-Aidara,09c61cb2,Primeira Liga
12,Alemão,BRA,DF,Portimonense,19,2002,4.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/a23b8218/Alemao,a23b8218,Primeira Liga
